f774b21877f4fda068d23cc63098b31b1d4fb8c4e3f92e2b5c084252cbbe0c9c,02ff31acad8fe64db2782500e183612e24bddd5379e186dd1f4fd25234ddf229,899af89cca3a4ad255723b52ae6bb27ff1240ee503baa6a8e17f7119463b1492,643f3c2ebb9b8bfc366c96ed72fe9aa502a12b45934344cb29fd0db909341aea,711abaf0d9b5cb335cac858b914c456e6887b228d322b8d16e9e3763a29d6c4a
"2520101","25201","エルピス討魔戦線","137","-1"
"2520102","25201","ストーリーイベント","6111","1"
"2520104","25201","復刻ストーリーイベント","7001","3"
"2520105","25201","クランバトル","107","4"
"2520106","25201","深淵討伐戦","132","5"
"2520107","25201","黎明界ラビリンス","136","6"
"2520108","25201","マスターショップ","210","7"
"2520201","25202","エルピス討魔戦線","137","-1"
"2520202","25202","ストーリーイベント","6111","1"
"2520204","25202","復刻ストーリーイベント","7001","3"
"2520205","25202","クランバトル","107","4"
"2520206","25202","深淵討伐戦","132","5"
"2520207","25202","黎明界ラビリンス","136","6"
"2520208","25202","マスターショップ","210","7"
"2520301","25203","エルピス討魔戦線","137","-1"
"2520302","25203","ストーリーイベント","6111","1"
"2520304","25203","復刻ストーリーイベント","7001","3"
"2520305","25203","クランバトル","107","4"
"2520306","25203","深淵討伐戦","132","5"
"2520307","25203","黎明界ラビリンス","136","6"
"2520308","25203","マスターショップ","210","7"
"2520401","25204","エルピス討魔戦線","137","-1"
"2520402","25204","ストーリーイベント","6111","1"
"2520404","25204","復刻ストーリーイベント","7001","3"
"2520405","25204","クランバトル","107","4"
"2520406","25204","深淵討伐戦","132","5"
"2520407","25204","黎明界ラビリンス","136","6"
"2520408","25204","マスターショップ","210","7"
"2520501","25205","エルピス討魔戦線","137","-1"
"2520502","25205","ストーリーイベント","6111","1"
"2520504","25205","復刻ストーリーイベント","7001","3"
"2520505","25205","クランバトル","107","4"
"2520506","25205","深淵討伐戦","132","5"
"2520507","25205","黎明界ラビリンス","136","6"
"2520508","25205","マスターショップ","210","7"
"2520601","25206","エルピス討魔戦線","137","-1"
"2520602","25206","ストーリーイベント","6111","1"
"2520604","25206","復刻ストーリーイベント","7001","3"
"2520605","25206","クランバトル","107","4"
"2520606","25206","深淵討伐戦","132","5"
"2520607","25206","黎明界ラビリンス","136","6"
"2520608","25206","マスターショップ","210","7"
"14000101","140001","マスターショップ","210","1"
"14000102","140001","コネクトショップ","216","2"
"15000101","150001","マスターショップ","210","1"
"15000102","150001","コネクトショップ","216","2"
"15000201","150002","マスターショップ","210","1"
"15000202","150002","コネクトショップ","216","2"
"15000301","150003","マスターショップ","210","1"
"15000302","150003","コネクトショップ","216","2"
"15000401","150004","マスターショップ","210","1"
"15000402","150004","コネクトショップ","216","2"
"15000501","150005","マスターショップ","210","1"
"15000502","150005","コネクトショップ","216","2"
"15000601","150006","マスターショップ","210","1"
"15000602","150006","コネクトショップ","216","2"
"15000701","150007","マスターショップ","210","1"
"15000702","150007","コネクトショップ","216","2"
"15000801","150008","マスターショップ","210","1"
"15000802","150008","コネクトショップ","216","2"
"15000901","150009","マスターショップ","210","1"
"15000902","150009","コネクトショップ","216","2"
"15001001","150010","マスターショップ","210","1"
"15001002","150010","コネクトショップ","216","2"
