2cd815b3d5eea4e619b3546654d14b3a6b64f0d73e6787e32637e5dc3e3d224e,969e1fa8c1c84a5ca36e23bc90449b0bda1aab063e2e3925bd74cc603a498aa4,ae7685e84e1e9a92127c2affd0d820753ce20f67fd80fa66416433d3923d2960,1a2b72e52d06b9adaddc0aedd5cca2cf9df8aa527d76bffa8b999c1d2c3796b0,f30be8f92071c9ca53610e7e24191dd156e2cbb7fffd9a9cec0f083f469ac73d,d03fad91c8940d2466760af5aee9bd5e9c52619543e232765f196b109b088335,6e7664a17ce80ba9c4a795da5927f1c46396f783fa487085365d334d91c62411,53a1e71c6018cabb633b13049366f1878d4ac0692985944d83a0f3f887af2a24,f75f4092fb2b50eee1e12661d3d0d1cb5a211653c9665c04e237f0a26a40d869,5c960d529f3351d90c3d86c0106405c81305a50f50e765e3afaee1eb400c0441,287070b528cb9cc84a703754182746018becb033a87829edf49a47fe06d8de7e,d16a583012f0996eeb4d69f72aaaedf652376767dd71a378b343c450ff590a50,da0edb50c93a6d55e58854a0a6966cbe9f4ad96c415664c8d59015943bf6bd97,e3e0d5e7d00c018f97fb3c0d36eff5d25a0c2787ce04d3ccb66d637a32e7ec4b,13a01e700e867a0106996715e19ec0432d1359c5c2eb9b367084b2ba85b71d3b,c2b694243576ed7d4e29a6504bd071288416c03d5d50caa803fc1772a5417337,38179447db5b46a33735931ac2beeb86ff025c9c781fd1789c1c1ea79fc3c17c,33081cd3e1ff4f0c33d23ec89362b61b00e0e69133e97f69bdcabc9a3aeffa18,5c02567e25889a7a1dbb7d673a3ecdfea43099a9a09b5d203d6c4ca10e4cbd1c,20a7d0b6f8b741663bbd17fdf2b056c2ac662a7b50d856120f1c660b37af679a,0a80daf8719d6300552916d948b36e2599e4f4519698fbbc437455b607a59fe2
"1","1","8","2","5000","0","0","31043","5000","0","0","0","91002","30","2","90006","30","1001","1","0","0"
"2","1","8","2","4500","0","0","31043","4500","0","0","0","91002","100","2","90006","25","1001","31","0","0"
"3","1","8","2","4000","0","0","31043","4000","0","0","0","91002","300","2","90006","20","1001","101","0","0"
"4","1","8","2","3500","0","0","31043","3500","0","0","0","91002","1000","2","90006","18","1001","301","0","0"
"5","1","8","2","3000","0","0","31043","3000","0","0","0","91002","2000","2","90006","16","1001","1001","0","0"
"6","1","8","2","2000","0","0","31043","2000","0","0","0","91002","5000","2","90006","14","1001","2001","0","0"
"7","1","8","2","1500","0","0","31043","1500","0","0","0","91002","10000","2","90006","12","1001","5001","0","0"
"8","1","8","2","1000","0","0","31043","1000","0","0","0","91002","20000","2","90006","10","1001","10001","0","0"
"9","1","8","2","500","0","0","31043","500","0","0","0","91002","-1","2","90006","5","1001","20001","0","0"
"10","1","8","2","5000","0","0","31022","5000","0","0","0","91002","20","2","90006","30","1002","1","0","0"
"11","1","8","2","4500","0","0","31022","4500","0","0","0","91002","100","2","90006","25","1002","21","0","0"
"12","1","8","2","4000","0","0","31022","4000","0","0","0","91002","250","2","90006","20","1002","101","0","0"
"13","1","8","2","3500","0","0","31022","3500","0","0","0","91002","500","2","90006","18","1002","251","0","0"
"14","1","8","2","3000","0","0","31022","3000","0","0","0","91002","1000","2","90006","16","1002","501","0","0"
"15","1","8","2","2500","0","0","31022","2500","0","0","0","91002","2000","2","90006","14","1002","1001","0","0"
"16","1","8","2","2000","0","0","31022","2000","0","0","0","91002","3000","2","90006","12","1002","2001","0","0"
"17","1","8","2","1500","0","0","31022","1500","0","0","0","91002","5000","2","90006","10","1002","3001","0","0"
"18","1","8","2","1000","0","0","31022","1000","0","0","0","91002","10000","2","90006","8","1002","5001","0","0"
"19","1","8","2","500","0","0","31022","500","0","0","0","91002","-1","2","90006","5","1002","10001","0","0"
"20","1","8","2","5000","0","0","31042","5000","0","0","0","91002","20","2","90006","30","1003","1","0","0"
"21","1","8","2","4500","0","0","31042","4500","0","0","0","91002","100","2","90006","25","1003","21","0","0"
"22","1","8","2","4000","0","0","31042","4000","0","0","0","91002","250","2","90006","20","1003","101","0","0"
"23","1","8","2","3500","0","0","31042","3500","0","0","0","91002","500","2","90006","18","1003","251","0","0"
"24","1","8","2","3000","0","0","31042","3000","0","0","0","91002","1000","2","90006","16","1003","501","0","0"
"25","1","8","2","2500","0","0","31042","2500","0","0","0","91002","2000","2","90006","14","1003","1001","0","0"
"26","1","8","2","2000","0","0","31042","2000","0","0","0","91002","3000","2","90006","12","1003","2001","0","0"
"27","1","8","2","1500","0","0","31042","1500","0","0","0","91002","5000","2","90006","10","1003","3001","0","0"
"28","1","8","2","1000","0","0","31042","1000","0","0","0","91002","10000","2","90006","8","1003","5001","0","0"
"29","1","8","2","500","0","0","31042","500","0","0","0","91002","-1","2","90006","5","1003","10001","0","0"
"30","1","8","2","5000","0","0","31018","5000","0","0","0","91002","20","2","90006","30","1004","1","0","0"
"31","1","8","2","4500","0","0","31018","4500","0","0","0","91002","100","2","90006","25","1004","21","0","0"
"32","1","8","2","4000","0","0","31018","4000","0","0","0","91002","250","2","90006","20","1004","101","0","0"
"33","1","8","2","3500","0","0","31018","3500","0","0","0","91002","500","2","90006","18","1004","251","0","0"
"34","1","8","2","3000","0","0","31018","3000","0","0","0","91002","1000","2","90006","16","1004","501","0","0"
"35","1","8","2","2500","0","0","31018","2500","0","0","0","91002","2000","2","90006","14","1004","1001","0","0"
"36","1","8","2","2000","0","0","31018","2000","0","0","0","91002","3000","2","90006","12","1004","2001","0","0"
"37","1","8","2","1500","0","0","31018","1500","0","0","0","91002","5000","2","90006","10","1004","3001","0","0"
"38","1","8","2","1000","0","0","31018","1000","0","0","0","91002","10000","2","90006","8","1004","5001","0","0"
"39","1","8","2","500","0","0","31018","500","0","0","0","91002","-1","2","90006","5","1004","10001","0","0"
"40","1","8","2","5000","0","0","31025","5000","0","0","0","91002","20","2","90006","30","1005","1","0","0"
"41","1","8","2","4500","0","0","31025","4500","0","0","0","91002","100","2","90006","25","1005","21","0","0"
"42","1","8","2","4000","0","0","31025","4000","0","0","0","91002","250","2","90006","20","1005","101","0","0"
"43","1","8","2","3500","0","0","31025","3500","0","0","0","91002","500","2","90006","18","1005","251","0","0"
"44","1","8","2","3000","0","0","31025","3000","0","0","0","91002","1000","2","90006","16","1005","501","0","0"
"45","1","8","2","2500","0","0","31025","2500","0","0","0","91002","2000","2","90006","14","1005","1001","0","0"
"46","1","8","2","2000","0","0","31025","2000","0","0","0","91002","3000","2","90006","12","1005","2001","0","0"
"47","1","8","2","1500","0","0","31025","1500","0","0","0","91002","5000","2","90006","10","1005","3001","0","0"
"48","1","8","2","1000","0","0","31025","1000","0","0","0","91002","10000","2","90006","8","1005","5001","0","0"
"49","1","8","2","500","0","0","31025","500","0","0","0","91002","-1","2","90006","5","1005","10001","0","0"
"50","1","8","2","5000","0","0","31043","5000","0","0","0","91002","20","2","90006","30","1006","1","0","0"
"51","1","8","2","4500","0","0","31043","4500","0","0","0","91002","100","2","90006","25","1006","21","0","0"
"52","1","8","2","4000","0","0","31043","4000","0","0","0","91002","250","2","90006","20","1006","101","0","0"
"53","1","8","2","3500","0","0","31043","3500","0","0","0","91002","500","2","90006","18","1006","251","0","0"
"54","1","8","2","3000","0","0","31043","3000","0","0","0","91002","1000","2","90006","16","1006","501","0","0"
"55","1","8","2","2500","0","0","31043","2500","0","0","0","91002","2000","2","90006","14","1006","1001","0","0"
"56","1","8","2","2000","0","0","31043","2000","0","0","0","91002","3000","2","90006","12","1006","2001","0","0"
"57","1","8","2","1500","0","0","31043","1500","0","0","0","91002","5000","2","90006","10","1006","3001","0","0"
"58","1","8","2","1000","0","0","31043","1000","0","0","0","91002","10000","2","90006","8","1006","5001","0","0"
"59","1","8","2","500","0","0","31043","500","0","0","0","91002","-1","2","90006","5","1006","10001","0","0"
"60","1","8","2","5000","0","0","31022","5000","0","0","0","91002","20","2","90006","30","1007","1","0","0"
"61","1","8","2","4500","0","0","31022","4500","0","0","0","91002","100","2","90006","25","1007","21","0","0"
"62","1","8","2","4000","0","0","31022","4000","0","0","0","91002","250","2","90006","20","1007","101","0","0"
"63","1","8","2","3500","0","0","31022","3500","0","0","0","91002","500","2","90006","18","1007","251","0","0"
"64","1","8","2","3000","0","0","31022","3000","0","0","0","91002","1000","2","90006","16","1007","501","0","0"
"65","1","8","2","2500","0","0","31022","2500","0","0","0","91002","2000","2","90006","14","1007","1001","0","0"
"66","1","8","2","2000","0","0","31022","2000","0","0","0","91002","3000","2","90006","12","1007","2001","0","0"
"67","1","8","2","1500","0","0","31022","1500","0","0","0","91002","5000","2","90006","10","1007","3001","0","0"
"68","1","8","2","1000","0","0","31022","1000","0","0","0","91002","10000","2","90006","8","1007","5001","0","0"
"69","1","8","2","500","0","0","31022","500","0","0","0","91002","-1","2","90006","5","1007","10001","0","0"
"70","1","8","2","5000","0","0","31042","5000","0","0","0","91002","20","2","90006","30","1008","1","0","0"
"71","1","8","2","4500","0","0","31042","4500","0","0","0","91002","100","2","90006","25","1008","21","0","0"
"72","1","8","2","4000","0","0","31042","4000","0","0","0","91002","250","2","90006","20","1008","101","0","0"
"73","1","8","2","3500","0","0","31042","3500","0","0","0","91002","500","2","90006","18","1008","251","0","0"
"74","1","8","2","3000","0","0","31042","3000","0","0","0","91002","1000","2","90006","16","1008","501","0","0"
