5dcc866e4204d2189ef78b2d1497527f54fcc78d2de389c4a6d4fb7f69c94928,99d35edab6642616dd293aeb635d0d415a9c6d94b4c16c0120e4373fb54c6814,73aede8228945b542ce6f0b3f7e1ef4d5f6fdc167c0dd3320ff808529572d2cf,dfb53ca689dcefed8deb8dea588088e1487434cc84892ce754b6bea2b8d4bedb
"10000","ＨＰ","1","1"
"10000","物理攻撃力","2","1"
"10000","物理防御力","3","1"
"10000","魔法攻撃力","4","1"
"10000","魔法防御力","5","1"
"10000","物理クリティカル","6","1"
"10000","魔法クリティカル","7","1"
"1","回避","8","0"
"1","ＨＰ吸収","9","0"
"1","ＨＰ自動回復","10","0"
"1","ＴＰ自動回復","11","0"
"1","物理貫通ダメージ","12","0"
"1","魔法貫通ダメージ","13","0"
"1","ＴＰ上昇","14","0"
"1","回復量上昇","15","0"
"1","ＴＰ消費軽減","16","0"
"1","命中","17","0"
"100","物理クリティカルダメージ","100","1"
"100","魔法クリティカルダメージ","101","1"
"100","物理与ダメージ","102","1"
"100","魔法与ダメージ","103","1"
"10000","属性ボーナス","104","1"
