f0aeef1f06df6458fee8156ac3d706a1152a5d34904801e76ec44dddd9496a92,8aa8f1634f4406b3451ac5d8b445e19e74a1680d3391768850164f253fd2ef77,9e468983a2df531ecbbe3c35b7d5b01097e77bf94b7ad75e8f523b7903cedbdb,59f5494e256b8dd3272b0451435945e2f93c19aba5859f2aa6e8b85974f36a2c,da586b5d5e27cf1f758f6d6538e6bee79a634cc5a0c2bfb5fc3f335271289bd6,0e73793b7b82a4d7e3a5fae746978a9dd52c0589bf43914fafc96ea98aaeb78f,ac0b0d82896e0b29c5ee39ee746e8ffb1608f1b6c1168a87dc51c84e7b8f10fb,401958470766c60afb586fa2960e14b8694bf231a153614e40c9f32f7587a066,119d276e649b070fcdf859ba551a1ea3afa56066daf9c7f8fb68e523ab05317b,96743ce59da7646c77e02642eb382f31238cce06c52d03a611c07887947f636d,cc5107b6d0b2b6bf9e7a6f835643821827b8e88ed0d896f0714c24a3a3150484
"110010001","1.3","1001","55","2","-100","1000001","<weapon>_idle","-250","0","1"
"110010002","1","1001","0","100","0","100","","1","","31"
"110010003","0","1001","0","101","0","101","","1","","31"
"110010004","1","1001","0","4","0","4","","1","","31"
"110010005","1","1001","94.5","5","0","5","","1","","31"
"110010006","","1001","","0","","0","","","","91"
"110010007","","1001","","0.4","","0","","","","93"
"110010008","0.2","1001","0","1000001","","<weapon>_joy_short","","","","3"
"110010009","","1001","","1.3","","0","","","","93"
"110010010","0","1001","1","1000001","","<weapon>_run","","","","3"
"110010011","","1001","-250","1000001","1","800","","0","","2"
"110010012","","1001","","0.7","","0","","","","93"
"110010013","","1001","","101","","1","","","","32"
"110010014","","1001","","0.7","","0","","","","93"
"111010001","1.3","1101","55","2","-640","1000001","<weapon>_run","-250","0","1"
"111010002","1","1101","0","100","0","100","","1","","31"
"111010003","0","1101","0","101","0","101","","1","","31"
"111010004","1","1101","0","4","0","4","","1","","31"
"111010005","","1101","","4","","0","","","","35"
"111010006","1","1101","0","5","0","5","","1","","31"
"111010007","1","1101","0","10","0","10","","1","","31"
"111010008","","1101","","0","","","","","","91"
"111010009","","1101","","100","","1","","","","35"
"111010010","","1101","-250","1000001","2.1","640","","0","","2"
"111010011","","1101","","1.7","","0","","","","93"
"111010012","","1101","","101","","1","","","","32"
"111010013","","1101","","0.7","","0","","","","93"
"120010001","1.3","2001","55","1","0","1000001","look_loop","-240","0","1"
"120010002","0","2001","0","1","0","1","","1","0","31"
"120010003","","2001","","1","","0","","","","35"
"120010004","","2001","","1","","1","","","","32"
"120010005","1","2001","345.4","2","0","2","","1","0","31"
"120010006","","2001","","2","","0","","","","35"
"120010007","0","2001","345.4","3","0","3","","1","0","31"
"120010008","","2001","","3","","0","","","","35"
"120010009","","2001","","3","","1","","","","32"
"120010010","1","2001","-345.4","31000001","0","31000001","","1","","31"
"120010011","1","2001","345.4","31000002","0","31000002","","1","","31"
"120010012","1","2001","0","100","0","100","","1","","31"
"120010013","0","2001","0","101","0","101","","1","","31"
"120010014","","2001","","0","","","","","","91"
"120010015","","2001","","100","","1","","","","35"
"120010016","0","2001","0","1000001","look_loop","look_in","","1","0","3"
"120010017","","2001","","1.3","","0","","","","93"
"121010001","0","2101","0","12","0","998","","1","","31"
"121010002","0","2101","0","14","0","997","","1","","31"
"121010003","0","2101","0","16","0","996","","1","","31"
"121010004","","2101","","31000001","","0","","","","32"
"121010005","","2101","","31000002","","0","","","","32"
"121010006","0","2101","-1","0","1","0","","0","","121"
"121010007","","2101","","1","","1","","","","35"
"121010008","","2101","","3","","1","","","","35"
"121010009","0","2101","0","1000001","","pointing","","","","3"
"121010010","","2101","","1","","0","","","","93"
"121010011","0","2101","-1.47","505","1.47","100","","2","","121"
"121010012","0.2","2101","1","1000001","","run_talk1","","","","3"
"121010013","","2101","-240","1000001","1","100","","0","","2"
"121010014","","2101","0","se_travel","","se_travel_treasure_cha_run","","","","23"
"121010015","","2101","","1","","0","","","","93"
"122010001","0","2201","0","11","0","998","","1","","31"
"122010002","0","2201","0","13","0","997","","1","","31"
"122010003","0","2201","0","15","0","996","","1","","31"
"122010004","","2201","","31000001","","0","","","","32"
"122010005","","2201","","31000002","","0","","","","32"
"122010006","","2201","","1","","1","","","","35"
"122010007","","2201","","3","","1","","","","35"
"122010008","0","2201","0","1000001","","pointing","","","","3"
"122010009","","2201","","1","","0","","","","93"
"122010010","0","2201","1.47","-505","1.47","100","","2","","121"
"122010011","0.2","2201","1","1000001","","run_talk1","","","","3"
"122010012","","2201","-240","1000001","1","100","","0","","2"
"122010013","","2201","0","se_travel","","se_travel_treasure_cha_run","","","","23"
"122010014","","2201","","1","","0","","","","93"
"130000001","0","3000","345.4","300000","0","300000","","1","","31"
"130000002","","3000","","0","","","","","","91"
"130000003","0","3000","1.05","1.05","1.05","1.05","","7.4","","123"
"130000004","0.2","3000","0","1000001","","wait","","","","3"
"130000005","","3000","","2","","1","","","","35"
"130000006","","3000","","4.9","","0","","","","93"
"130000007","0","3000","0.95","0.95","0.95","0.95","","0.4","","123"
"130000008","","3000","","300000","","1","","","","32"
"130000009","","3000","","0.1","","0","","","","93"
"130000010","","3000","","2","","0","","","","32"
"130000011","","3000","","0.1","","0","","","","93"
"130000012","","3000","","996","","1","","","","32"
"130000013","0","3000","0","1000001","","joy_from_wait","","","","3"
"130000014","","3000","","1.9","","0","","","","93"
"130000015","0","3000","0","1000001","","glad_from_joy","","","","3"
"130000016","","3000","","1.5","","0","","","","93"
"130000017","0.2","3000","1","1000001","","run_gatein","","","","3"
"130000018","","3000","","se_travel","","se_travel_treasure_cha_run","","","","23"
"130000019","","3000","-195","1000001","1","450","","0","","2"
"130000020","","3000","","0.5","","1","","","","93"
"130000021","0.4","3000","1","1000001","1","1","","0","0","6"
"130000022","","3000","","0.4","","0","","","","93"
"130000023","","3000","","1","","","","","","113"
"130010001","0","3001","345.4","300100","0","300100","","1","","31"
"130010002","1","3001","345.4","990001","0","990001","","1","","31"
"130010003","","3001","","0","","","","","","91"
"130010004","0","3001","1.05","1.05","1.05","1.05","","7.4","","123"
"130010005","0.2","3001","0","1000001","","wait","","","","3"
"130010006","","3001","","2","","1","","","","35"
"130010007","","3001","","5.4","","0","","","","93"
"130010008","0","3001","0.95","0.95","0.95","0.95","","0.4","","123"
"130010009","0.2","3001","0","1000001","","glad","","","","3"
"130010010","","3001","","300100","","1","","","","32"
"130010011","","3001","","996","","1","","","","32"
"130010012","","3001","","0.1","","0","","","","93"
"130010013","","3001","","2","","0","","","","32"
"130010014","","3001","","3","","0","","","","32"
"130010015","","3001","","1.5","","0","","","","93"
"130010016","0.2","3001","0","1000001","","joy","","","","3"
"130010017","","3001","","1.7","","0","","","","93"
"130010018","0","3001","1","1000001","","run_gatein","","","","3"
"130010019","","3001","-195","1000001","1","450","","0","","2"
"130010020","","3001","","0.5","","1","","","","93"
"130010021","0.4","3001","1","1000001","1","1","","0","0","6"
"130010022","","3001","","0.4","","0","","","","93"
"130010023","","3001","","1","","","","","","113"
"130020001","0","3002","345.4","300100","0","300100","","1","","31"
"130020002","1","3002","345.4","990002","0","990002","","1","","31"
"130020003","","3002","","0","","","","","","91"
"130020004","0","3002","1.05","1.05","1.05","1.05","","7.4","","123"
"130020005","0.2","3002","0","1000001","","wait","","","","3"
"130020006","","3002","","2","","1","","","","35"
"130020007","","3002","","5.4","","0","","","","93"
"130020008","0","3002","0.95","0.95","0.95","0.95","","0.4","","123"
"130020009","0.2","3002","0","1000001","","glad","","","","3"
"130020010","","3002","","300100","","1","","","","32"
"130020011","","3002","","996","","1","","","","32"
"130020012","","3002","","0.1","","0","","","","93"
"130020013","","3002","","2","","0","","","","32"
"130020014","","3002","","3","","0","","","","32"
"130020015","","3002","","1.5","","0","","","","93"
"130020016","0.2","3002","0","1000001","","joy","","","","3"
"130020017","","3002","","1.7","","0","","","","93"
"130020018","0","3002","1","1000001","","run_gatein","","","","3"
"130020019","","3002","-195","1000001","1","450","","0","","2"
"130020020","","3002","","0.5","","1","","","","93"
"130020021","0.4","3002","1","1000001","1","1","","0","0","6"
"130020022","","3002","","0.4","","0","","","","93"
"130020023","","3002","","1","","","","","","113"
"130110001","0","3011","345.4","6","0","6","","1","","31"
"130110002","0","3011","345.4","8","0","8","","1","","31"
"130110003","0","3011","345.4","301100","0","301100","","1","","31"
"130110004","","3011","","0","","","","","","91"
"130110005","0","3011","1.05","1.05","1.05","1.05","","7.4","","123"
"130110006","0.2","3011","0","1000001","","wait","","","","3"
"130110007","","3011","","2","","1","","","","35"
"130110008","","3011","","4.9","","0","","","","93"
"130110009","0","3011","0.95","0.95","0.95","0.95","","0.3","","123"
"130110010","","3011","0","se_travel","","se_travel_treasure_ghost_success","","","","23"
"130110011","","3011","","8","","1","","","","32"
"130110012","","3011","","8","","0","","","","35"
"130110013","","3011","","6","","1","","","","32"
"130110014","","3011","","0.1","","0","","","","93"
"130110015","","3011","","2","","0","","","","32"
"130110016","","3011","","3","","0","","","","32"
"130110017","","3011","0","1000001","","dotEyes","","","","3"
"130110018","","3011","","0.87","","0","","","","93"
"130110019","0.2","3011","0","1000001","","glad","","","","3"
"130110020","","3011","","301100","","1","","","","32"
"130110021","","3011","","8","","1","","","","35"
"130110022","","3011","","0.6","","0","","","","93"
"130110023","","3011","","996","","1","","","","32"
"130110024","","3011","","0.5","","0","","","","93"
"130110025","","3011","0","1000001","","joy","","","","3"
"130110026","","3011","","1.67","","0","","","","93"
"130110027","0","3011","1","1000001","","run_gatein","","","","3"
"130110028","","3011","-195","1000001","1","450","","0","","2"
"130110029","","3011","","0.5","","1","","","","93"
