230c6459c39b131a8b20228fbdc18d172da36ead62faf1e493bcbf57abe816f5,96678c8e825a8cc3052bbc55003295149db564deb019a3cc1d47c0bc79db6cb4,4119c1c000462085a637737c6a70bba9ad90a0c2e1ce8ccd3afccf34b5335cab,5310f636ca0be867a90e5ecf1139073df63203a5a5aeb4314db6d66fe9144b86,e770821e96be317d23fa9318d869737f8468fa6a6f6b61e5e9e9cc4132904271,41bd8fc1064e87984b9b3c52d821dc01f60d82b807e823ac0102c80f6874e692,013346b0eab5f02789d972c51c6d0a9a258b869f791ff08d17ec74fca1c250d0,db1263d2263686082b5faf9728b938ee438be6e3b00c34c7755fd7ef583b86fa,53fc16a865574eebd3463be80e8f1f45f8f680faa049adc71a14b98ca8cc3888,7ed195e26814dca070f26ce063e58d1b7213053281c39d658f062316298eca0e,1d04f217f67b944de0e563f27f07474f02bc8956e49040af9c48a46d8d106e90
"111001","wac_215_karin_idle_normal","202","0","-273","118511","2","1","111","1","-345"
"111002","wac_215_idle_joy1","205","1","170","105811","2","1","111","1","-355"
"111003","wac_215_idle_normal_joy","202","1","50","105911","2","1","111","1","-325"
"111004","wac_215_idle_arm_crossed","203","1","300","106011","2","1","111","1","-330"
"111005","wac_215_idle_normal2","204","1","450","106431","2","1","111","1","-360"
"111006","","","","","","","131","111","1",""
"112001","","","","","0","","93","112","1",""
"112002","","1","","","wac_215_karin_talk_normal","0.2","3","112","118511",""
"112003","","0","","0","vo_wac_220215_000","","21","112","vo_wac_220215",""
"112004","0.5","10","0","1","【美食殿】のみなさん、\n来ていただいてありがとうございます！","0","11","112","118511","1"
"112005","","","","","","","91","112","112004",""
"112006","","1","","","wac_215_karin_idle_normal","0.2","3","112","118511",""
"112007","","0","0.2","wac_215_talk_normal","wac_215_peko_oissu","0.2","3","112","105811","1"
"112008","","0","","0","vo_wac_220215_001","","21","112","vo_wac_220215",""
"112009","0.5","10","0","1","カリンさん、オイッスー！\nどうしたんですか？\nランドソルの端っこに\n呼び出したりなんかして。","0","11","112","105811","1"
"112010","","","","","","","91","112","112009",""
"112011","","1","","","wac_215_idle_normal","0.2","3","112","105811",""
"112012","","1","","","wac_215_karin_talk_normal","0.2","3","112","118511",""
"112013","","0","","0","vo_wac_220215_002","","21","112","vo_wac_220215",""
"112014","0.5","10","0","1","今日はみなさんにお願いしたい\n重要な依頼があるんです。","0","11","112","118511","1"
"112015","","","","","","","91","112","112014",""
"112016","","1","","","wac_215_karin_idle_normal","0.2","3","112","118511",""
"112017","","0","0","wac_215_talk_arm_crossed_loop","wac_215_talk_arm_crossed","0.2","3","112","106011","1"
"112018","","0","","0","vo_wac_220215_003","","21","112","vo_wac_220215",""
"112019","0.5","10","0","1","重要な依頼？\nまた面倒くさいこと押し付けようと\nしてんじゃないでしょうね……","0","11","112","106011","1"
"112020","","","","","","","91","112","112019",""
"112021","","1","","","wac_215_idle_arm_crossed","0.2","3","112","106011",""
"112022","","1","","","wac_215_karin_talk_normal","0.2","3","112","118511",""
