763e315cdbb98c5add214f20650fbe045cc479c9506fd74800697f7a0beeea20,1dd8572badb7d41aafded09fc6aa0bf68bf32b9bf71a68160e3b88a47ed4332e,067d6f586a675da1343e35e077a85bdb156458b4b9dc59c36dca8a0382b9f503,ba59bb9802972c03b881466ccb9f1d59fce420e2542a7b12d5fa2280441cb551,796c7f5b08758965bec1c57513a168af08d175b2c6c4dc7f31b98b2dcad60c77,5829acb0bf94c2f92c814b2dfc4ef1f6d8bb6b45ad51086c5321064590517042,d4ad4683e4a4ac1a5e8db1729a18136d711061f964d5c7c7bd9c959bfbb80f91,b0fec99892f68e3f65e4742bc82b1562ff70f85f1035ef0d119b18788cddfa0f,a506ba31c7bef162850a1b59fbe22fca044f7f214ebbe65d4f801fa89730d7ff,0ae3ca20ff8c483da2ff533b3f042f4e8e29c1fef7d34166db0768e87e6ed2e2
"0","ウヅキとリンのメモリー","10062","0","0","10062103","0","7001","0","1"
"0","ニュージェネレーションズのメモリー","10062","0","0","10062107","0","7002","0","2"
"0","ウヅキとミオのメモリー","10062","0","0","10062107","0","7003","0","4"
"0","美食殿のメモリー","10062","0","0","10062111","0","7004","0","6"
"0","リンとミオのメモリー","10062","0","0","10062111","0","7005","0","7"
"0","ニュージェネレーションズのメモリー","10062","0","0","10062111","0","7006","0","8"
"0","ニュージェネレーションズと美食殿のメモリー","10062","0","0","10062115","0","7007","0","9"
"0","美食殿のメモリー","10062","0","0","10062115","0","7008","0","10"
"0","ニュージェネレーションズと美食殿のメモリー","10063","0","0","10063111","0","7009","0","14"
"0","ニュージェネレーションズのメモリー","10062","0","0","10062107","0","7102","0","3"
"0","美食殿のメモリー","10062","0","0","10062107","0","7103","0","5"
"0","ニュージェネレーションズと美食殿のメモリー","10062","0","0","10062115","0","7104","0","11"
"0","ニュージェネレーションズと美食殿のメモリー","10063","0","0","10063111","0","7105","0","12"
"0","ニュージェネレーションズと美食殿のメモリー","10063","0","0","10063111","0","7106","0","13"
"0","","10062","2405","1","10062103","1","7201","7","15"
