3988741fecf62a59000172ca4bc62da5e0e6af7e0efa13012afb885e002c683e,5ff76086c86f067ba07ac500e9e2294a7b5bbc34b548a7bbd4dc3d9de38bb084,7485833ddf928fb36e5d3ed31f650d24e21e37eb5659a8af49157bd171e7de78,1232c5f10efb34afb681bb73687af1a151b3407337c99279cfc4130a7c396cd0,14e0129bb343c0ea2b41ce6e1dd933343bac0451b47c6d05c4fb78bfe5ccda03,136fbba386a16b395c3fd56a409229bd9b2fb70273cbc92a7509b57943dd5946,5c5e8e6f92ce7a5400fb31950e583a6972b666270c39cba1bc6f60e114223ae6
"2500","累計スコアを2500pt 獲得しよう","91002","10","1","8","101"
"5000","累計スコアを5000pt 獲得しよう","91002","10","1","8","102"
"10000","累計スコアを10000pt 獲得しよう","91002","10","1","8","103"
"12500","累計スコアを12500pt 獲得しよう","91002","10","1","8","104"
"15000","累計スコアを15000pt 獲得しよう","91002","10","1","8","105"
"20000","累計スコアを20000pt 獲得しよう","91002","10","1","8","106"
"25000","累計スコアを25000pt 獲得しよう","91002","10","1","8","107"
"30000","累計スコアを30000pt 獲得しよう","91002","10","1","8","108"
"35000","累計スコアを35000pt 獲得しよう","91002","10","1","8","109"
"40000","累計スコアを40000pt 獲得しよう","91002","10","1","8","110"
"45000","累計スコアを45000pt 獲得しよう","91002","10","1","8","111"
"50000","累計スコアを50000pt 獲得しよう","11001302","1","1","15","112"
"2500","累計スコアを2500pt 獲得しよう","91002","10","2","8","201"
"5000","累計スコアを5000pt 獲得しよう","91002","10","2","8","202"
"10000","累計スコアを10000pt 獲得しよう","91002","10","2","8","203"
"12500","累計スコアを12500pt 獲得しよう","91002","10","2","8","204"
"15000","累計スコアを15000pt 獲得しよう","91002","10","2","8","205"
"20000","累計スコアを20000pt 獲得しよう","91002","10","2","8","206"
"25000","累計スコアを25000pt 獲得しよう","91002","10","2","8","207"
"30000","累計スコアを30000pt 獲得しよう","91002","10","2","8","208"
"35000","累計スコアを35000pt 獲得しよう","91002","10","2","8","209"
"40000","累計スコアを40000pt 獲得しよう","91002","10","2","8","210"
"45000","累計スコアを45000pt 獲得しよう","91002","10","2","8","211"
"50000","累計スコアを50000pt 獲得しよう","11001303","1","2","15","212"
