583a05ce8b5954136f3e2e37b643db451ff7debf05075ba84fc18f5ebfb40dae,6feba50fbe9e68107be060a50683720b83da14df0f80b371983c91178cfb4737,ff71f8699ef1d9edd6d524d50c66bd3b01c4637e737c3f56bed900f9d4ff552a,1a9ac20857446f1e34a2e4db998c22abb8c7963dedbcf20e75a6ede8f08e2743,4d0c6ad878f05b25b894ea8928dd7d153d70db3e754ab6664021aa3d81c339bb,56e162fe60cdf2679f7dcd49ec8ddc434155f4c849b53722c1d43ddddf3057f6,eda099145905f1913a1962373ec9c1963c63b09ffbec7fcfbe440bf6b20700ae
"250","150","1","100","50","200","1004"
"400","240","2","160","80","320","1004"
"250","150","3","100","50","200","1004"
"250","150","5","100","50","200","1004"
"400","240","6","160","80","320","1004"
"3","1","12","1","1","2","1004"
"250","150","1","100","50","200","1005"
"250","150","3","100","50","200","1005"
"400","240","4","160","80","320","1005"
"250","150","5","100","50","200","1005"
"400","240","7","160","80","320","1005"
"3","1","13","1","1","2","1005"
"125","75","1","50","25","100","1010"
"200","120","2","80","40","160","1010"
"125","75","3","50","25","100","1010"
"125","75","5","50","25","100","1010"
"200","120","6","80","40","160","1010"
"125","75","1","50","25","100","1011"
"125","75","3","50","25","100","1011"
"200","120","4","80","40","160","1011"
"125","75","5","50","25","100","1011"
"200","120","7","80","40","160","1011"
"500","300","1","200","100","400","1006"
"250","150","2","100","50","200","1006"
"500","300","3","200","100","400","1006"
"500","300","5","200","100","400","1006"
"250","150","6","100","50","200","1006"
"3","1","12","1","1","2","1006"
"500","300","1","200","100","400","1007"
"500","300","3","200","100","400","1007"
"250","150","4","100","50","200","1007"
"500","300","5","200","100","400","1007"
"250","150","7","100","50","200","1007"
"3","1","13","1","1","2","1007"
"125","75","1","50","25","100","1008"
"200","120","2","80","40","160","1008"
"125","75","3","50","25","100","1008"
"125","75","5","50","25","100","1008"
"200","120","6","80","40","160","1008"
"3","1","14","1","1","2","1008"
"125","75","1","50","25","100","1009"
"125","75","3","50","25","100","1009"
"200","120","4","80","40","160","1009"
"125","75","5","50","25","100","1009"
"200","120","7","80","40","160","1009"
"3","1","14","1","1","2","1009"
"250","150","1","100","50","200","1012"
"400","240","2","160","80","320","1012"
"250","150","3","100","50","200","1012"
"250","150","5","100","50","200","1012"
"400","240","6","160","80","320","1012"
"5","3","12","2","1","4","1012"
"250","150","1","100","50","200","1013"
"250","150","3","100","50","200","1013"
"400","240","4","160","80","320","1013"
"250","150","5","100","50","200","1013"
"400","240","7","160","80","320","1013"
"5","3","13","2","1","4","1013"
"200","120","1","80","40","160","1014"
"125","75","2","50","25","100","1014"
"200","120","3","80","40","160","1014"
"200","120","5","80","40","160","1014"
"125","75","6","50","25","100","1014"
"200","120","1","80","40","160","1015"
"200","120","3","80","40","160","1015"
"125","75","4","50","25","100","1015"
"200","120","5","80","40","160","1015"
"125","75","7","50","25","100","1015"
