2c460ed330e7dd13426db4f1a507ab9b8910c9b4abe8f9a1ba4c4558a2eca55e,368d4cafb3795b05aca359e8eab101c1dd54d57ef08f013c9d35f9843301d088,466e47966ea96574f38665d6d080b86a64e8f7a78b8919b7f1bbefa55219e43f,d294e3bd66e641649eff70fb117e491c724803f0a2af8a32ed6bc09c0d651034,5aadfd47bf283dfa91c8194744cdeeadb2ca25e448978daeafabeb28a321b1e8,1371867d61afb19796111b0a16fe55b4ecb65f64b3fbb446457bf46f6f5b2603,529f825144d9c0b0cc3bb7dfd93f347fb4022a74aae7bbc3994bf4ac4e2e4600,20d4c13e831ddf7460999175d72a10f6a48b298b5e37b1f7fc978bdcf0f1f757,9962050ac954094867a7c22fcec24b7e27b4c06e25f1c67cd5c26e370f3a809f,d9b3b66bf235c1d5152f0ea8e86a50dca4edcd9b882cdc63fec23a45b9f53cf7,d46a01ce79b746e2c58b24069442527b0624449fe5ea50c2bed1d83b0577d4af,74ab658f1cdacae36fac669c3cdf18611545de810ad664dfa7e0a21fe7584cfa
"1","7003","0","31000101","2022/12/23 11:59:59","1000","31000101","1回バトルしよう","10","0","2022/12/16 12:00:00","3"
"5","7003","0","31000102","2022/12/23 11:59:59","1000","31000102","5回バトルしよう","10","0","2022/12/16 12:00:00","3"
"10","7003","0","31000103","2022/12/23 11:59:59","1000","31000103","10回バトルしよう","10","0","2022/12/16 12:00:00","3"
"15","7003","0","31000104","2022/12/23 11:59:59","1000","31000104","15回バトルしよう","10","0","2022/12/16 12:00:00","3"
"20","7003","0","31000105","2022/12/23 11:59:59","1000","31000105","20回バトルしよう","10","0","2022/12/16 12:00:00","3"
"25","7003","0","31000106","2022/12/23 11:59:59","1000","31000106","25回バトルしよう","10","0","2022/12/16 12:00:00","3"
"30","7003","0","31000107","2022/12/23 11:59:59","1000","31000107","30回バトルしよう","10","0","2022/12/16 12:00:00","3"
"35","7003","0","31000108","2022/12/23 11:59:59","1000","31000108","35回バトルしよう","10","0","2022/12/16 12:00:00","3"
"40","7003","0","31000109","2022/12/23 11:59:59","1000","31000109","40回バトルしよう","10","0","2022/12/16 12:00:00","3"
"5000000","7004","0","31001101","2022/12/23 11:59:59","1001","31001101","黒の王ジャバウォックに累積500万ダメージ与えよう","10","3001","2022/12/16 12:00:00","3"
"7500000","7004","0","31001102","2022/12/23 11:59:59","1001","31001102","黒の王ジャバウォックに累積750万ダメージ与えよう","10","3001","2022/12/16 12:00:00","3"
"10000000","7004","0","31001103","2022/12/23 11:59:59","1001","31001103","黒の王ジャバウォックに累積1000万ダメージ与えよう","10","3001","2022/12/16 12:00:00","3"
"1","7005","2500000","31001111","2022/12/23 11:59:59","1001","31001111","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","11","3001","2022/12/16 12:00:00","3"
"1","7005","5000000","31001112","2022/12/23 11:59:59","1001","31001112","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","11","3001","2022/12/16 12:00:00","3"
"5000000","7004","0","31001201","2022/12/23 11:59:59","1001","31001201","暴走のイノセントボウに累積500万ダメージ与えよう","20","3002","2022/12/16 12:00:00","3"
"7500000","7004","0","31001202","2022/12/23 11:59:59","1001","31001202","暴走のイノセントボウに累積750万ダメージ与えよう","20","3002","2022/12/16 12:00:00","3"
"10000000","7004","0","31001203","2022/12/23 11:59:59","1001","31001203","暴走のイノセントボウに累積1000万ダメージ与えよう","20","3002","2022/12/16 12:00:00","3"
"1","7005","2500000","31001211","2022/12/23 11:59:59","1001","31001211","暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","21","3002","2022/12/16 12:00:00","3"
"1","7005","5000000","31001212","2022/12/23 11:59:59","1001","31001212","暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","21","3002","2022/12/16 12:00:00","3"
"5000000","7004","0","31001301","2022/12/23 11:59:59","1001","31001301","ファントムバロンに累積500万ダメージ与えよう","30","3003","2022/12/16 12:00:00","3"
"7500000","7004","0","31001302","2022/12/23 11:59:59","1001","31001302","ファントムバロンに累積750万ダメージ与えよう","30","3003","2022/12/16 12:00:00","3"
"10000000","7004","0","31001303","2022/12/23 11:59:59","1001","31001303","ファントムバロンに累積1000万ダメージ与えよう","30","3003","2022/12/16 12:00:00","3"
"1","7005","2500000","31001311","2022/12/23 11:59:59","1001","31001311","ファントムバロンに1度のバトルで250万ダメージ与えよう","31","3003","2022/12/16 12:00:00","3"
