aa2e321262efc13c4a9b0637849e25b4745fa81b99dd103fbf0b3f4bf996109e,8caba6d451f1a91e66e098e0f95c3e66ed0f3c1a5a700952756686db7d4c1a11,be9f862de50f8f304d0db57efafb565bfc2b18f9b18e104514fe6dbe051df6c7
"10000101","15","2"
"10000201","15","1"
"10000401","25","1"
"10000601","50","3"
"10000801","15","2"
"10000901","15","1"
"10001001","25","3"
"10001101","10","2"
"10001501","25","3"
"10001502","15","1"
"20101001","15","1"
"20103001","50","3"
"20105001","25","2"
"20106001","25","1"
"20107001","25","3"
"20108001","25","2"
"20112001","25","3"
"20112002","50","1"
"20115001","30","1"
"20117001","75","3"
"20119001","50","2"
"20120001","50","1"
"20121001","30","3"
"20122001","50","2"
"20126001","30","3"
"20126002","50","1"
"20129001","50","2"
"20131001","50","1"
"20133001","100","3"
"20135001","50","2"
"20136001","50","1"
"20137001","50","3"
"20138001","50","2"
"20142001","50","3"
"20142002","50","1"
"20145001","100","1"
"20146001","100","3"
"20147001","75","2"
"20150001","200","1"
