86183dc5ecac8b1109aede1eb919c4c9191e96f99edcc9762568cb438035cf53,2ed88d0e714524d7bd4ef425578540476114e011deeb2487ad8b5f71ee021f76,0ce3cc3bccabe0c8c4819a81dc67d7ea0c7c264e15549f7ed891575d952ee05e,904ba0401305b6f1367c3cf47f0810d090b610f85b6c57266878a0925dafee8f,8a5749fc6037c82c19e402247286b938787c3ef07d2dcd59d09a7cf9a038017f,6b6addfcbcbf46404a6449d6fe45c76a0214e081bf53360396f1b3822896e586,d5a23c035db260a2e1ea3766df9482dde3e439aa941fdb1863eeb5210f4526be
"300900","100721","-10","0.8","31001","0","0.8"
"302300","100722","-40","0.7","31002","0","0.7"
"302400","100261","-40","0.8","31003","0","0.8"
"302500","100283","-20","0.9","31004","0","0.9"
"301700","101611","-10","0.9","31005","0","0.9"
"310100","102174","-40","0.7","31006","0","0.7"
"399800","102751","-60","0.3","31007","-80","0.3"
"314901","103001","20","0.9","31008","-20","0.9"
"318405","103232","-110","0.7","31009","30","0.7"
"320100","103371","-10","1","31010","0","1"
