69c0f91e2c3ee377e250eea4e6b0f538048748d7405cedb899aa47797a74fad6,afbdba06ee1186cfbd1fce554a78ec3a058d0e223e886f972a7f01831396ea27,aabf470bd732a3f2b34a37ee96a47c1f736d3c11d8ef1d8e46277380ed8469c5,93a8c145285d44da59c249834973296b78ade99eb136ac5c9bcc38c61bd2fbdc,1777c5b0fb9d924667324a911df7fae905a2c0fc3ac74307fedd787713cdc044,d0aadd1eade0c140d4509d8942286dd50c3eedeaf9355b5da420a375b9751c57,25116a4049e1bcc945d3cb3ec78ca48acc91843f4b6ef89818c7e339430ac8a5,442267524648363866d52b1bca7af4fe28930adde27703b08328087d1b463fd3,0008716fc0e90ad84d51fc3ccf49203a853ff61933165f86e4cd2d04a29189fc,82d30a9781c1ed303353fe8ba052fac1a1dd15d03fa77d20a04c4f6730454141,d1e6b88310e19cd44eebf3d17b9d2413b7f446f9c380d13e957be6ae5e3fd8a5,34f0eca16f55dfa872925a945ed36595476638ada351bc43d4b62ba843212607,5c203e978c98f842762bbee4eb3c7392b7540a836bdd564586c96cdaecca4951
"100001","0","130011","攻撃力を15％アップさせ、攻撃速度を10％\nアップさせる。","2","攻撃力と攻撃速度を小アップ","0","10000101","ヤマト","0","0","0","2210101"
"100002","0","130111","最大HPを15％アップさせ、攻撃速度を10％\nアップさせる。","2","最大HPと攻撃速度を小アップ","0","10000201","ワカナ","0","0","0","2210201"
"100003","0","130211","バトル開始から３秒間、敵の移動速度と攻撃\n速度を15%ダウンさせる。","2","敵の移動速度と攻撃速度を小ダウン","0","0","フブキ","0","0","0","2210301"
"100004","1","105811","最大HPを25％アップさせる。","2","最大HPを中アップ","0","10000401","ペコリーヌ","0","0","0","0"
"100005","2","106011","バトル開始から３秒間、敵の移動速度を25％\nダウンさせる。","2","敵の移動速度を中ダウン","0","0","キャル","0","0","0","2210501"
"100006","3","105911","コスト上限を50％アップさせる。","2","コスト上限を大アップ","0","10000601","コッコロ","0","0","0","0"
"100007","4","106411","移動速度を25％アップさせる。","3","移動速度を中アップ","0","0","シェフィ","0","0","0","2210701"
"100008","5","131311","攻撃力を15％アップさせ、移動速度を10％\nアップさせる。","2","攻撃力と移動速度を小アップ","0","10000801","リリ","0","0","0","2210801"
"100009","6","131411","最大HPを15％アップさせ、移動速度を10％\nアップさせる。","2","最大HPと移動速度を小アップ","0","10000901","クリア","0","0","0","2210901"
"100010","7","131511","コスト上限を25％アップさせ、移動速度を\n10％アップさせる。","2","コスト上限と移動速度を小アップ","0","10001001","プレシア","0","0","0","2211001"
"100011","8","126411","攻撃力を10％アップさせ、バトル開始から\n３秒間、攻撃速度を15％アップさせる。","2","攻撃力と攻撃速度を小アップ","0","10001101","クローチェ","0","0","0","2211101"
"100012","9","126511","バトル開始から３秒間、攻撃力を25％アップ\nさせる。","3","攻撃力を中アップ","0","0","ライラエル","0","0","0","2211201"
"100013","10","127711","バトル開始から３秒間、攻撃速度を10％アッ\nプさせ、その後、攻撃力を25％アップさせる。","2","攻撃速度と攻撃力をアップ","0","0","リンド","0","0","0","2211301"
"100014","11","127811","バトル開始から３秒間、自分の攻撃速度を\n10％ダウンさせ、その後、敵の攻撃力を25％\nダウンさせる。","2","自分の攻撃速度と敵の攻撃力をダウン","0","0","ヴルム","0","0","0","2211401"
"100015","12","130911","コスト上限を25％アップさせ、HPを15％\nアップさせる。","3","コスト上限とHPを小アップ","0","10001501","クルル","0","10001502","0","0"
"100016","13","129611","敵の攻撃力と攻撃速度を10％ダウンさせる。","2","相手の攻撃力と攻撃速度を小ダウン","0","0","アネモネ","0","0","0","2211601"
"100017","14","129711","バトル開始から1.5秒間、敵の移動速度を\n50％ダウンさせる。","3","相手の移動速度を大ダウン","0","0","ネフィ＝ネラ","0","0","0","2211701"
"101001","0","130011","残りHPが50％以下になった時に発動する。\n３秒間斬撃を飛ばして、大ダメージを与える。","1","敵に斬撃を飛ばして攻撃する","1","0","ヤマト","0","0","0","3110101"
"101002","0","130111","残りHPが70％以下になった時に発動する。\nスパイク・ブラザーズが出現し、敵に衝突\nすると小ダメージを与え、吹き飛ばす。","1","スパイク・ブラザーズが敵を弾き飛ばす","1","0","ワカナ","0","0","0","3110201"
"101003","0","130211","バトル開始から３秒後に発動する。\n敵の移動と攻撃を１秒間封じる。","1","敵の移動と攻撃を１秒間封じる","1","0","フブキ","0","0","0","2110301"
"201010","0","105811","最大HPを15％アップさせる。","2","最大HPをアップ","1","20101001","ペコリーヌ","0","0","0","0"
"201020","0","106011","バトル開始から３秒間、敵の移動速度を15％\nダウンさせる。","2","敵の移動速度をダウン","1","0","キャル","0","0","0","2220201"
"201030","0","105911","コスト上限を50％アップさせる。","2","コスト上限をアップ","1","20103001","コッコロ","0","0","0","0"
"201040","0","106411","移動速度を15％アップさせる。","3","移動速度をアップ","1","0","シェフィ","0","0","0","2220401"
"201050","0","131311","攻撃力を25％アップさせ、移動速度を10％\nアップさせる。","2","攻撃力と移動速度をアップ","1","20105001","リリ","0","0","0","2220501"
"201060","0","131411","最大HPを25％アップさせ、移動速度を10％\nアップさせる。","2","最大HPと移動速度をアップ","1","20106001","クリア","0","0","0","2220601"
"201070","0","131511","コスト上限を25％アップさせ、移動速度を\n10％アップさせる。","2","コスト上限と移動速度をアップ","1","20107001","プレシア","0","0","0","2220701"
"201080","0","126411","攻撃力を25％アップさせ、バトル開始から\n３秒間、攻撃速度を15％アップさせる。","2","攻撃力と攻撃速度をアップ","1","20108001","クローチェ","0","0","0","2220801"
"201090","0","126511","バトル開始から３秒間、攻撃力を25％アップ\nさせる。","3","攻撃力をアップ","1","0","ライラエル","0","0","0","2220901"
"201100","0","127711","バトル開始から３秒間、攻撃速度を10％アッ\nプさせ、その後、攻撃力を15％アップさせる。","2","攻撃速度と攻撃力をアップ","1","0","リンド","0","0","0","2221001"
"201110","0","127811","バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を15％ダ\nウンさせる。","2","自分の攻撃速度と敵の攻撃力をダウン","1","0","ヴルム","0","0","0","2221101"
"201120","0","130911","コスト上限を25％アップさせ、HPを50％\nアップさせる。","3","コスト上限とHPをアップ","1","20112001","クルル","0","20112002","0","0"
"201130","0","129611","敵の攻撃力と攻撃速度を10％ダウンさせる。","2","相手の攻撃力と攻撃速度をダウン","1","0","アネモネ","0","0","0","2221301"
"201140","0","129711","バトル開始から1.5秒間、敵の移動速度を\n25％ダウンさせる。","3","相手の移動速度をダウン","1","0","ネフィ＝ネラ","0","0","0","2221401"
"201150","0","105811","最大HPを30％アップさせる。","2","最大HPをアップ","1","20115001","ペコリーヌ","0","0","0","0"
"201160","0","106011","バトル開始から３秒間、敵の移動速度を20％\nダウンさせる。","2","敵の移動速度をダウン","1","0","キャル","0","0","0","2221601"
"201170","0","105911","コスト上限を75％アップさせる。","2","コスト上限をアップ","1","20117001","コッコロ","0","0","0","0"
"201180","0","106411","移動速度を20％アップさせる。","3","移動速度をアップ","1","0","シェフィ","0","0","0","2221801"
"201190","0","131311","攻撃力を50％アップさせ、移動速度を15％\nアップさせる。","2","攻撃力と移動速度をアップ","1","20119001","リリ","0","0","0","2221901"
"201200","0","131411","最大HPを50％アップさせ、移動速度を15％\nアップさせる。","2","最大HPと移動速度をアップ","1","20120001","クリア","0","0","0","2222001"
"201210","0","131511","コスト上限を30％アップさせ、移動速度を\n15％アップさせる。","2","コスト上限と移動速度をアップ","1","20121001","プレシア","0","0","0","2222101"
"201220","0","126411","攻撃力を50％アップさせ、バトル開始から\n３秒間、攻撃速度を20％アップさせる。","2","攻撃力と攻撃速度をアップ","1","20122001","クローチェ","0","0","0","2222201"
"201230","0","126511","バトル開始から３秒間、攻撃力を30％アップ\nさせる。","3","攻撃力をアップ","1","0","ライラエル","0","0","0","2222301"
"201240","0","127711","バトル開始から３秒間、攻撃速度を15％アッ\nプさせ、その後、攻撃力を20％アップさせる。","2","攻撃速度と攻撃力をアップ","1","0","リンド","0","0","0","2222401"
"201250","0","127811","バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を20％ダ\nウンさせる。","2","自分の攻撃速度と敵の攻撃力をダウン","1","0","ヴルム","0","0","0","2222501"
"201260","0","130911","コスト上限を30％アップさせ、HPを50％\nアップさせる。","3","コスト上限とHPをアップ","1","20126001","クルル","0","20126002","0","0"
"201270","0","129611","敵の攻撃力と攻撃速度を15％ダウンさせる。","2","相手の攻撃力と攻撃速度をダウン","1","0","アネモネ","0","0","0","2222701"
