03eba52f91cc07185c4855fff001036fd1b873d7003fdc974096838c2b37bda8,a911c55828250f2d8a03ba36d4a0fc0eba9326ceca9db1f10c68de879289c76b,012c359e292b454d0f67dc56e3f620780f05fb6da17a4c3e8dc5b24d48fdd644,3a963e1fadccc1d8f40936448ea2c37c84b4c3b72791236e6a59e27ce94d9955,0cec9ccd4698e60b44f99096fafa5766077fcf28827373cd622f369ca0cff8b8,e0dcc175f9afc8d9ac29c9350afd947fc68acdc2bf59b56368333d558287521c,89c30fa11d0b456dd0367f4aac59fb1b9f639f57f277748d62e64be95aa44e34,f37840d668b15cedc84959f3805cec324e15f424d0a42ad1c9e46558be00010f,e7d93522039a864928e5b99441798d0fc1e398efebc6ccdb25ba2377f0d4e1bc,b1b6be3db110cffce4432cac206eb93bc938b34f05ecc46b55ce5ca8f5c3dc9b,598c079a51233a2eba46d5d050bcc2550286a0818cfd601ddae5112997b656f0
"psy_miyako_idle","1","1","1","1.7","0","-200","119931","100","-220","1001"
"psy_idle_normal","1","1","5","1.7","1","1000","1","100","-220","1002"
"psy_fairy_idle","1","1","5","1.7","0","-50","2","105","-220","1003"
"","1","1","31","1","","0","11","0","1","1004"
"","1","1","3","0.2","","","psy_item00_run","1","","1005"
"","1","1","2","","","2.5","285","-220","0","1006"
"","1","2.5","93","","","","","","","1007"
"","1","1","3","0.2","","","psy_item00_idle","1","","1008"
"","1","0.5","93","","","","","","","1009"
"","1","119931","3","0.2","","","psy_miyako_talk1","1","","1010"
"","1","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0101","0","","1011"
"0.5","1","119931","11","0","0","1","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","6","0","1012"
"","1","6","93","","","","1","","","1013"
"","1","119931","3","0.2","0.2","psy_miyako_doya_loop","psy_miyako_doya_in","0","1","1014"
"","1","1012","91","","","","","","","1015"
"","1","0","22","","","","0","","","1016"
"","1","2","3","0.2","","","psy_fairy_talk","1","","1017"
"","1","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_9901","0","","1018"
"0.5","1","2","11","0","0","1","キュイキュイ！","6","0","1019"
"","1","0","91","","","","","","","1020"
"","1","2","3","0.2","","","psy_fairy_idle","1","","1021"
"","1","119931","3","0.2","","","psy_miyako_talk2","1","","1022"
"","1","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0102","0","","1023"
"0.5","1","119931","11","0","0","1","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","5","0","1024"
"","1","2","93","","","","1","","","1025"
"","1","119931","3","0.2","","","psy_miyako_talk_joy2","1","","1026"
"","1","1024","91","","","","","","","1027"
"","1","0","22","","","","0","","","1028"
"","1","119931","3","0.2","","","psy_miyako_idle","1","","1029"
"","1","2","4","","","","1","","","1030"
"","1","2","3","0.2","0","psy_fairy_run","psy_fairy_run_in","0","1","1031"
"","1","1.3","93","","","","","","","1032"
"","1","2","2","","","1","1000","-220","0","1033"
"","1","2","93","","","","","","","1034"
"","1","119931","3","0.2","0.2","psy_miyako_doya_loop","psy_miyako_doya_in","0","1","1035"
"","1","vo_minigame_1008","21","","","0","vo_minigame_1008_drama_0103","0","","1036"
"0.5","1","119931","11","0","0","1","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","6","0","1037"
"","1","0","91","","","","","","","1038"
"","1","0","22","","","","0","","","1039"
"0","1","1","12","0","0","0","11","1","0","1040"
"","1","1","3","0.2","0.2","psy_item00_idle_guts","psy_item00_talk_guts","0","1","1041"
"","1","2","93","","","","","","","1042"
"","1","119931","3","0.2","","","psy_miyako_talk_joy2","1","","1043"
