9be7ae1e54a573d8de9b9d1fce58bf867b6b550f00871e76fcade9c02aff0b05,6c6e3adf8d01b8894c4a569b1d820515a48d238262d60a16bc0b34f3377a3f0a,93c603b1f722fc4e8af3fcc0e6d5f2850bd4e78d62ce8f2b19ec06975f524bef,34e5ccfeefd8c2111a2b03e02299b8b3f56102dcc6bfba94c37e80690449d006,1d7a949f9407d2624845144bc711e6989288c41595671d5e3661ed2f617ee778
"1","1","100111","1001","1"
"1","2","100112","1001","2"
"1","3","100113","1001","3"
"1","4","100114","1001","4"
"1","5","100115","1001","5"
"2","6","100121","1001","1"
"2","7","100122","1001","2"
"2","8","100123","1001","3"
"2","9","100124","1001","4"
"2","10","100125","1001","5"
"3","11","100131","1001","1"
"3","12","100132","1001","2"
"3","13","100133","1001","3"
"3","14","100134","1001","4"
"3","15","100135","1001","5"
"1","16","100211","1002","1"
"1","17","100212","1002","2"
"1","18","100213","1002","3"
"1","19","100214","1002","4"
"1","20","100215","1002","5"
"2","21","100221","1002","1"
"2","22","100222","1002","2"
"2","23","100223","1002","3"
"2","24","100224","1002","4"
"2","25","100225","1002","5"
"3","26","100231","1002","1"
"3","27","100232","1002","2"
"3","28","100233","1002","3"
"3","29","100234","1002","4"
"3","30","100235","1002","5"
"1","31","100311","1003","1"
"1","32","100312","1003","2"
"1","33","100313","1003","3"
"1","34","100314","1003","4"
"1","35","100315","1003","5"
"2","36","100321","1003","1"
"2","37","100322","1003","2"
"2","38","100323","1003","3"
"2","39","100324","1003","4"
"2","40","100325","1003","5"
"3","41","100331","1003","1"
"3","42","100332","1003","2"
"3","43","100333","1003","3"
"3","44","100334","1003","4"
"3","45","100335","1003","5"
"1","46","100411","1004","1"
"1","47","100412","1004","2"
"1","48","100413","1004","3"
"1","49","100414","1004","4"
"1","50","100415","1004","5"
"2","51","100421","1004","1"
"2","52","100422","1004","2"
"2","53","100423","1004","3"
"2","54","100424","1004","4"
"2","55","100425","1004","5"
"3","56","100431","1004","1"
"3","57","100432","1004","2"
"3","58","100433","1004","3"
"3","59","100434","1004","4"
"3","60","100435","1004","5"
"4","61","100441","1004","1"
"4","62","100442","1004","2"
"4","63","100443","1004","3"
"4","64","100444","1004","4"
"4","65","100445","1004","5"
