2f4cee17dd5023e55e1f4d5dfaab3d3e5006784d8b2da44652931ede6647e0af,420febfab5aa7b8374c783d2b188d83112df5544406c3543d9050eb37e949343,19ef4f9e8d52dd3812c52def6d0b8878465bf9fd27f7d191af590239cb274081,607777c5869004b2ecce5da8216b01443525a4de3a35afeacee4de9b1e0a9abc,9cd00451be28049175ea62e4249c736d340a54f5d4ce244ac5f2687e38387753,7e42c751fcd8511233a46a64aa69174797a3856a1b2546bf78baf7d0136c71d4
"10","500","1","1","10","2"
"20","500","1","1","10","3"
"30","500","1","1","10","4"
"40","500","1","1","10","5"
"50","500","1","1","10","6"
"60","500","1","1","10","7"
"70","500","1","1","10","8"
"80","500","1","1","10","9"
"90","500","1","1","10","10"
"105","500","1","1","15","11"
"120","500","1","1","15","12"
"135","500","1","1","15","13"
"150","500","1","1","15","14"
"165","500","1","1","15","15"
"180","500","1","1","15","16"
"195","500","1","1","15","17"
"210","500","1","1","15","18"
"225","500","1","1","15","19"
"240","500","1","1","15","20"
"265","500","1","1","25","21"
"290","500","1","1","25","22"
"315","500","1","1","25","23"
"340","500","1","1","25","24"
"365","500","1","1","25","25"
"390","500","1","1","25","26"
"415","500","1","1","25","27"
"440","500","1","1","25","28"
"465","500","1","1","25","29"
"490","500","1","1","25","30"
"530","500","2","1","40","31"
"570","500","2","1","40","32"
"610","500","2","1","40","33"
"650","500","2","1","40","34"
"690","500","2","1","40","35"
"730","500","2","1","40","36"
"770","500","2","1","40","37"
"810","500","2","1","40","38"
"850","500","2","1","40","39"
"890","500","2","1","40","40"
"940","500","2","1","50","41"
"990","500","2","1","50","42"
"1040","500","2","1","50","43"
"1090","500","2","1","50","44"
"1140","500","2","1","50","45"
"1190","500","2","1","50","46"
"1240","500","2","1","50","47"
"1290","500","2","1","50","48"
"1340","500","2","1","50","49"
"1390","500","2","1","50","50"
"1450","500","3","1","60","51"
"1510","500","3","1","60","52"
"1570","500","3","1","60","53"
"1630","500","3","1","60","54"
"1690","500","3","1","60","55"
"1750","500","3","1","60","56"
"1810","500","3","1","60","57"
"1870","500","3","1","60","58"
"1930","500","3","1","60","59"
"1990","500","3","1","60","60"
"2065","600","3","1","75","61"
"2140","600","3","1","75","62"
"2215","600","3","1","75","63"
"2290","600","3","1","75","64"
"2365","600","3","1","75","65"
"2440","600","3","1","75","66"
"2515","600","3","1","75","67"
"2590","600","3","1","75","68"
"2665","600","3","1","75","69"
"2740","600","3","1","75","70"
"2840","600","4","1","100","71"
"2940","600","4","1","100","72"
"3040","600","4","1","100","73"
"3140","600","4","1","100","74"
"3240","600","4","1","100","75"
"3340","600","4","1","100","76"
"3440","600","4","1","100","77"
"3540","600","4","1","100","78"
"3640","600","4","1","100","79"
"3740","600","4","1","100","80"
"3865","600","4","1","125","81"
"3990","600","4","1","125","82"
"4115","600","4","1","125","83"
"4240","600","4","1","125","84"
"4365","600","4","1","125","85"
"4490","600","4","1","125","86"
"4615","600","4","1","125","87"
"4740","600","4","1","125","88"
"4865","600","4","1","125","89"
"4990","600","4","1","125","90"
"5140","600","5","1","150","91"
"5290","600","5","1","150","92"
"5440","600","5","1","150","93"
"5590","600","5","1","150","94"
"5740","600","5","1","150","95"
"5890","600","5","1","150","96"
"6040","600","5","1","150","97"
"6190","600","5","1","150","98"
"6340","600","5","1","150","99"
"6490","600","5","1","150","100"
"6665","600","5","1","175","101"
"6840","600","5","1","175","102"
"7015","600","5","1","175","103"
"7190","600","5","1","175","104"
"7365","600","5","1","175","105"
"7540","600","5","1","175","106"
"7715","600","5","1","175","107"
"7890","600","5","1","175","108"
"8065","600","5","1","175","109"
"8240","600","5","1","175","110"
"8440","600","6","1","200","111"
"8640","600","6","1","200","112"
"8840","600","6","1","200","113"
"9040","600","6","1","200","114"
"9240","600","6","1","200","115"
"9440","600","6","1","200","116"
"9640","600","6","1","200","117"
"9840","600","6","1","200","118"
"10040","600","6","1","200","119"
"10240","600","6","1","200","120"
"10465","600","6","1","225","121"
"10690","600","6","1","225","122"
"10915","600","6","1","225","123"
"11140","600","6","1","225","124"
"11365","600","6","1","225","125"
"11590","600","6","1","225","126"
"11815","600","6","1","225","127"
"12040","600","6","1","225","128"
"12265","600","6","1","225","129"
"12490","600","6","1","225","130"
"12740","600","7","1","250","131"
"12990","600","7","1","250","132"
"13240","600","7","1","250","133"
"13490","600","7","1","250","134"
"13740","600","7","1","250","135"
"13990","600","7","1","250","136"
"14240","600","7","1","250","137"
"14490","600","7","1","250","138"
"14740","600","7","1","250","139"
"14990","600","7","1","250","140"
"15240","600","8","1","250","141"
"15490","600","8","1","250","142"
"15740","600","8","1","250","143"
"15990","600","8","1","250","144"
"16240","600","8","1","250","145"
"16490","600","8","1","250","146"
"16740","600","8","1","250","147"
"16990","600","8","1","250","148"
"17240","600","8","1","250","149"
"17490","600","8","1","250","150"
"17740","600","9","1","250","151"
"17990","600","9","1","250","152"
"18240","600","9","1","250","153"
"18490","600","9","1","250","154"
"18740","600","9","1","250","155"
"18990","600","9","1","250","156"
"19240","600","9","1","250","157"
"19490","600","9","1","250","158"
"19740","600","9","1","250","159"
"19990","600","9","1","250","160"
"20240","600","10","1","250","161"
"20490","600","10","1","250","162"
"20740","600","10","1","250","163"
"20990","600","10","1","250","164"
"21240","600","10","1","250","165"
"21490","600","10","1","250","166"
"21740","600","10","1","250","167"
"21990","600","10","1","250","168"
"22240","600","10","1","250","169"
"22490","600","10","1","250","170"
"22740","600","11","1","250","171"
"22990","600","11","1","250","172"
"23240","600","11","1","250","173"
"23490","600","11","1","250","174"
"23740","600","11","1","250","175"
"23990","600","11","1","250","176"
"24240","600","11","1","250","177"
"24490","600","11","1","250","178"
"24740","600","11","1","250","179"
"24990","600","11","1","250","180"
"25240","600","12","1","250","181"
"25490","600","12","1","250","182"
"25740","600","12","1","250","183"
"25990","600","12","1","250","184"
"26240","600","12","1","250","185"
"26490","600","12","1","250","186"
"26740","600","12","1","250","187"
"26990","600","12","1","250","188"
"27240","600","12","1","250","189"
"27490","600","12","1","250","190"
"27740","600","13","1","250","191"
"27990","600","13","1","250","192"
"28240","600","13","1","250","193"
"28490","600","13","1","250","194"
"28740","600","13","1","250","195"
"28990","600","13","1","250","196"
