8d4632fb774374667a5c7e6349e6815df89e209c2cd9b921a46c5ce565b8a772,d5962f5df37916507e701e5950510ccc0ddfa498e412c85af686028066ff6a22,b0c3cb0ea23fa70df76d9a4f53b5a0b54b75f162f4dfe43d1deaadbe1d5ea63e,077643dc195675771ece7be9972fdd47bc132e4344b1a17f38268166bb97d844,4856ef2e89fbc09eed9cabfa78251a1e16bbb5d57485d27af79ede51d02b6ec5,97d3a66fef407f25465a851cc1cac2fa47d1d8f56846299490bf69b3d333f47f
"11101","vo_caravan_105801_start_001","vo_caravan","1","1","1"
"11102","vo_caravan_105801_start_002","vo_caravan","1","1","1"
"12101","vo_caravan_105901_start_001","vo_caravan","2","1","1"
"12102","vo_caravan_105901_start_002","vo_caravan","2","1","1"
"13101","vo_caravan_106001_start_001","vo_caravan","3","1","1"
"13102","vo_caravan_106001_start_002","vo_caravan","3","1","1"
"14101","vo_caravan_106401_start_001","vo_caravan","4","1","1"
"14102","vo_caravan_106401_start_002","vo_caravan","4","1","1"
"21101","vo_caravan_105801_dice_001","vo_caravan","1","1","2"
"21102","vo_caravan_105801_dice_002","vo_caravan","1","1","2"
"22101","vo_caravan_105901_dice_001","vo_caravan","2","1","2"
"22102","vo_caravan_105901_dice_002","vo_caravan","2","1","2"
"23101","vo_caravan_106001_dice_001","vo_caravan","3","1","2"
"23102","vo_caravan_106001_dice_002","vo_caravan","3","1","2"
"24101","vo_caravan_106401_dice_001","vo_caravan","4","1","2"
"24102","vo_caravan_106401_dice_002","vo_caravan","4","1","2"
"31101","vo_caravan_105801_slot_001","vo_caravan","1","1","3"
"32101","vo_caravan_105901_slot_001","vo_caravan","2","1","3"
"33101","vo_caravan_106001_slot_001","vo_caravan","3","1","3"
"34101","vo_caravan_106401_slot_001","vo_caravan","4","1","3"
"41101","vo_caravan_105801_dish_001","vo_caravan","1","1","4"
"41102","vo_caravan_105801_dish_002","vo_caravan","1","1","4"
"42101","vo_caravan_105901_dish_001","vo_caravan","2","1","4"
"42102","vo_caravan_105901_dish_002","vo_caravan","2","1","4"
"42201","se_caravan_food_peko","se_caravan","1","2","4"
"42202","se_caravan_food_coccoro","se_caravan","2","2","4"
"42203","se_caravan_food_kyaru","se_caravan","3","2","4"
"42204","se_caravan_food_coccoro","se_caravan","4","2","4"
"42205","se_caravan_food_onigiri","se_caravan","100","2","4"
"43101","vo_caravan_106001_dish_001","vo_caravan","3","1","4"
"43102","vo_caravan_106001_dish_002","vo_caravan","3","1","4"
"44101","vo_caravan_106401_dish_001","vo_caravan","4","1","4"
"44102","vo_caravan_106401_dish_002","vo_caravan","4","1","4"
"45101","vo_caravan_onigiri_dish_001","vo_caravan","100","1","4"
"61101","vo_caravan_105801_goal_001","vo_caravan","0","1","6"
"61201","vo_caravan_105801_win_001","vo_caravan","0","1","61"
"61301","vo_caravan_105801_lose_001","vo_caravan","0","1","62"
"62101","vo_caravan_105901_goal_001","vo_caravan","0","1","6"
"62201","vo_caravan_105901_win_001","vo_caravan","0","1","61"
"62301","vo_caravan_105901_lose_001","vo_caravan","0","1","62"
"63101","vo_caravan_106001_goal_001","vo_caravan","0","1","6"
"63201","vo_caravan_106001_win_001","vo_caravan","0","1","61"
"63301","vo_caravan_106001_lose_001","vo_caravan","0","1","62"
"64101","vo_caravan_118501_goal_001","vo_caravan","0","1","6"
"65101","vo_caravan_106401_goal_001","vo_caravan","0","1","6"
"65201","vo_caravan_106401_win_001","vo_caravan","0","1","61"
"65301","vo_caravan_106401_lose_001","vo_caravan","0","1","62"
"71101","vo_caravan_105801_appraise_001","vo_caravan","0","1","7"
"72101","vo_caravan_105901_appraise_001","vo_caravan","0","1","7"
"73101","vo_caravan_106001_appraise_001","vo_caravan","0","1","7"
"74101","vo_caravan_106401_appraise_001","vo_caravan","0","1","7"
"81101","vo_caravan_105801_result_001","vo_caravan","0","1","8"
"82101","vo_caravan_105901_result_001","vo_caravan","0","1","8"
"83101","vo_caravan_106001_result_001","vo_caravan","0","1","8"
"84101","vo_caravan_106401_result_001","vo_caravan","0","1","8"
"211101","vo_caravan_319700_dice_001","vo_caravan","11","1","2"
"211102","vo_caravan_319700_dice_002","vo_caravan","11","1","2"
"212101","vo_caravan_319800_dice_001","vo_caravan","12","1","2"
"212102","vo_caravan_319800_dice_002","vo_caravan","12","1","2"
"213101","vo_caravan_319900_dice_001","vo_caravan","13","1","2"
"213102","vo_caravan_319900_dice_002","vo_caravan","13","1","2"
