f76ae966daea3e750122b3097e775f771d100717bf206026d2ba70eb96a0ec53,8b5fdfaf76b6186a703ec3547596cd6ab842474090cd0728fddcfbf23c4b4ee9,a3cbe9d416f8bf5314aeb8989221c7a78b836570cd3e929010c2c5e6883acb9f,6725a36255b3b732fe2ff1611d55d9cec0750b957bba36b4d2c55548e5d8dd63,56741d2fd09dc612a81926a51e0a45de60e964a71f62b2c32802909c5bda2e0a,fd4f0b5970b8c77b609b9212330d9b3484279d4f639c2c76465c9f7b306150ab,85d0898ca0cf50159d339e04e3f71f84cd6f4c72b17bd3a8698b1b91c39cc3d1,eda7fecb09e7ffd612846a043b3ea74b806f2033b2062338b2431f3f47ff5140
"1","96001","1","1","20000","21952","2","1"
"1","96001","1","1","10000","21904","2","2"
"1","96001","1","1","10000","41000","2","3"
"5","96001","1","5","2000","31803","2","4"
"5","96001","1","5","1500","31215","2","5"
"5","96001","1","5","1500","31210","2","6"
"5","96001","1","5","1500","31211","2","7"
"10","96001","1","5","1250","90005","2","8"
"20","96001","1","10","500","140001","4","9"
"10","96001","1","5","500","25001","2","10"
"5","96001","1","5","100","150003","4","11"
"5","96001","1","5","130","150004","4","12"
"5","96001","1","5","150","150005","4","13"
"5","96001","1","5","180","150006","4","14"
"5","96001","1","5","200","150007","4","15"
"5","96001","1","5","230","150008","4","16"
"5","96001","1","100","500","20004","2","17"
"5","96001","1","100","200","22003","2","18"
"0","96001","1","100","1000","20004","2","19"
"0","96001","1","100","400","22003","2","20"
"1","96002","2","1","20000","21952","2","21"
"1","96002","2","1","10000","21904","2","22"
"1","96002","2","1","10000","41000","2","23"
"5","96002","2","5","1500","31233","2","24"
"5","96002","2","5","1500","31229","2","25"
"5","96002","2","5","1500","31225","2","26"
"10","96002","2","5","1250","90005","2","27"
"20","96002","2","10","500","140001","4","28"
"10","96002","2","5","500","25001","2","29"
"5","96002","2","5","100","150003","4","30"
"5","96002","2","5","130","150004","4","31"
"5","96002","2","5","150","150005","4","32"
"5","96002","2","5","180","150006","4","33"
"5","96002","2","5","200","150007","4","34"
"5","96002","2","5","230","150008","4","35"
"5","96002","2","100","500","20004","2","36"
"5","96002","2","100","200","22003","2","37"
"0","96002","2","100","1000","20004","2","38"
"0","96002","2","100","400","22003","2","39"
"1","96003","3","1","20000","21952","2","40"
"1","96003","3","1","10000","21905","2","41"
"1","96003","3","1","10000","41000","2","42"
"5","96003","3","5","2000","31805","2","43"
"5","96003","3","5","1500","31240","2","44"
"5","96003","3","5","1500","31238","2","45"
