f590547cda25204daf74f1ae80bca50de0aee8acac332f449e991d99fd897f65,bb7a566a532ca44019aff045bdace18ecd484b97f95917217793c16849110a7d,6b429ebfea1efce986350149532e6984992133500ddaf9c6d48abcd1fabda500,f974ef88b396794c6182f93f77183c5217c8c7f8f336b219482df70ab86c10fd,059ddb9da03762e0b4bcd92125f8b6c0d6f7ed1145841ede0217a449530216c7,3ecfb1da11754eee7e048f085ab5077c28554bc01ac4a132ceb3b9bc1ce992fb
"3001","1","211","212","2146041","803100263"
"3002","1","211","212","2146042","803100263"
"3003","1","211","212","2146043","803100263"
"3004","1","211","212","2146044","803100263"
"3006","1","213","212","2147041","803100272"
"3007","1","213","212","2147042","803100272"
"30011","1","202","313","2145039","803100253"
"30012","0","105","302","2145040","803100253"
"30021","1","204","311","2145069","803100256"
"30022","1","205","312","2145070","803100256"
"30031","1","212","310","2145099","803100259"
"30032","0","107","301","2145100","803100259"
"30041","0","110","307","2146039","803100262"
"30042","0","105","302","2146040","803100262"
"30051","1","203","314","2146081","803100267"
"30061","1","205","312","2147019","803100269"
"30062","0","106","303","2147020","803100269"
"30071","1","202","313","2147039","803100271"
"30072","1","212","310","2147040","803100271"
"300101","0","104","100","2145011","803100251"
"300102","0","104","100","2145012","803100251"
"300103","0","105","102","2145013","803100251"
"300104","0","104","100","2145014","803100251"
"300105","0","105","102","2145015","803100251"
"300106","0","106","103","2145016","803100251"
"300107","0","105","102","2145017","803100251"
"300108","0","106","103","2145018","803100251"
"300109","1","204","111","2145019","803100251"
"300110","0","104","100","2145020","803100251"
"300111","0","104","100","2145021","803100252"
"300112","0","105","102","2145022","803100252"
"300113","0","104","100","2145023","803100252"
"300114","0","105","102","2145024","803100252"
"300115","0","106","103","2145025","803100252"
"300116","0","105","102","2145026","803100252"
"300117","0","106","103","2145027","803100252"
"300118","1","204","111","2145028","803100252"
"300119","0","104","100","2145029","803100252"
"300120","0","104","100","2145030","803100252"
"300121","0","105","102","2145031","803100253"
"300122","0","104","100","2145032","803100253"
"300123","0","105","102","2145033","803100253"
"300124","1","208","112","2145034","803100253"
