076b5b390100efa043855d67922ca2d7635dff21d273c97f6ab85d1551076822,c06cdec3844fc1fae25cba58d2e95ddd66f2d9eb683824669a169cc4725b8f22,068937fbae7f640bd1b96567a5b8c4b29a9affa303ea92588e0a127d2ec8fada,4ce6ca174cd65e41e255518e5dde2c64be7e460cc57194afc3d13d7bfbd98d53,c74d4c85a23ca210db990ee1f49b787ab152ae2d5847380cfd0ddc694dac4492,b365bff5994fe1a3ee89dae9e4936681efb5024461f6cd35d4d118ed162480d5
"118001","1013206","2023/11/30 12:00:00","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1"
"118001","1013206","2023/11/30 12:00:00","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2"
"118001","1013206","2023/11/30 12:00:00","3010","バトル開始後90秒間ＴＰ上昇大アップ","3"
"105801","1013206","2023/11/30 12:00:00","3001","バトル開始後90秒間物理攻撃力極大\nアップ","4"
"105801","1013206","2023/11/30 12:00:00","3004","バトル開始後90秒間魔法防御力極大\nアップ","5"
"105801","1013206","2023/11/30 12:00:00","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","6"
"107501","1013206","2023/11/30 12:00:00","3001","バトル開始後90秒間物理攻撃力極大\nアップ","7"
"107501","1013206","2023/11/30 12:00:00","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","8"
"107501","1013206","2023/11/30 12:00:00","3010","バトル開始後90秒間ＴＰ上昇大アップ","9"
"111801","1013206","2023/11/30 12:00:00","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","10"
"111801","1013206","2023/11/30 12:00:00","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","11"
"121001","1013206","2023/11/30 12:00:00","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","13"
"121001","1013206","2023/11/30 12:00:00","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","14"
"180401","1013206","2023/11/30 12:00:00","3001","バトル開始後90秒間物理攻撃力極大\nアップ","16"
"180401","1013206","2023/11/30 12:00:00","3004","バトル開始後90秒間魔法防御力極大\nアップ","17"
"180401","1013206","2023/11/30 12:00:00","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","18"
"127901","1013206","2023/11/30 12:00:00","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","19"
"127901","1013206","2023/11/30 12:00:00","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","20"
"106601","1013406","2023/12/31 12:00:00","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","21"
"106601","1013406","2023/12/31 12:00:00","3012","バトル開始後90秒間物理/魔法無効バ\nリア","22"
"101401","1013406","2023/12/31 12:00:00","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","23"
"101401","1013406","2023/12/31 12:00:00","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","24"
"101201","1013406","2023/12/31 12:00:00","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","25"
"101201","1013406","2023/12/31 12:00:00","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","26"
"116501","1013406","2023/12/31 12:00:00","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","27"
"116501","1013406","2023/12/31 12:00:00","3012","バトル開始後90秒間物理/魔法無効バ\nリア","28"
"121601","1013406","2023/12/31 12:00:00","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","29"
"121601","1013406","2023/12/31 12:00:00","3012","バトル開始後90秒間物理/魔法無効バ\nリア","30"
