298e87f43019cc784e08ad2bac0333f1d4e7a253e43b0f22d76c738767e9c0a2,89fa6a041bef6ecca9d05c1792f93259bd1f2fd5355652ad1d9458d66f8415c0,edd5ac6a2dbc8e22c4bc476702bf3c111c8fdbd0932d965129acaf24213f88e2,c92d614dc2384e0e8d6e8fd43958f308bb45edefc3843765d5018b606ceb3062,7130ca344bdf29e377ca70d96f15de115de0e6be967c2f3088a671b761456a3b,4d99ed1a387c76ab80c76a0f3afd076ba3dfb722641d6768168948428c1492d8,1499823486b9df1bca16e69b25b53010c4502536c2f678dd71840c6768dc2e52,4d05f2435abe81783f5b26a5a8e477088bfe65fc6139d5fcd0a3fe1840e69b27,0150cb8c08eaba07d4a0b0f1ff6f5b11d94b7c74a95c9b93dc46b5478c7a02e5,62267bcb0176ba299012044a9a2e9ebf107cbecaffe783feb60c24278a8c957b,e837b1287d5b002774def8d02f8b2177ebf0d6da9e2791cce62580cb58d5ff6c,594e50ebff7c291cf5b628ce146be359399fcd8a0e8a6a0fc8018b20d99f646e
"20000","0","0","0","1","ランダムEXPポーションBOX","6","2030/08/01 14:59:59","2015/12/17 15:00:00","0","2","ランダムなEXPポーションが獲得できる。"
"20001","0","0","80","999999","ミニEXPポーション","1","2030/08/01 14:59:59","2015/12/17 15:00:00","60","1","キャラのLv強化に使用すると、キャラEXPが60加算される。"
"20002","0","0","400","999999","EXPポーション","1","2030/08/01 14:59:59","2015/12/17 15:00:00","300","2","キャラのLv強化に使用すると、キャラEXPが300加算される。"
"20003","0","0","2000","999999","EXPハイポーション","1","2030/08/01 14:59:59","2015/12/17 15:00:00","1500","3","キャラのLv強化に使用すると、キャラEXPが1500加算される。"
"20004","0","0","10000","999999","EXPメガポーション","1","2030/08/01 14:59:59","2015/12/17 15:00:00","7500","4","キャラのLv強化に使用すると、キャラEXPが7500加算される。"
"20005","0","0","50000","999999","EXPギガポーション","1","2030/08/01 14:59:59","2015/12/17 15:00:00","37500","5","キャラのLv強化に使用すると、キャラEXPが37500加算される。"
"21001","0","0","0","999","ユカリ（クリスマス）専用スフィア / Lv180","21","2030/08/01 14:59:59","2020/11/30 12:00:00","1","1","ユカリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。"
"21002","0","0","0","999","ムイミ（ニューイヤー）専用スフィア / Lv180","21","2030/08/01 14:59:59","2020/12/31 12:00:00","2","1","ムイミ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。"
"21003","0","0","0","999","ユイ（儀装束）専用スフィア / Lv180","21","2030/08/01 14:59:59","2021/01/31 12:00:00","3","1","ユイ（儀装束）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。"
"21004","0","0","0","999","リマ（シンデレラ）専用スフィア / Lv180","21","2030/08/01 14:59:59","2021/02/28 12:00:00","5","1","リマ（シンデレラ）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。"
"21005","0","0","0","999","タマキ（作業服）専用スフィア / Lv180","21","2030/08/01 14:59:59","2021/05/31 12:00:00","6","1","タマキ（作業服）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。"
"21006","0","0","0","999","ツムギ（サマー）専用スフィア / Lv180","21","2030/08/01 14:59:59","2021/07/31 12:00:00","7","1","ツムギ（サマー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。"
"21007","0","0","0","999","ニノン（ハロウィン）専用スフィア / Lv180","21","2030/08/01 14:59:59","2021/09/30 12:00:00","8","1","ニノン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。"
