0bf2c86defab68a9c3e986eb7e58d9932d7ff29fc3348e56557d004bfb483551,83cbdda2e0c7b8f253e704271bb49f96abbed4b082e11f8bf2d4e49100c48531,1d0b0d151139c811792744a62b94d15d14b26aed854195f8d3f390a107834bec,f9045a39154629ed127322a8c6dbc316f7b2ed5e239f4d1919eecb3e5baaa5d1,0e81c444bcd74ca9ce269eca1c8a3daba0cccbdf30428f511242827c6c615099,85afc0227992c9ad736468fa742183825b83ee0f789b3406e2aaa24f1e876433,b4a256af07ced7f4968ec2f32320bf04b40b5d38c03c56a429b0de5bc1892b2f,16444490c5eb214208f30293ae0f8f454d38aa235a6c1add9cffc24803a93396,13247e0add36ef00e820cac610a07bacf203e76e3d0fae31846f95f18c1838a5,3fceea6dd6d41d1656ed00e8d77bebd5fac396eff9ef32506922d70b42e31ef4,115e2aa9c305b98d0c9c1790dd1c75c358d1a2a40459501ae68c1670f84982b2
"-278","1","105811","100","1","1.8","5146061","0","61001","-225","idle_normal"
"-278","6","1058","101","5","1.8","5146061","0","61002","-225","idle_normal"
"-288","1","105911","103","1","1.8","5146061","0","61003","-385","kokkoro_idle_normal"
"-288","3","1059","104","5","1.8","5146061","0","61004","-385","kokkoro_idle_normal"
"-278","1","106011","106","1","1.8","5146061","1","61005","290","idle_normal"
"-278","4","1060","107","5","1.8","5146061","1","61006","290","idle_normal"
"","105811","200","","13","","5146061","","61007","",""
"","105911","203","","13","","5146061","","61008","",""
"","106011","206","","13","","5146061","","61009","",""
"-174","7","7","15","5","0.85","5146061","0","61010","0","idle"
"8","20","201","210","5","1","5146061","0","61011","290","empty"
"-78","20","202","211","5","1","5146061","0","61012","0","empty"
"16","20","203","210","5","1","5146061","0","61013","-315","empty"
"153","21","21","60","5","1","5146061","0","61014","0","empty"
"1","1","1","0","31","1","5146061","","61015","0",""
"1","2","2","0","31","0","5146061","","61016","-57.7",""
"1","10","10","0","31","0","5146061","","61017","0",""
"1","11","11","0","31","0","5146061","","61018","0",""
"","0","0","","91","","5146061","","61019","",""
"","0","0","0","102","","5146061","","61020","",""
"","1","0","","93","","5146061","","61021","",""
"1","106011","doya_in_shy","0","3","0.2","5146061","0","61022","doya_talk_shy",""
"1","1060","doya_in_shy","0","3","0.2","5146061","0","61023","doya_talk_shy",""
"","vo_apg","vo_apg_0101","0","21","","5146061","","61024","0",""
"1","106011","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","10","11","0","5146061","0","61025","1","0"
"","0","","","91","","5146061","","61026","",""
"","2","1","","32","","5146061","","61027","",""
"","2","fade105_in","","37","","5146061","","61028","",""
"","106011","0","","4","","5146061","","61029","",""
"","1060","0","","4","","5146061","","61030","",""
"","106011","sad_idle_dere_shy","1","3","0.5","5146061","","61031","",""
"","1060","sad_idle_dere_shy","1","3","0.5","5146061","","61032","",""
"","vo_apg","vo_apg_0102","0","21","","5146061","","61033","0",""
"","201","0102_in","0","3","0","5146061","","61034","",""
"","4.6","1","","93","","5146061","","61035","",""
"","201","0102_mid","0","3","0","5146061","","61036","",""
"","","","","92","","5146061","","61037","",""
"","201","0102_out","0","3","0","5146061","","61038","",""
"","0.2","0","","93","","5146061","","61039","",""
"1","106011","kyaru_smile_in","0","3","0.2","5146061","0","61040","kyaru_smile_idle",""
"1","1060","kyaru_smile_in","0","3","0.2","5146061","0","61041","kyaru_smile_idle",""
"","vo_apg","vo_apg_0103","0","21","","5146061","","61042","0",""
"","201","0103_in","0","3","0","5146061","","61043","",""
"","5.4","1","","93","","5146061","","61044","",""
"","201","0103_mid","0","3","0","5146061","","61045","",""
"","","","","92","","5146061","","61046","",""
"","201","0103_out","0","3","0","5146061","","61047","",""
"","0.2","0","","93","","5146061","","61048","",""
"","2","fade105_out","","37","","5146061","","61049","",""
"","105811","1","","4","","5146061","","61050","",""
"","1058","1","","4","","5146061","","61051","",""
"","105811","surprise_talk","1","3","0.2","5146061","","61052","",""
"","1058","surprise_talk","1","3","0.2","5146061","","61053","",""
