a428eb2bd98132b5f8013cf5cd9de689de05310ec94621582d1c06511b5ed5a4,6c022331c449df2b8e99b872c1eb497c988392914f84fe60614d981426364caa,2c06465e0a1efef8690110038268bebc7ceafc90a09e25e15109c4a6dad82a98,3e85e79560ed986d7f2e57a36f1c88e3e55c1903354168ef16aec3671668b08c,f8525beaad3a4b4a87ccb3db6de91c3ab27c13a878004835f21eaf9add8423b2,75ebc9a542ab5692e02d380d0d72c7b98a1e13884c2a69a319a3eb2e69543384,e92bd8861e75db9924c42d35ba613e257b2ca47b6a2c2bfff9807d2c26b17e86,655ffe2048a3151660a82c41ef8b95df8631e5a04076cacbe2727748db8081ee,096116d0555da0a14461439da9bb7ff0f9eb600a532c10eee6d628dbc14d3ec5,92057146da8a8d96a0651a543816c815e8101fcd73615376096ec1e3b7d88f36,ab8bef89357cce4a08374161884e9330fad4d0cd30b6c850df75ba450d0cd037
"1","1","1","sjr_talk_idle","-194","1.65","100","1001","40","1","122611"
"1","","3","","","0.2","1","1002","","122611","sjr_talk_wish_look"
"1","","21","","","","0","1003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_001"
"1","0","11","1","0","0","10","1004","1","122611","騎士クン…見ててね\nわたし、頑張って\n走るから…！"
"1","","91","","","","","1005","","0",""
"1","","3","","","0.2","1","1006","","122611","sjr_talk_idle"
"2","1","1","sjr_talk_idle","-194","1.65","100","2001","40","1","122611"
"2","","3","","","0.2","1","2002","","122611","sjr_talk_mouth_hidden_shy"
"2","","21","","","","0","2003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_002"
"2","0","11","1","0","0","7","2004","1","122611","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…"
"2","","91","","","","","2005","","0",""
"2","","3","","","0.2","1","2006","","122611","sjr_talk_idle"
"3","1","1","sjr_talk_idle","-194","1.65","100","3001","40","1","122611"
"3","0","3","","1","0.2","0","3002","sjr_talk_stepback_worry","122611","sjr_talk_stepback_surprise_worry"
"3","","21","","","","0","3003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_003"
"3","0","11","1","0","0","8","3004","1","122611","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…"
"3","","91","","","","","3005","","0",""
"3","","3","","","0.2","1","3006","","122611","sjr_talk_idle"
"4","1","1","sjr_talk_idle","-194","1.65","100","4001","40","1","122611"
"4","","3","","","0.2","1","4002","","122611","sjr_talk_thinking_surprise"
"4","","21","","","","0","4003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_004"
"4","0","11","1","0","0","6","4004","1","122611","変わったコースが\nいっぱいあるね\nどれに出ようかな…"
"4","","91","","","","","4005","","0",""
"4","","3","","","0.2","1","4006","","122611","sjr_talk_idle"
"5","1","1","sjr_talk_idle","-194","1.65","100","5001","40","1","122611"
"5","0","3","","1","0.2","0","5002","sjr_talk_guts2_anger_loop","122611","sjr_talk_guts2_anger"
"5","","21","","","","0","5003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_005"
"5","0","11","1","0","0","7","5004","1","122611","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！"
"5","","91","","","","","5005","","0",""
"5","","3","","","0.2","1","5006","","122611","sjr_talk_idle"
"6","1","1","sjr_talk_idle","-194","1.65","100","6001","40","1","122511"
"6","0","3","","1","0.2","0","6002","sjr_talk_arm_crossed_look_loop","122511","sjr_talk_arm_crossed_joy_look"
"6","","21","","","","0","6003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_006"
"6","0","11","1","0","0","6","6004","1","122511","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ"
"6","","91","","","","","6005","","0",""
"6","","3","","","0.2","1","6006","","122511","sjr_talk_idle"
"7","1","1","sjr_talk_idle","-194","1.65","100","7001","40","1","122511"
"7","","3","","","0.2","1","7002","","122511","sjr_talk_mouth_hidden2_shy"
"7","","21","","","","0","7003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_007"
"7","0","11","1","0","0","6","7004","1","122511","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…"
"7","","91","","","","","7005","","0",""
"7","","3","","","0.2","1","7006","","122511","sjr_talk_idle"
"8","1","1","sjr_talk_idle","-194","1.65","100","8001","40","1","122511"
"8","","3","","","0.2","1","8002","","122511","sjr_talk_mouth_hidden"
"8","","21","","","","0","8003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_008"
"8","0","11","1","0","0","6","8004","1","122511","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！"
"8","","91","","","","","8005","","0",""
"8","","3","","","0.2","1","8006","","122511","sjr_talk_idle"
"9","1","1","sjr_talk_idle","-194","1.65","100","9001","40","1","122511"
"9","","3","","","0.2","1","9002","","122511","sjr_talk_stepback_surprise"
"9","","21","","","","0","9003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_009"
"9","0","11","1","0","0","6","9004","1","122511","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな"
"9","","91","","","","","9005","","0",""
"9","","3","","","0.2","1","9006","","122511","sjr_talk_idle"
"10","1","1","sjr_talk_idle","-194","1.65","100","10001","40","1","122511"
"10","","3","","","0.2","1","10002","","122511","sjr_talk_thinking_blink"
"10","","21","","","","0","10003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_010"
"10","0","11","1","0","0","5","10004","1","122511","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か"
"10","","91","","","","","10005","","0",""
"10","","3","","","0.2","1","10006","","122511","sjr_talk_idle"
"11","1","1","sjr_talk_idle","-194","1.65","100","11001","40","1","122411"
"11","0","3","","1","0.2","0","11002","sjr_talk_eieio_loop","122411","sjr_talk_eieio"
"11","","21","","","","0","11003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_011"
"11","0","11","1","0","0","6","11004","1","122411","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！"
"11","","91","","","","","11005","","0",""
"11","","3","","","0.2","1","11006","","122411","sjr_talk_idle"
"12","1","1","sjr_talk_idle","-194","1.65","100","12001","40","1","122411"
"12","","3","","","0.2","1","12002","","122411","sjr_talk_arm_opened_wink"
"12","","21","","","","0","12003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_012"
"12","0","11","1","0","0","6","12004","1","122411","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！"
"12","","91","","","","","12005","","0",""
"12","","3","","","0.2","1","12006","","122411","sjr_talk_idle"
"13","1","1","sjr_talk_idle","-194","1.65","100","13001","40","1","122411"
"13","0","3","","1","0.2","0","13002","sjr_talk_doya_loop","122411","sjr_talk_doya"
"13","","21","","","","0","13003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_013"
"13","0","11","1","0","0","8","13004","1","122411","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪"
"13","","91","","","","","13005","","0",""
"13","","3","","","0.2","1","13006","","122411","sjr_talk_idle"
"14","1","1","sjr_talk_idle","-194","1.65","100","14001","40","1","122411"
"14","0","3","","1","0.2","0","14002","sjr_talk_swing_joy","122411","sjr_talk_watch_arm_opened"
"14","","21","","","","0","14003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_014"
"14","0","11","1","0","0","7","14004","1","122411","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！"
"14","","91","","","","","14005","","0",""
"14","","3","","","0.2","1","14006","","122411","sjr_talk_idle"
"15","1","1","sjr_talk_idle","-194","1.65","100","15001","40","1","122411"
"15","","3","","","0.2","1","15002","","122411","sjr_talk_wish_doya"
"15","","21","","","","0","15003","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_015"
"15","0","11","1","0","0","7","15004","1","122411","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！"
"15","","91","","","","","15005","","0",""
"15","","3","","","0.2","1","15006","","122411","sjr_talk_idle"
"16","1","1","sjr_talk_idle","-194","1.65","100","16001","72","1","122611"
"16","0","1","sjr_talk_idle","-194","1.65","100","16002","-72","1","122511"
"16","","3","","","0.2","1","16003","","122611","sjr_talk_wish_doya"
"16","","21","","","","0","16004","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_001"
"16","0","11","1","0","0","5","16005","1","122611","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから"
"16","","91","","","","","16006","","0",""
"16","","3","","","0.2","1","16007","","122611","sjr_talk_idle"
"16","0","3","","1","0.2","0","16008","sjr_talk_arm_crossed_joy_loop","122511","sjr_talk_arm_crossed_normal_joy"
"16","","21","","","","0","16009","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_002"
"16","0","11","0.5","0","0","6","16010","1","122511","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう"
"16","","91","","","","","16011","","0",""
"16","","3","","","0.2","1","16012","","122511","sjr_talk_idle"
"17","1","1","sjr_talk_idle","-194","1.65","100","17001","72","1","122611"
"17","0","1","sjr_talk_idle","-194","1.65","100","17002","-72","1","122511"
"17","","3","","","0.2","1","17003","","122511","sjr_talk_worry_shy"
"17","","21","","","","0","17004","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_003"
"17","0","11","0.5","0","0","6","17005","1","122511","ねぇユイ\n水着で走るのって\nちょっと…"
"17","","91","","","","","17006","","0",""
"17","","3","","","0.2","1","17007","","122511","sjr_talk_idle"
"17","","3","","","0.2","1","17008","","122611","sjr_talk_wish_shy"
"17","","21","","","","0","17009","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_004"
"17","0","11","0.5","0","0","5","17010","1","122611","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！"
"17","","91","","","","","17011","","0",""
"17","","3","","","0.2","1","17012","","122611","sjr_talk_idle"
"17","0","3","","1","0.2","0","17013","sjr_talk_thinking_light","122511","sjr_talk_thinking_blink_light"
"17","","21","","","","0","17014","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_005"
"17","0","11","0.5","0","0","6","17015","1","122511","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！"
"17","","91","","","","","17016","","0",""
"17","","3","","","0.2","1","17017","","122511","sjr_talk_idle"
"18","1","1","sjr_talk_idle","-194","1.65","100","18001","72","1","122611"
"18","0","1","sjr_talk_idle","-194","1.65","100","18002","-72","1","122511"
