174e4b28d0f2e270659d93255c7388399021041688c9b747631cb09ceae32ae1,44dd45977fdb7db2c41667bfda1d7a1733b12f919698f4c878f9bfd5a0625381,f70ce5290d0db8e9626726ba69b72704236853840fe6f18d321ec30b267aebb6
"pink","101","#E24E7F"
"pink","102","#E24E7F"
"pink","103","#E24E7F"
"pink","104","#E24E7F"
"pink","105","#E24E7F"
"pink","106","#E24E7F"
"pink","107","#E24E7F"
"pink","108","#E24E7F"
"pink","109","#E24E7F"
"pink","110","#E24E7F"
"lightblue","200","#3290D4"
"lightblue","201","#3290D4"
"lightblue","202","#3290D4"
"lightblue","203","#3290D4"
"lightblue","204","#3290D4"
"lightblue","205","#3290D4"
"lightblue","206","#3290D4"
"lightblue","207","#3290D4"
"lightblue","208","#3290D4"
"lightblue","209","#3290D4"
"lightblue","210","#3290D4"
"lightblue","211","#3290D4"
"orange","301","#E5681E"
"orange","302","#E5681E"
"orange","303","#E5681E"
"orange","304","#E5681E"
"orange","305","#E5681E"
"yellow","401","#C09825"
"yellow","402","#C09825"
"yellow","403","#C09825"
"yellow","404","#C09825"
"yellow","405","#C09825"
"blue","501","#476FD8"
"green","601","#339910"
"green","602","#339910"
"green","603","#339910"
"darkgreen","1000","#0F8B5E"
"orange","1001","#E5681E"
"green","1002","#339910"
"pink","1003","#E24E7F"
"lightblue","1004","#3290D4"
"yellow","1005","#C09825"
"yellow","1006","#C09825"
"yellow","1007","#C09825"
"yellow","1008","#C09825"
"yellow","1009","#C09825"
"yellow","1010","#C09825"
"lightblue","1011","#3290D4"
