4a1e6f75d2f166ab791ed1d1dc48fa55db542afb9e62c57ea6fcdf62541f8360,2d71e5b3cc5eef69cfcdf7085f555e671ca53619e4b56253f8128eb10953412d,ecb4a8f2367ab910c27dfce8ce822cbfac9efd05f5ba66e377a61a3a85907311,03f4999b5ddae110e2c1de276f32284acc3b7cc9c9e1ce7a8a9b16c3ef7a9316,4f7eff93512e75ab341f2d9fad577c99c7fef630fcc91e62c89bc399e6720ac2
"100101","3000000","12","1","94002"
"100101","300","2","2","20004"
"100102","1000","2","3","90008"
"100103","6","2","4","25001"
"100104","1000000","12","5","94002"
"100104","300","2","6","20004"
"100105","1000","2","7","90008"
"100106","6","2","8","25001"
"100107","40","8","9","91002"
"100107","1000000","12","10","94002"
"100107","300","2","11","20004"
"100108","1000","2","12","90008"
"100109","1","2","13","41000"
"100109","7","2","14","25001"
"100110","1000000","12","15","94002"
"100110","400","2","16","20004"
"100111","1500","2","17","90008"
"100112","40","8","18","91002"
"100112","7","2","19","25001"
"100113","1000000","12","20","94002"
"100113","400","2","21","20004"
"100114","1500","2","22","90008"
"100115","1","2","23","41000"
"100115","7","2","24","25001"
"100116","1000000","12","25","94002"
"100116","500","2","26","20004"
"100117","40","8","27","91002"
"100117","1500","2","28","90008"
"100118","2000000","12","29","94002"
"100118","8","2","30","25001"
"100118","2000","2","31","90008"
"100201","3000000","12","32","94002"
"100201","300","2","33","20004"
"100202","1000","2","34","90008"
"100203","12","2","35","25001"
"100204","1000000","12","36","94002"
"100204","300","2","37","20004"
"100205","1000","2","38","90008"
"100206","10","2","39","25001"
"100207","40","8","40","91002"
"100207","1000000","12","41","94002"
"100207","300","2","42","20004"
"100208","1000","2","43","90008"
"100209","1","2","44","41000"
"100209","10","2","45","25001"
"100210","1000000","12","46","94002"
"100210","400","2","47","20004"
"100211","1500","2","48","90008"
"100212","40","8","49","91002"
"100212","9","2","50","25001"
"100213","1000000","12","51","94002"
"100213","400","2","52","20004"
"100214","1500","2","53","90008"
"100215","1","2","54","41000"
"100216","1000000","12","55","94002"
"100216","500","2","56","20004"
"100217","40","8","57","91002"
"100217","1500","2","58","90008"
"100218","2000000","12","59","94002"
"100218","2000","2","60","90008"
"100301","3000000","12","61","94002"
"100301","300","2","62","20004"
"100302","1000","2","63","90008"
"100303","12","2","64","25001"
"100304","1000000","12","65","94002"
"100304","300","2","66","20004"
"100305","1000","2","67","90008"
"100306","10","2","68","25001"
"100307","40","8","69","91002"
"100307","1000000","12","70","94002"
"100307","300","2","71","20004"
"100308","1000","2","72","90008"
"100309","1","2","73","41000"
"100309","10","2","74","25001"
"100310","1000000","12","75","94002"
"100310","400","2","76","20004"
"100311","1500","2","77","90008"
"100312","40","8","78","91002"
"100312","9","2","79","25001"
"100313","1000000","12","80","94002"
"100313","400","2","81","20004"
"100314","1500","2","82","90008"
"100315","1","2","83","41000"
"100316","1000000","12","84","94002"
"100316","500","2","85","20004"
"100317","40","8","86","91002"
"100317","1500","2","87","90008"
"100318","2000000","12","88","94002"
"100318","2000","2","89","90008"
"100401","3000000","12","90","94002"
"100401","300","2","91","20004"
"100402","1000","2","92","90008"
"100403","12","2","93","25001"
"100404","1000000","12","94","94002"
"100404","300","2","95","20004"
"100405","1000","2","96","90008"
"100406","10","2","97","25001"
"100407","40","8","98","91002"
"100407","1000000","12","99","94002"
"100407","300","2","100","20004"
"100408","1000","2","101","90008"
"100409","1","2","102","41000"
"100409","10","2","103","25001"
"100410","1000000","12","104","94002"
"100410","400","2","105","20004"
"100411","1500","2","106","90008"
"100412","40","8","107","91002"
"100412","9","2","108","25001"
"100413","1000000","12","109","94002"
"100413","400","2","110","20004"
"100414","1500","2","111","90008"
"100415","1","2","112","41000"
"100416","1000000","12","113","94002"
"100416","500","2","114","20004"
"100417","40","8","115","91002"
"100417","1500","2","116","90008"
"100418","2000000","12","117","94002"
"100418","2000","2","118","90008"
"100501","3000000","12","119","94002"
"100501","300","2","120","20004"
"100502","1000","2","121","90008"
"100503","12","2","122","25001"
"100504","1000000","12","123","94002"
"100504","300","2","124","20004"
"100505","1000","2","125","90008"
"100506","10","2","126","25001"
"100507","40","8","127","91002"
"100507","1000000","12","128","94002"
"100507","300","2","129","20004"
"100508","1000","2","130","90008"
"100509","1","2","131","41000"
"100509","10","2","132","25001"
"100510","1000000","12","133","94002"
"100510","400","2","134","20004"
"100511","1500","2","135","90008"
"100512","40","8","136","91002"
"100512","9","2","137","25001"
"100513","1000000","12","138","94002"
"100513","400","2","139","20004"
"100514","1500","2","140","90008"
"100515","1","2","141","41000"
"100516","1000000","12","142","94002"
"100516","500","2","143","20004"
"100517","40","8","144","91002"
"100517","1500","2","145","90008"
"100518","2000000","12","146","94002"
"100518","2000","2","147","90008"
"100601","3000000","12","148","94002"
"100601","300","2","149","20004"
"100602","1000","2","150","90008"
"100603","12","2","151","25001"
"100604","1000000","12","152","94002"
"100604","300","2","153","20004"
"100605","1000","2","154","90008"
"100606","10","2","155","25001"
"100607","40","8","156","91002"
"100607","1000000","12","157","94002"
"100607","300","2","158","20004"
"100608","1000","2","159","90008"
"100609","1","2","160","41000"
"100609","10","2","161","25001"
"100610","1000000","12","162","94002"
"100610","400","2","163","20004"
"100611","1500","2","164","90008"
"100612","40","8","165","91002"
"100612","9","2","166","25001"
"100613","1000000","12","167","94002"
"100613","400","2","168","20004"
"100614","1500","2","169","90008"
"100615","1","2","170","41000"
"100616","1000000","12","171","94002"
"100616","500","2","172","20004"
"100617","40","8","173","91002"
"100617","1500","2","174","90008"
"100618","2000000","12","175","94002"
"100618","2000","2","176","90008"
"100701","3000000","12","177","94002"
"100701","300","2","178","20004"
"100702","1000","2","179","90008"
"100703","12","2","180","25001"
"100704","1000000","12","181","94002"
"100704","300","2","182","20004"
"100705","1000","2","183","90008"
"100706","10","2","184","25001"
"100707","40","8","185","91002"
"100707","1000000","12","186","94002"
"100707","300","2","187","20004"
"100708","1000","2","188","90008"
"100709","1","2","189","41000"
"100709","10","2","190","25001"
"100710","1000000","12","191","94002"
"100710","400","2","192","20004"
"100711","1500","2","193","90008"
"100712","40","8","194","91002"
"100712","9","2","195","25001"
"100713","1000000","12","196","94002"
"100713","400","2","197","20004"
"100714","1500","2","198","90008"
"100715","1","2","199","41000"
"100716","1000000","12","200","94002"
"100716","500","2","201","20004"
"100717","40","8","202","91002"
"100717","1500","2","203","90008"
"100718","2000000","12","204","94002"
"100718","2000","2","205","90008"
"100801","3000000","12","206","94002"
"100801","300","2","207","20004"
"100802","1000","2","208","90008"
"100803","12","2","209","25001"
"100804","1000000","12","210","94002"
"100804","300","2","211","20004"
"100805","1000","2","212","90008"
"100806","10","2","213","25001"
"100807","40","8","214","91002"
"100807","1000000","12","215","94002"
"100807","300","2","216","20004"
"100808","1000","2","217","90008"
"100809","1","2","218","41000"
"100809","10","2","219","25001"
"100810","1000000","12","220","94002"
"100810","400","2","221","20004"
