449706335ce2df5e96a831f81108582333464fc3e7a43e414ec2db2902aed727,774598b67b296ded80fcd4280803fc418de9a32571b3af1144b60f11c20c51b9,11e63b09921b0c673e3e8c14cb6a7ab68d77a70bb9c8b34cc0eb83bb315dd45c,49bae0d0f3707a96eb0b97cf17cf1dab0a6e88283fda448589fda498677ab046,c362d49a41435bb02c7dd39835be6b054595e8d82b884ba1c2c71f822ced95e0,566d34be5e30174a7503072d773ed4e255afe98b9b50c047b59c8d4720aa8ad5,6c0a12f3b94e400e76e22d04f233c5e85b0e4971f0460f96bbd8f36641e60270,6b86230d2247cd22a6be3ea8d0e364542221039e6b399ef8f3ef6f594ceca6d2,ffdee39e79473440d093fc50c952987421b1d8e0ee54ce920fd54aa53afe52bb,8c3bc52ccd92060b8595ceeb160428af9bdc261c27dd0d2d186a6e051bf7380a,7355c8c1dbf7481e9fde4d32d9db96fc15b8d67b5420a3b30cd73c652666007e
"1","1","1","100","1010001","pkb_idle_normal","1","64","1.65","-175","113511"
"1","3","113511","1","1010002","","","","0.2","","pkb_talk_wish"
"1","21","vo_minigame_1006","0","1010003","","","0","","","vo_minigame_1006_top_101"
"1","11","113511","8","1010004","0","0","0","0","0","今日も先生と一緒に\n頑張りましょうね～"
"1","91","0","","1010005","","","","","",""
"1","3","113511","1","1010006","","","","0.2","","pkb_idle_normal"
"2","1","1","100","1020001","pkb_idle_normal","1","64","1.65","-175","113511"
"2","3","113511","1","1020002","","","","0.2","","pkb_talk_wish"
"2","21","vo_minigame_1006","0","1020003","","","0","","","vo_minigame_1006_top_102"
"2","11","113511","6","1020004","0.5","0","0","0","0","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪"
"2","93","6","","1020005","","","","","",""
"2","3","113511","0","1020006","","","pkb_idle_normal","0.2","1","pkb_talk_fun"
"2","91","1020004","","1020007","","","","","",""
"2","3","113511","1","1020008","","","","0.2","","pkb_idle_normal"
"3","1","1","100","1030001","pkb_idle_normal","1","64","1.65","-175","113511"
"3","3","113511","0","1030002","","0.2","pkb_idle_normal","0.2","1","pkb_smile"
"3","21","vo_minigame_1006","0","1030003","","","0","","","vo_minigame_1006_top_103"
"3","11","113511","6","1030004","0","0","0","0","0","ケガには気を付けてね\n無理は禁物ですよ～♪"
"3","93","2","","1030005","","","","","",""
"3","3","113511","1","1030006","","","","0.2","","pkb_talk_wish"
"3","91","1030004","","1030007","","","","","",""
"3","3","113511","1","1030008","","","","0.2","","pkb_idle_normal"
"4","5","3","100","1040001","pkb_idle_normal_l","1","64","57","-155","3"
"4","3","3","0","1040002","","0.2","pkb_idle_arm_crossed_l","0.2","1","pkb_talk_arm_crossed_l"
"4","21","vo_minigame_1006","0","1040003","","","0","","","vo_minigame_1006_top_601"
"4","11","3","8","1040004","0","","0","0","0","今日の練習も\n手加減しねえ！\nしっかりついてこい！"
"4","91","0","","1040005","","","","","",""
"4","3","3","1","1040006","","","","0.2","","pkb_idle_normal_l"
"5","5","3","100","1050001","pkb_idle_normal_l","1","64","57","-155","3"
"5","3","3","0","1050002","","0.2","pkb_idle_arm_crossed_l","0.2","1","pkb_talk_arm_crossed_l"
"5","21","vo_minigame_1006","0","1050003","","","0","","","vo_minigame_1006_top_602"
"5","11","3","8","1050004","0","","0","0","0","おーし！\n気合いいれて\n練習すんぞー！"
"5","93","2","","1050005","","","","","",""
"5","3","3","0","1050006","","0.2","pkb_idle_normal_l","0.2","1","pkb_talk_handsup_l"
"5","91","1050004","","1050007","","","","","",""
"5","3","3","1","1050008","","","","0.2","","pkb_idle_normal_l"
"6","5","3","100","1060001","pkb_idle_normal_l","1","64","57","-155","3"
"6","3","3","0","1060002","","0.2","pkb_idle_arm_crossed_l","0.2","1","pkb_talk_arm_crossed_l"
"6","21","vo_minigame_1006","0","1060003","","","0","","","vo_minigame_1006_top_603"
"6","11","3","8","1060004","0","","0","0","0","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？"
"6","93","3","","1060005","","","","","",""
"6","3","3","0","1060006","","","pkb_idle_guts_l","0.2","1","pkb_talk_guts_l"
"6","91","1060004","","1060007","","","","","",""
"6","3","3","1","1060008","","","","0.2","","pkb_idle_normal_l"
"7","1","1","100","1070001","pkb_idle_normal","1","64","1.65","-175","113411"
"7","3","113411","0","1070002","","0.2","pkb_talk_joy1","0.2","1","pkb_talk_fun"
"7","21","vo_minigame_1006","0","1070003","","","0","","","vo_minigame_1006_top_201"
"7","11","113411","8","1070004","0","0","0","0","0","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！"
"7","93","3.4","","1070005","","","","","",""
"7","3","113411","0","1070006","","0.2","pkb_idle_normal","0.2","1","pkb_talk_handsup"
"7","91","1070004","","1070007","","","","","",""
"7","3","113411","1","1070008","","","","0.2","","pkb_idle_normal"
"8","1","1","100","1080001","pkb_idle_normal","1","64","1.65","-175","113411"
"8","3","113411","1","1080002","","","","0.2","","pkb_talk_joy2"
"8","21","vo_minigame_1006","0","1080003","","","0","","","vo_minigame_1006_top_202"
"8","11","113411","8","1080004","-1","0","0","0","0","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆"
"8","93","3.6","","1080005","","","","","",""
