3db13960448feb4c0d0188f75d03582a61a5e83664c854ef61961d6691a4507f,57f7771cd8306667839955cf1ed074b8bc6ba63a0c1c6f833a9334046088d56b,7c2d7dc66daa82f35417f84c92477419741e22569a9c467c28cc700a09a8c1de,c3538cac1003067502e8b0be4079e04ff0eda88e0f70e779db468d3fd1b4fdab,5cbc2870e5ad9c1cc3bd1c46bab7b6d3462b2036d8bc5496c09cdd7f0faf08c5,6e8b8e5703d8ed8b22e0476b09da69d0feaca8be43cc9d8329fa60968b7dabc4,d1eda560b9b44f6c9769e333a30240361fb404ae5a8786b8e903a63f3ef7e7a0,2f48a755619ee2fed3e64a5bb592b202811fed421c70add6542c057c8279ee57,1e462be7ebf4b130cfbd0103d964fbeba9cb97a983e5dc7c2e91b137e50edab2,ff422b62f747ae2b3f049bc8676b4ce7de466daceb9e8ee8b4191719a5148be5,ccdf5328ef2a01ec00342d17364f0cf6d140314d5362747dd686c725f1258e3d
"11010001","","","","se_10053800","101","23","","se_fpc_water_random","",""
"11010002","-850","1.75","23","1","101","1","0","<unit_id>","-180","cmn_swm_tread"
"11010003","-850","1.75","22","1","101","5","0","1","-180","cmn_swm_tread_pink"
"11010004","-180","1","-850","3","101","31","","3","1",""
"11010005","","","","0","101","91","","0","",""
"11010006","10","","-180","<unit_id>","101","2","","850","",""
"11010007","10","","-180","1","101","2","","850","",""
"11010008","10","","-180","3","101","33","","850","",""
"11020001","","","","se_10053800","102","23","","se_fpc_water_random","",""
"11020002","-850","1.75","23","1","102","1","0","<unit_id>","-180","cmn_swm_tread"
"11020003","-850","1.75","22","1","102","5","0","1","-180","cmn_swm_tread_blue"
"11020004","-180","1","-850","3","102","31","","3","1",""
"11020005","","","","0","102","91","","0","",""
"11020006","10","","-180","<unit_id>","102","2","","850","",""
"11020007","10","","-180","1","102","2","","850","",""
"11020008","10","","-180","3","102","33","","850","",""
"11030001","","","","se_10053800","103","23","","se_fpc_water_random","",""
"11030002","-850","1.75","23","1","103","1","0","<unit_id>","-180","cmn_swm_tread"
"11030003","-850","1.75","22","1","103","5","0","1","-180","cmn_swm_tread"
"11030004","-180","1","-850","3","103","31","","3","1",""
"11030005","","","","0","103","91","","0","",""
"11030006","10","","-180","<unit_id>","103","2","","850","",""
"11030007","10","","-180","1","103","2","","850","",""
"11030008","10","","-180","3","103","33","","850","",""
"11510001","","","","se_10053800","151","23","","se_fpc_water_random","",""
"11510002","-850","1.75","22","1","151","1","0","<unit_id>","-180","cmn_swm_flutterKick"
"11510003","-180","1","-850","1","151","31","","1","1",""
"11510004","","","","0","151","91","","0","",""
"11510005","10","","-180","<unit_id>","151","2","","1050","",""
"11510006","10","","-180","1","151","33","","1050","",""
"12010001","","","","se_10053800","201","23","","se_fpc_water_random","",""
"12010002","-850","1.75","22","1","201","1","0","<unit_id>","-180","cmn_swm_breastStroke"
"12010003","-180","1","-850","2","201","31","","2","1",""
"12010004","","","","0","201","91","","0","",""
"12010005","10","","-180","<unit_id>","201","2","","850","",""
"12010006","10","","-180","2","201","33","","850","",""
"12510001","","","","se_10053800","251","23","","se_fpc_water_random","",""
"12510002","-850","1.75","22","1","251","1","0","<unit_id>","-180","cmn_swm_diving"
"12510003","-180","1","-850","9","251","31","","9","1",""
"12510004","","","","0","251","91","","0","",""
"12510005","10","","-180","<unit_id>","251","2","","850","",""
"12510006","10","","-180","9","251","33","","850","",""
"13010001","","","","se_10053800","301","23","","se_fpc_water_random","",""
"13010002","-850","1.75","23","1","301","1","0","<unit_id>","-180","cmn_swm_flutterKick_floatRing"
"13010003","-850","1.75","22","1","301","5","0","1","-180","cmn_swm_flutterKick_floatRing_pink"
"13010004","-180","1","-850","1","301","31","","1","1",""
"13010005","","","","0","301","91","","0","",""
"13010006","10","","-180","<unit_id>","301","2","","1050","",""
"13010007","10","","-180","1","301","2","","1050","",""
"13010008","10","","-180","1","301","33","","1050","",""
"13020001","","","","se_10053800","302","23","","se_fpc_water_random","",""
"13020002","-850","1.75","23","1","302","1","0","<unit_id>","-180","cmn_swm_flutterKick_floatRing"
"13020003","-850","1.75","22","1","302","5","0","1","-180","cmn_swm_flutterKick_floatRing_blue"
"13020004","-180","1","-850","1","302","31","","1","1",""
"13020005","","","","0","302","91","","0","",""
"13020006","10","","-180","<unit_id>","302","2","","1050","",""
"13020007","10","","-180","1","302","2","","1050","",""
"13020008","10","","-180","1","302","33","","1050","",""
"13030001","","","","se_10053800","303","23","","se_fpc_water_random","",""
"13030002","-850","1.75","23","1","303","1","0","<unit_id>","-180","cmn_swm_flutterKick_floatRing"
"13030003","-850","1.75","22","1","303","5","0","1","-180","cmn_swm_flutterKick_floatRing"
"13030004","-180","1","-850","1","303","31","","1","1",""
"13030005","","","","0","303","91","","0","",""
"13030006","10","","-180","<unit_id>","303","2","","1050","",""
"13030007","10","","-180","1","303","2","","1050","",""
"13030008","10","","-180","1","303","33","","1050","",""
"13510001","","","","se_10053800","351","23","","se_fpc_water_random","",""
"13510002","-850","1.75","23","1","351","1","0","<unit_id>","-180","cmn_swm_flutterKick_floatRing"
