b6aaa480acf6b5bd662780524ec90faec0a4005925ce92595d123dbb17e26ce1,b3aeaddedc1c861360ea826d86eba8251e303babfcdf7164eec06911519390db,91b5bb9188892debbffdbd2818651974f48b410b8762b5d8ab57059e6511808b,0117d93f4fe1e16c686d6a60f9cba114186b4fcb04727d60dac272012f5fca50,504a7047c5deea782a6da6cda1f2500cbc56e6c9885e0474b5428ad2aefa05d6,12a43e9854f6a8eec0f542c5d23ad0d777bc77a94a8c900a128ce21a6e2f0baa,2b8a0ad46833d54de334eeba7a7f164e1ab761e98d152ac57ed94e4f98db3a35,7616bf59929842884d144b0228a8b9a20e351b1be8c77a003cbe0da947250e5d,625c6a0bc00bce5744a73b8db80a9345df67c08cc70b9304b1a80b9965b0fbd1,acc01b21e0edf02192a6e4138859d3b9457ad1823e56d980e3f08f3ee052df9f,fe2280fd6100db07ff52759603413e189ecedc760829f2439b62aaa2652f6210
"8","91002","31","2","25021","25012","10","282001001","2","8","1"
"8","91002","31","2","25021","25012","10","282001002","2","8","2"
"8","91002","32","2","25021","25012","10","282001003","2","8","3"
"8","91002","32","2","25021","25012","10","282001004","2","8","4"
"8","91002","33","2","25021","25012","10","282001005","2","8","5"
"8","91002","33","2","25021","25012","10","282001006","2","9","6"
"8","91002","34","2","25021","25012","10","282001007","2","9","7"
"8","91002","35","2","25021","25012","10","282001008","2","9","8"
"8","91002","35","2","25021","25012","10","282001009","2","9","9"
"8","91002","37","2","25021","25012","30","282001010","2","10","10"
"8","91002","41","2","25021","25012","10","282001011","2","10","11"
"8","91002","43","2","25021","25012","10","282001012","2","11","12"
"8","91002","46","2","25021","25012","10","282001013","2","11","13"
"8","91002","48","2","25021","25012","10","282001014","2","12","14"
"8","91002","50","2","25021","25012","10","282001015","2","12","15"
"8","91002","53","2","25021","25012","10","282001016","2","13","16"
"8","91002","55","2","25021","25012","10","282001017","2","14","17"
"8","91002","58","2","25021","25012","10","282001018","2","14","18"
"8","91002","60","2","25021","25012","10","282001019","2","15","19"
"8","91002","62","2","25021","25012","30","282001020","2","15","20"
"8","91002","68","2","25021","25012","10","282001021","2","16","21"
"8","91002","70","2","25021","25012","10","282001022","2","16","22"
"8","91002","72","2","25021","25012","10","282001023","2","16","23"
"8","91002","75","2","25021","25012","10","282001024","2","17","24"
"8","91002","77","2","25021","25012","10","282001025","2","18","25"
"8","91002","79","2","25021","25012","10","282001026","2","18","26"
"8","91002","82","2","25021","25012","10","282001027","2","19","27"
"8","91002","84","2","25021","25012","10","282001028","2","19","28"
"8","91002","86","2","25021","25012","10","282001029","2","19","29"
"8","91002","89","2","25021","25012","30","282001030","2","20","30"
"8","91002","94","2","25021","25012","10","282001031","2","20","31"
"8","91002","96","2","25021","25012","10","282001032","2","21","32"
"8","91002","99","2","25021","25012","10","282001033","2","21","33"
"8","91002","101","2","25021","25012","10","282001034","2","22","34"
"8","91002","103","2","25021","25012","10","282001035","2","22","35"
"8","91002","106","2","25021","25012","10","282001036","2","23","36"
"8","91002","108","2","25021","25012","10","282001037","2","23","37"
"8","91002","111","2","25021","25012","10","282001038","2","24","38"
"8","91002","113","2","25021","25012","10","282001039","2","25","39"
"8","91002","115","2","25021","25012","30","282001040","2","25","40"
"8","91002","121","2","25021","25012","10","282001041","2","26","41"
"8","91002","123","2","25021","25012","10","282001042","2","27","42"
"8","91002","125","2","25021","25012","10","282001043","2","28","43"
"8","91002","128","2","25021","25012","10","282001044","2","28","44"
"8","91002","130","2","25021","25012","10","282001045","2","29","45"
"8","91002","132","2","25021","25012","10","282001046","2","30","46"
"8","91002","135","2","25021","25012","10","282001047","2","30","47"
"8","91002","137","2","25021","25012","10","282001048","2","31","48"
"8","91002","139","2","25021","25012","10","282001049","2","31","49"
"8","91002","142","2","25021","25012","30","282001050","2","31","50"
"8","91002","144","2","25021","25012","10","282001051","2","32","51"
"8","91002","146","2","25021","25012","10","282001052","2","32","52"
"8","91002","149","2","25021","25012","10","282001053","2","32","53"
