3bca6eed48cb3320b4798b715c691d27b9602dd1273d3e6663f2c3fc173883b0,4032c529e5a3719ca5a6e3bbf162d1de15a910905bf9483bb99a301ebf5d1e7f,afca4d6057ade46a56ecdb68a40816cc434e3afcbdb65ab9d6ee0b692e6db67c,a4ed6a5c1e455b5ebdb92fc7e0c34211e5d985eca05b9bb05afea7a32d5ef339,d504e6829bd79f292a9ac09dd0f468395bd4df2c18c45d0f083d004cad14f23c,ebcd3a9f3a141a5092da39f135d2b69e82918904f4486155f1a934172dca2b8a,a6e2f28e3874c75cf84c1105d02ea32ce293285c2100ff01b8b0a46b289c8064,f02d85bb9efa767ef7d0f3204bffbd9ca25e73fa26e7b5ca951bd6bad3ee9375,3488e0ff71b8ca377a8aefb1810049480c66c0e7e01de5be4deffaddcdf777d8,9a2a3a87d3ecf79a98c56186a983f9d26fe331fb587658fe77feafef421104be,bf2c28d715b53f241f3f4c6bffe4904825fd588f25a8e0dda42ecb9babae5c39
"1.4","1","idle_normal","5","-103","-216","100","1","1001","1","1"
"0","","","31","1","-140","-57","1","1002","13","13"
"0","","","31","1","-140","-57","1","1003","14","14"
"","","","91","","","","1","1004","0","0"
"0.2","0","","3","1","top_luis_arm_crossed_idle","0","1","1005","1","top_luis_arm_crossed_in"
"","","","93","","","","1","1006","4","0"
"0.2","0","","3","1","top_luis_approach_idle","0","1","1007","1","top_luis_approach_in"
"","","","93","","","","1","1008","3.5","0"
"0.2","","","3","","","1","1","1009","1","top_luis_thinking"
"","","","93","","","","1","1010","3.5","0"
"0.2","","","3","","","1","1","1011","1","top_luis_walk_think"
"","","","2","0","2","-103","1","1012","1","-495"
"","","","93","","","","1","1013","2","0"
"","","","4","","","","1","1014","1","0"
"","","","2","0","2","-103","1","1015","1","-216"
"","","","93","","","","1","1016","2","0"
"0","","","3","","","1","1","1017","1","top_luis_notice"
"","","","93","","","","1","1018","1","0"
"0.2","","","3","","","1","1","1019","1","top_luis_walk_jog"
"","","","2","0","0.5","-130","1","1020","1","-100"
"","","","93","","","","1","1021","0.5","0"
"","","","4","","","","1","1022","1","1"
"0.2","0","","3","1","top_luis_sit_idle","0","1","1023","1","top_luis_sit_in"
"","","","93","","","","1","1024","0.1","0"
"","","","2","0","0.4","-140","1","1025","1","-57"
"","","","93","","","","1","1026","1","0"
"0.2","","","3","","","0","1","1027","1","top_luis_experiment_failer_in"
"","","","93","","","","1","1028","2.3","0"
"0.1","","","3","","","0","1","1029","1","top_luis_experiment_failer_mix"
"","","","93","","","","1","1030","2.7","0"
"","","","32","","","","1","1031","13","1"
"0.1","","","3","","","0","1","1032","1","top_luis_experiment_failer_burst"
"","","","93","","","","1","1033","2.7","0"
"0.1","","","3","","","0","1","1034","1","top_luis_experiment_failer_out"
"","","","93","","","","1","1035","1.1","0"
"0.2","0","","3","1","idle_normal","0","1","1036","1","top_luis_sit_out"
"","","","2","0","0.3","-130","1","1037","1","-100"
"","","","93","","","","1","1038","1","0"
"0.2","","","3","","","0","1","1039","1","walk_normal"
"","","","2","0","1","-103","1","1040","1","-216"
"","","","93","","","","1","1041","1","0"
"0.1","","","3","","","0","1","1042","1","idle_normal"
"","","","93","","","","1","1043","0.8","0"
"","","","32","","","","1","1044","13","0"
"0.2","0","","3","1","top_luis_arm_crossed_idle","0","1","1045","1","top_luis_arm_crossed_in"
"","","","93","","","","1","1046","4","0"
"0.2","0","","3","1","top_luis_approach_idle","0","1","1047","1","top_luis_approach_in"
"","","","93","","","","1","1048","3.5","0"
"0.2","","","3","","","1","1","1049","1","top_luis_thinking"
"","","","93","","","","1","1050","3.5","0"
"0.2","","","3","","","1","1","1051","1","top_luis_walk_think"
"","","","2","0","2","-103","1","1052","1","-495"
"","","","93","","","","1","1053","2","0"
"","","","4","","","","1","1054","1","0"
"","","","2","0","2","-103","1","1055","1","-216"
"","","","93","","","","1","1056","2","0"
"0","","","3","","","1","1","1057","1","top_luis_notice"
"","","","93","","","","1","1058","1","0"
"0.2","","","3","","","1","1","1059","1","top_luis_walk_jog"
"","","","2","0","0.5","-130","1","1060","1","-100"
"","","","93","","","","1","1061","0.5","0"
"","","","4","","","","1","1062","1","1"
"0.2","0","","3","1","top_luis_sit_idle","0","1","1063","1","top_luis_sit_in"
"","","","93","","","","1","1064","0.1","0"
"","","","2","0","0.4","-140","1","1065","1","-57"
"","","","93","","","","1","1066","1","0"
"0.2","","","3","","","0","1","1067","1","top_luis_experiment_success_in"
"","","","93","","","","1","1068","2.3","0"
"0.1","","","3","","","0","1","1069","1","top_luis_experiment_success_mix"
"","","","93","","","","1","1070","2.7","0"
"","","","32","","","","1","1071","14","1"
"0.1","","","3","","","0","1","1072","1","top_luis_experiment_success_burst"
"","","","93","","","","1","1073","2.7","0"
"0.1","","","3","","","0","1","1074","1","top_luis_experiment_success_out"
"","","","93","","","","1","1075","1.1","0"
"0.2","0","","3","1","idle_normal","0","1","1076","1","top_luis_sit_out"
"","","","2","0","0.3","-130","1","1077","1","-100"
"","","","93","","","","1","1078","1","0"
"0.2","","","3","","","0","1","1079","1","walk_normal"
"","","","2","0","1","-103","1","1080","1","-216"
"","","","93","","","","1","1081","1","0"
"0.1","","","3","","","0","1","1082","1","idle_normal"
"","","","93","","","","1","1083","0.8","0"
"","","","32","","","","1","1084","14","0"
"","","","101","","0","0","1","1085","1005",""
"1.43","1","top_iroha_read","5","-130","400","100","2","2001","2","2"
"1.4","1","butterfly","5","130","980","101","2","2002","11","11"
"0","","","31","1","-130","400","2","2003","11","11"
"","","","91","","","","2","2004","0","0"
"0.2","","","3","","","1","2","2005","2","top_iroha_read"
"","","","93","","","","2","2006","9","0"
"","","","4","","","","2","2007","11","1"
"","","","2","0","7","130","2","2008","11","-980"
"","","","93","","","","2","2009","2.5","0"
"0.2","","","3","","","0","2","2010","2","top_iroha_read_notice"
"","","","93","","","","2","2011","0.6","0"
"0","0","","3","1","top_iroha_run","0","2","2012","2","top_iroha_notice_to_run"
"","","","93","","","","2","2013","0.4","0"
"","","","32","","","","2","2014","11","1"
"","","","37","","","","2","2015","11","smokeR"
"","","","33","0","4.2","-130","2","2016","11","-980"
"","","","2","0","4.2","-130","2","2017","2","-980"
"","","","93","","","","2","2018","4.2","0"
"","","","32","","","","2","2019","11","0"
"","","","93","","","","2","2020","1","0"
"","","","4","","","","2","2021","11","0"
"","","","2","0","7","130","2","2022","11","980"
"","","","93","","","","2","2023","1.5","0"
"","","","32","","","","2","2024","11","1"
"","","","37","","","","2","2025","11","smokeL"
"","","","33","0","5.964","-130","2","2026","11","980"
"0","","","3","","","1","2","2027","2","top_iroha_run_joy"
"","","","4","","","","2","2028","2","0"
"","","","2","0","5.964","-130","2","2029","2","980"
"","","","93","","","","2","2030","5.964","0"
"","","","32","","","","2","2031","11","0"
"","","","93","","","","2","2032","2","0"
"0","","","3","","","1","2","2033","2","top_iroha_walk"
"","","","4","","","","2","2034","2","1"
"","","","2","0","3","-130","2","2035","2","400"
"","","","33","0","3","-130","2","2036","11","400"
"","","","93","","","","2","2037","3","0"
"0.2","0","","3","1","idle_normal","0","2","2038","2","top_iroha_walk_out"
"","","","93","","","","2","2039","0.4","0"
"0.2","0.2","","3","","","0","2","2040","2","top_iroha_sit_in"
"","","","93","","","","2","2041","4","0"
"","","","101","","","","2","2042","2005",""
"1.38","1","top_sono_readPaper","5","-130","350","100","3","3001","3","3"
"1","","","31","1","-18","475","3","3002","10","10"
"","","","91","","","","3","3003","0","0"
"0.2","","","3","","","1","3","3004","3","top_sono_readPaper"
"","","","93","","","","3","3005","13.6","0"
"0.2","0","","3","1","top_sono_stretch","0","3","3006","3","top_sono_sit_out"
"","","","93","","","","3","3007","3.5","0"
"0.2","","","3","","","1","3","3008","3","top_sono_drink"
"","","","93","","","","3","3009","10.5",""
"0.2","","","3","","","0","3","3010","3","top_sono_sit_in"
"","","","93","","","","3","3011","2.6","0"
"","","","101","","","","3","3012","3004",""
"1.43","1","top_iroha_read","5","-130","400","101","4","4001","2","2"
"1.4","1","top_luis_thinking","5","-103","-216","100","4","4002","1","1"
"1.4","1","butterfly","5","130","980","102","4","4003","11","11"
"0","","","31","1","-130","400","4","4004","11","11"
"","","","91","","","","4","4005","0","0"
"0.2","","","3","","","1","4","4006","1","top_luis_thinking"
"0.2","","","3","","","1","4","4007","2","top_iroha_read"
"","","","93","","","","4","4008","9","0"
"","","","4","","","","4","4009","11","1"
"","","","2","0","7","130","4","4010","11","-980"
"","","","93","","","","4","4011","2.5","0"
"0.2","","","3","","","0","4","4012","2","top_iroha_read_notice"
"","","","93","","","","4","4013","0.6","0"
"0","0","","3","1","top_iroha_run","0","4","4014","2","top_iroha_notice_to_run"
"","","","93","","","","4","4015","0.4","0"
"","","","32","","","","4","4016","11","1"
"","","","37","","","","4","4017","11","smokeR"
"","","","33","0","4.2","-130","4","4018","11","-980"
"","","","2","0","4.2","-130","4","4019","2","-980"
"","","","93","","","","4","4020","1.9","0"
"0.2","0","","3","1","top_luis_surprise_idle","0","4","4021","1","top_luis_surprise_in"
"","","","93","","","","4","4022","2.3","0"
