cfd533f253f793c87ca02d3c95000f65cf9713f76bb9cf1b5bc8ba24d7f51598,2f7c952c9a43863fcf186e630cc0e41ca6e849354fc4f37568a1b7d9885c5b08,831da7176ad680bc3bb46196ed1fb8d12af5b72b3b5d4789fcea4fc089e35f3e,4d95804c456141ddc233f228b2399646547ee3e85c52ac1d84793f9af7dbaa84,0296b4a165f3f96aa0c576ccdc507fce4b08d58531b6880a4b9d75a44d78c957,fc0a313850c048abe6c38cd679bc0bd0b72c317ef5c5ccdc2e3b7ec2ac235094,c466c5321e0882819a5a270172ce068ed4c527df4036e52d30cfd35b8491edb7,1292f33feca9ff88c08994dbd3daa9b7fd0656a901b8397a89a8f0b229322acc,fe2b25b3a0763b0e5fdd38fd619229c3873491e3ca59be0bba4ae387067ea81b,4c8a2d94ed94e6b6e550bcb4dd0a94fbd38cd6e84b763215defa1a5d36168db9,e1d2ba1584f03c1802eae669818e3383295b926d96abf74d0c8a40cd4dca477d
"1","285001001","8","91002","10","2","25021","8","2","25015","31"
"2","285001002","8","91002","10","2","25021","8","2","25015","31"
"3","285001003","8","91002","10","2","25021","8","2","25015","32"
"4","285001004","8","91002","10","2","25021","8","2","25015","32"
"5","285001005","8","91002","10","2","25021","8","2","25015","33"
"6","285001006","8","91002","10","2","25021","9","2","25015","33"
"7","285001007","8","91002","10","2","25021","9","2","25015","34"
"8","285001008","8","91002","10","2","25021","9","2","25015","35"
"9","285001009","8","91002","10","2","25021","9","2","25015","35"
"10","285001010","8","91002","30","2","25021","10","2","25015","37"
"11","285001011","8","91002","10","2","25021","10","2","25015","41"
"12","285001012","8","91002","10","2","25021","11","2","25015","43"
"13","285001013","8","91002","10","2","25021","11","2","25015","46"
"14","285001014","8","91002","10","2","25021","12","2","25015","48"
"15","285001015","8","91002","10","2","25021","12","2","25015","50"
"16","285001016","8","91002","10","2","25021","13","2","25015","53"
"17","285001017","8","91002","10","2","25021","14","2","25015","55"
"18","285001018","8","91002","10","2","25021","14","2","25015","58"
"19","285001019","8","91002","10","2","25021","15","2","25015","60"
"20","285001020","8","91002","30","2","25021","15","2","25015","62"
"21","285001021","8","91002","10","2","25021","16","2","25015","68"
"22","285001022","8","91002","10","2","25021","16","2","25015","70"
"23","285001023","8","91002","10","2","25021","16","2","25015","72"
"24","285001024","8","91002","10","2","25021","17","2","25015","75"
"25","285001025","8","91002","10","2","25021","18","2","25015","77"
"26","285001026","8","91002","10","2","25021","18","2","25015","79"
"27","285001027","8","91002","10","2","25021","19","2","25015","82"
"28","285001028","8","91002","10","2","25021","19","2","25015","84"
"29","285001029","8","91002","10","2","25021","19","2","25015","86"
"30","285001030","8","91002","30","2","25021","20","2","25015","89"
"31","285001031","8","91002","10","2","25021","20","2","25015","94"
"32","285001032","8","91002","10","2","25021","21","2","25015","96"
"33","285001033","8","91002","10","2","25021","21","2","25015","99"
"34","285001034","8","91002","10","2","25021","22","2","25015","101"
"35","285001035","8","91002","10","2","25021","22","2","25015","103"
"36","285001036","8","91002","10","2","25021","23","2","25015","106"
"37","285001037","8","91002","10","2","25021","23","2","25015","108"
"38","285001038","8","91002","10","2","25021","24","2","25015","111"
"39","285001039","8","91002","10","2","25021","25","2","25015","113"
"40","285001040","8","91002","30","2","25021","25","2","25015","115"
"41","285001041","8","91002","10","2","25021","26","2","25015","121"
"42","285001042","8","91002","10","2","25021","27","2","25015","123"
"43","285001043","8","91002","10","2","25021","28","2","25015","125"
"44","285001044","8","91002","10","2","25021","28","2","25015","128"
"45","285001045","8","91002","10","2","25021","29","2","25015","130"
"46","285001046","8","91002","10","2","25021","30","2","25015","132"
"47","285001047","8","91002","10","2","25021","30","2","25015","135"
"48","285001048","8","91002","10","2","25021","31","2","25015","137"
"49","285001049","8","91002","10","2","25021","31","2","25015","139"
"50","285001050","8","91002","30","2","25021","31","2","25015","142"
