37c1c274dcd6d6c680fcd6c481dc546a83d893134df0dd4d5ee36803fb4a8dfe,f00b22fa000250436009a80f2003478521bfdd62fb5126b41db17e4b5a302112,b6d3e80a10f943571f07b73ca84d4cc9541f41bf08d1dc0b315d69b420bde735,e7e19dad66e9ad554db2c0342d58a74da5c5de8a58126579e666f75da649418d
"1000","8","91002","100"
"2000","2","23003","500"
"3000","2","25011","5000"
"4000","2","25012","5000"
"5000","2","25013","5000"
"6000","2","25014","5000"
"7000","2","25015","5000"
"8000","2","25021","2500"
"9000","8","91002","100"
"10000","2","21953","1"
"12000","2","90005","50"
"14000","2","23003","500"
"16000","2","25011","5000"
"18000","2","25012","5000"
"20000","2","25013","5000"
"23000","2","25014","5000"
"26000","2","25015","5000"
"29000","2","25021","2500"
"32000","8","91002","100"
"35000","2","41000","1"
"39000","2","90005","50"
"43000","2","23003","500"
"47000","2","25011","5000"
"51000","2","25012","5000"
"55000","2","25013","5000"
"60000","2","25014","5000"
"65000","2","25015","5000"
"70000","2","25021","2500"
"75000","8","91002","100"
"80000","2","26203","1"
"90000","2","90005","50"
"100000","2","23003","500"
"150000","2","25011","5000"
"200000","2","25012","5000"
"250000","2","25013","5000"
"300000","2","25014","5000"
"350000","2","25015","5000"
"400000","2","25021","2500"
"450000","8","91002","100"
"500000","2","21953","1"
"550000","2","90005","50"
"600000","2","23003","500"
"650000","2","25011","5000"
"700000","2","25012","5000"
"750000","2","25013","5000"
"800000","2","25014","5000"
"850000","2","25015","5000"
"900000","2","25021","2500"
"950000","8","91002","100"
"1000000","2","25101","1"
"1050000","2","90005","50"
"1100000","2","23003","500"
"1150000","2","25011","5000"
"1200000","2","25012","5000"
"1250000","2","25013","5000"
"1300000","2","25014","5000"
"1350000","2","25015","5000"
"1400000","2","25021","2500"
"1450000","8","91002","100"
"1500000","2","26203","1"
"1550000","2","90005","50"
"1600000","2","23003","500"
"1650000","2","25011","5000"
"1700000","2","25012","5000"
"1750000","2","25013","5000"
"1800000","2","25014","5000"
"1850000","2","25015","5000"
"1900000","2","25021","2500"
"1950000","8","91002","100"
"2000000","2","41000","1"
"2050000","2","90005","50"
"2100000","2","23003","500"
"2150000","2","25011","5000"
"2200000","2","25012","5000"
"2250000","2","25013","5000"
"2300000","2","25014","5000"
"2350000","2","25015","5000"
"2400000","2","25021","2500"
"2450000","8","91002","100"
"2500000","2","26203","1"
"2550000","2","90005","50"
"2600000","2","23003","500"
"2650000","2","25011","10000"
"2700000","2","25012","10000"
"2750000","2","25013","10000"
"2800000","2","25014","10000"
"2850000","2","25015","10000"
"2900000","2","25021","5000"
"2950000","8","91002","100"
"3000000","2","21953","1"
"3050000","2","90005","50"
"3100000","2","23003","500"
"3150000","2","25011","10000"
"3200000","2","25012","10000"
"3250000","2","25013","10000"
"3300000","2","25014","10000"
"3350000","2","25015","10000"
"3400000","2","25021","5000"
"3450000","8","91002","100"
"3500000","2","26203","1"
"3550000","2","90005","50"
"3600000","2","23003","500"
"3650000","2","25011","10000"
"3700000","2","25012","10000"
"3750000","2","25013","10000"
"3800000","2","25014","10000"
"3850000","2","25015","10000"
"3900000","2","25021","5000"
"3950000","8","91002","100"
"4000000","2","41000","1"
"4050000","2","90005","50"
"4100000","2","23003","500"
"4150000","2","25011","10000"
"4200000","2","25012","10000"
"4250000","2","25013","10000"
"4300000","2","25014","10000"
"4350000","2","25015","10000"
"4400000","2","25021","5000"
"4450000","8","91002","100"
"4500000","2","26203","1"
"4550000","2","90005","50"
"4600000","2","23003","500"
"4650000","2","25011","10000"
"4700000","2","25012","10000"
"4750000","2","25013","10000"
"4800000","2","25014","10000"
"4850000","2","25015","10000"
"4900000","2","25021","5000"
"4950000","8","91002","100"
"5000000","2","25101","1"
