1666b49b401e6da4c7824741460883d28f5c60863394f77542d248876e4f7d71,d4e0b1dc2591e8403a958bf801a418046a525ea3b3fa5a65a532f3c4f10c2061,affb815f911213657aa6e3d4e796c223b84689f8f28512cf74b03fade511ab40,21b66738a956f2cd6c132d44a03ce2a8e5a12421730861b2eafe81bdac5967ff,f58b79340e1fffdff2de05cc94d7363f676e7d2433741bdd73c309ed168bbf83
"1","100","8","91002","30109001"
"2","10","2","20002","30109001"
"3","100","8","91002","30109002"
"4","40000","12","94002","30109002"
"5","300","8","91002","30109003"
"6","500","8","91002","30109004"
"7","500","8","91002","30109005"
"8","1000000","12","94002","30109005"
"9","500","8","91002","30109006"
"10","500000","12","94002","30109006"
"11","600","8","91002","30110001"
"12","200000","12","94002","30110006"
