39924527a18b514a31bdda84f3d820f02a375dbc9a8f3bf72963604a9f2bab6e,b754ef9912f9f7f821f4187d5a3009cf83076fbaa32490bf1f13c7a84a540553,da676b69d579fa1f27febfa518c7c0713d1547cfc4cb6c3c59894b2a655f2905,404f6981a6be6fe9c2cc3f625417bf433186db52f0e11d147a1cc70377cab010,04d517cbe6342bbcda680188ad4a479cccf2784f6c946ed439ffb26cbb787cd7
"12","310001011","94002","150000","31000101"
"2","310001012","22003","10","31000101"
"12","310001021","94002","500000","31000102"
"2","310001022","22003","10","31000102"
"12","310001031","94002","500000","31000103"
"4","310001032","140001","5","31000103"
"2","310001033","25001","5","31000103"
"12","310001041","94002","500000","31000104"
"2","310001042","22003","10","31000104"
"12","310001051","94002","500000","31000105"
"4","310001052","140001","5","31000105"
"2","310001053","25001","5","31000105"
"12","310001061","94002","500000","31000106"
"2","310001062","22003","10","31000106"
"12","310001071","94002","500000","31000107"
"4","310001072","140001","5","31000107"
"2","310001073","25001","5","31000107"
"12","310001081","94002","500000","31000108"
"2","310001082","22003","10","31000108"
"12","310001091","94002","500000","31000109"
"4","310001092","140001","5","31000109"
"2","310001093","25001","5","31000109"
"12","310011011","94002","150000","31001101"
"2","310011012","22003","5","31001101"
"12","310011021","94002","150000","31001102"
"2","310011022","22003","5","31001102"
"12","310011031","94002","150000","31001103"
"2","310011032","22003","5","31001103"
"12","310011111","94002","150000","31001111"
"2","310011112","22003","5","31001111"
"12","310011121","94002","200000","31001112"
"2","310011122","22003","5","31001112"
"12","310012011","94002","150000","31001201"
"2","310012012","22003","5","31001201"
"12","310012021","94002","150000","31001202"
"2","310012022","22003","5","31001202"
"12","310012031","94002","150000","31001203"
"2","310012032","22003","5","31001203"
"12","310012111","94002","150000","31001211"
"2","310012112","22003","5","31001211"
"12","310012121","94002","200000","31001212"
"2","310012122","22003","5","31001212"
"12","310013011","94002","150000","31001301"
"2","310013012","22003","5","31001301"
"12","310013021","94002","150000","31001302"
"2","310013022","22003","5","31001302"
"12","310013031","94002","150000","31001303"
"2","310013032","22003","5","31001303"
"12","310013111","94002","150000","31001311"
"2","310013112","22003","5","31001311"
"12","310013121","94002","200000","31001312"
"2","310013122","22003","5","31001312"
"12","310014011","94002","150000","31001401"
"2","310014012","22003","5","31001401"
"12","310014021","94002","150000","31001402"
"2","310014022","22003","5","31001402"
"12","310014031","94002","150000","31001403"
"2","310014032","22003","5","31001403"
"12","310014111","94002","150000","31001411"
"2","310014112","22003","5","31001411"
"12","310014121","94002","200000","31001412"
"2","310014122","22003","5","31001412"
"12","310021011","94002","150000","31002101"
"2","310021012","22003","5","31002101"
"12","310021021","94002","150000","31002102"
"2","310021022","22003","5","31002102"
"12","310021031","94002","150000","31002103"
"2","310021032","22003","5","31002103"
"8","310021041","91002","50","31002104"
"12","310021111","94002","150000","31002111"
"2","310021112","22003","5","31002111"
"12","310021121","94002","200000","31002112"
"2","310021122","22003","5","31002112"
"8","310021131","91002","100","31002113"
"12","310031011","94002","150000","31003101"
"2","310031012","22003","5","31003101"
"12","310031021","94002","150000","31003102"
"2","310031022","22003","5","31003102"
"12","310031031","94002","150000","31003103"
"2","310031032","22003","5","31003103"
"8","310031041","91002","50","31003104"
"12","310031111","94002","150000","31003111"
"2","310031112","22003","5","31003111"
"12","310031121","94002","200000","31003112"
"2","310031122","22003","5","31003112"
"8","310031131","91002","100","31003113"
"12","310032011","94002","150000","31003201"
"2","310032012","22003","5","31003201"
"12","310032021","94002","150000","31003202"
"2","310032022","22003","5","31003202"
"12","310032031","94002","150000","31003203"
"2","310032032","22003","5","31003203"
"8","310032041","91002","50","31003204"
"12","310032111","94002","150000","31003211"
"2","310032112","22003","5","31003211"
"12","310032121","94002","200000","31003212"
"2","310032122","22003","5","31003212"
"8","310032131","91002","100","31003213"
