97a252934882a81b38feb51b30b2e67c9f8b285640275e15bdef642123926561,45278b0b6a18cdb285486fdec7619142add66415809a4809d33178a0d65f5d0c,370a41010a54947e2bbd6c6725539e1bec284aabd30f1532b5279e680f884c23,da8dc4b79516994db719cdb07d191e279c8640c64f5e3535b1cf2c3b9b01b4b0,d0e377f97811c782a804576f3c3936c1104752932988e17af2906cfbc5f09816,a304d1abc2f83216aa33a3be697abb72f180a71b31c1a3b97e73f40f3987af76,c569cbf7e5d20c29455363a6e3f499e26115d3b77eef7724223eedea42d38742,3832c1efb1b67c9b88015f2f261da939725e1337454891baf903d9fa37f3111a,e6ed501863517295f7e2577b511eee451ee835de92b351bd4f3de5df98a502d1,48e8d579f3ebc576b9424f630a744befa4d9cb16be09bf43a4238d1732d52d7e,a9ad624f8e8c0910713865dcd826905181d0fa87676d5377f82d0ef887f87eff,39c0fc360436d95d6f8a7b41d2d1cee5ca3c6742b872f1424b1428269c9902b5,83d92f50ca2471cf937abb83136efdf3eb7415901ea5e09664e563dd37a62189
"1","0","0","2018/03/31 15:00:00","0","0","10001","2020/03/16 15:00:00","0","20001","5031","2030/04/19 15:00:00","-6"
"1","0","0","2018/04/30 15:00:00","0","0","10002","2020/04/15 15:00:00","0","20002","8135","2030/04/19 15:00:00","-3"
"1","0","0","2018/05/25 16:00:00","0","0","10003","2020/05/15 15:00:00","0","20003","201","2030/04/19 15:00:00","-8"
"1,2","0","0","2018/06/30 12:00:00","0","0","10004","2020/06/19 15:00:00","0","20004","3394","2030/04/19 15:00:00","-5"
"1,4","0","0","2018/07/31 12:00:00","0","0","10005","2020/07/20 15:00:00","0","20005","3060","2030/04/19 15:00:00","-3"
"1","0","0","2018/08/31 12:00:00","0","0","10006","2020/08/19 15:00:00","0","20006","1412","2030/04/19 15:00:00","-5"
"1,5","0","0","2018/09/30 12:00:00","0","0","10007","2020/09/23 15:00:00","0","20007","3481","2030/04/19 15:00:00","-2"
"1","0","0","2018/10/31 12:00:00","0","0","10008","2020/10/19 15:00:00","0","20008","3490","2030/04/19 15:00:00","-3"
"1,6","0","0","2018/11/30 12:00:00","0","0","10009","2020/11/24 15:00:00","0","20009","5402","2030/04/19 15:00:00","0"
"1,7","0","0","2018/12/31 12:00:00","0","0","10010","2020/12/22 15:00:00","0","20010","2192","2030/04/19 15:00:00","-5"
"1,8","0","0","2019/01/31 12:00:00","0","0","10011","2021/01/25 15:00:00","0","20011","5034","2030/04/19 15:00:00","0"
"1","0","0","2019/02/22 15:00:00","0","0","10012","2021/02/18 15:00:00","0","20012","402","2030/04/19 15:00:00","-5"
"1,9","0","0","2019/03/31 15:00:00","0","0","10013","2021/03/23 15:00:00","0","20013","22","2030/04/19 15:00:00","-5"
"1","0","0","2019/04/30 12:00:00","0","0","10015","2021/04/16 15:00:00","0","20014","2174","2030/04/19 15:00:00","-8"
"1,10","0","0","2019/06/30 15:00:00","0","0","10019","2021/05/18 15:00:00","0","20015","2222","2030/04/19 15:00:00","3"
"1,11","0","0","2019/07/31 12:00:00","0","0","10021","2021/06/18 15:00:00","0","20016","6040","2030/04/19 15:00:00","0"
"1","0","0","2019/08/31 12:00:00","0","0","10023","2021/07/16 15:00:00","0","20017","6481","2030/04/19 15:00:00","-4"
"1,12","0","0","2019/09/30 12:00:00","0","0","10025","2021/08/16 15:00:00","0","20018","8134","2030/04/19 15:00:00","0"
"1","0","0","2019/10/31 12:00:00","0","0","10027","2021/09/16 15:00:00","0","20019","3480","2030/04/19 15:00:00","-2"
"1,13","0","0","2019/11/30 12:00:00","0","0","10029","2021/10/19 15:00:00","0","20020","5283","2030/04/19 15:00:00","-5"
"1,14","0","0","2019/12/31 12:00:00","0","0","10031","2021/11/16 15:00:00","0","20021","1311","2030/04/19 15:00:00","-4"
"1,15","0","0","2020/01/31 12:00:00","0","0","10033","2021/12/16 15:00:00","0","20022","6055","2030/04/19 15:00:00","-7"
"1","0","0","2020/03/31 12:00:00","0","0","10038","2022/01/17 15:00:00","0","20023","2022","2030/04/19 15:00:00","-5"
"1","0","0","2020/04/24 15:00:00","0","0","10040","2022/02/18 15:00:00","0","20024","6011","2030/04/19 15:00:00","-10"
"1,16","0","0","2020/05/25 15:00:00","0","0","10042","2022/03/17 15:00:00","0","20025","5221","2030/04/19 15:00:00","-5"
"1,17","0","0","2020/06/30 12:00:00","0","0","10044","2022/04/18 15:00:00","0","20026","3040","2030/04/19 15:00:00","10"
"1,18","0","0","2020/07/31 12:00:00","0","0","10046","2022/05/18 15:00:00","0","20027","6120","2030/04/19 15:00:00","10"
"1","0","0","2020/08/31 12:00:00","0","0","10048","2022/06/16 15:00:00","0","20028","5032","2030/04/19 15:00:00","-5"
"1,19","0","0","2020/09/30 12:00:00","0","0","10050","2022/07/19 8:00:00","0","20029","5151","2030/04/19 15:00:00","0"
"1","0","0","2020/10/31 12:00:00","0","0","10052","2022/08/16 15:00:00","0","20030","6056","2030/04/19 15:00:00","-8"
"1,20","0","0","2020/11/30 12:00:00","0","0","10054","2022/09/17 15:00:00","0","20031","3351","2030/04/19 15:00:00","0"
"1,21","0","0","2020/12/31 12:00:00","0","0","10056","2022/10/16 15:00:00","0","20032","2191","2030/04/19 15:00:00","0"
"1,22","0","0","2021/01/31 12:00:00","0","0","10058","2022/11/17 15:00:00","0","20033","1122","2030/04/19 15:00:00","0"
"1,22","0","0","2021/02/10 12:00:00","20033","0","10059","2022/11/17 15:00:00","0","20034","1123","2030/04/19 15:00:00","0"
"1,23","0","0","2021/02/28 12:00:00","0","0","10061","2022/12/19 15:00:00","0","20035","2194","2030/04/19 15:00:00","12"
"1","0","0","2021/02/28 12:00:00","0","0","10064","2023/01/16 15:00:00","0","20036","5010","2030/04/19 15:00:00","0"
"1","0","0","2021/04/30 12:00:00","0","0","10066","2023/02/16 15:00:00","0","20037","144","2030/04/19 15:00:00","0"
"1,24","0","0","2021/05/31 12:00:00","0","0","10068","2023/03/16 15:00:00","0","20038","121","2030/04/19 15:00:00","0"
"1","0","0","2021/06/30 12:00:00","0","0","10070","2023/04/17 15:00:00","0","20039","394","2030/04/19 15:00:00","0"
"1,25","0","0","2021/07/31 12:00:00","0","0","10072","2023/05/16 15:00:00","0","20040","1082","2030/04/19 15:00:00","0"
"1","0","0","2021/08/31 12:00:00","0","0","10074","2023/06/16 15:00:00","0","20041","181","2030/04/19 15:00:00","0"
"1,26","0","0","2021/09/30 12:00:00","0","0","10076","2023/07/18 15:00:00","0","20042","5084","2030/04/19 15:00:00","0"
