c1b0b5e199a9e7748d57e9a598105a942f79f3f38d1b2c20802d91b4f2782025,2bcfd3d95e48b7002369b3cb6fe0db22de58e52899faa205b7c8fae454aa0590,6b990337e8e794e7bae4cad0c591c4f5c1c9b256997b68c86caf8ff52a5fa475
"1","1","32025"
"2","1","32046"
"3","1","32048"
"4","1","32016"
"5","1","32060"
"5","2","32078"
"6","1","32031"
"7","1","32007"
"8","1","32050"
"9","1","32033"
"10","1","32058"
"10","2","32075"
"11","1","32042"
"12","1","32021"
"13","1","32023"
"14","1","32027"
"15","1","32049"
"16","1","32011"
"17","1","32045"
"18","1","32030"
"19","1","32013"
"20","1","32040"
"21","1","32018"
"22","1","32028"
"23","1","32043"
"24","1","32017"
"25","1","32010"
"26","1","32036"
"27","1","32004"
"28","1","32020"
"29","1","32059"
"29","2","32076"
"30","1","32014"
"31","1","32038"
"32","1","32003"
"32","2","32089"
