9e2eb95a21e2f9a335f8b799d8fe8937b714bf577a238e1e1e1c331ab619d256,07d04ba9820d92398f2f202179f7d6a9d49432c060f1aa7ee26fb7d8e0a92ece,283c555bddb7d3cc389bf07b655e9e2a7c7c974af1ff71effe292f4574c90d3e,9d7f445bce2995cd1f64efafceb590189b75cf354faebb6a4b339824ad329652,aa5762742cd4df06f77f58be85785f0e61578ad05ed9f75bd19ea8259d07dc4e,3d1885f5cef9589ac810dd2811ecea852aaf475bdd4b2057a3e21348dcd33f22,5dfd7aafa4f15d2f759f33cd3d64396fbc6a97fcdfbf38d80037e3728d16ea67,59af8603db1b8bb945013242c334ddedc8e3abd0ee4b9264b474efd3cdd97f03,370b082b2c7a5d38bdfab9269722b47685bbff7b5f473725d34963dee3a06267,53771610db24e20913330b7fd83da8d1adf1d2005a22d12cf35152e0a2692140,9acee956336f91b2d97320dbeb031c303c5da85822e95381fccc14973036d783,ea86803529c971542dda6ee90bb43dbd99946eeb19d7fdf631b56cc545cf02c1
"924073101","924071100","500000000","1","1","1","92407120","92407","90","0","924072101","92407110"
"924073102","924071200","1000000000","2","1","2","92407130","92407","90","92407110","924072102","92407120"
"924073103","924071300","1500000000","3","1","3","92407140","92407","90","92407120","924072103","92407130"
"924073104","924071400","0","3","1","4","0","92407","90","92407130","924072104","92407140"
"924073201","924072100","500000000","1","1","1","92407220","92407","90","0","924072201","92407210"
"924073202","924072200","1000000000","2","1","2","92407230","92407","90","92407210","924072202","92407220"
"924073203","924072300","1500000000","3","1","3","92407240","92407","90","92407220","924072203","92407230"
"924073204","924072400","0","3","1","4","0","92407","90","92407230","924072204","92407240"
"924073301","924073100","500000000","1","1","1","92407320","92407","90","0","924072301","92407310"
"924073302","924073200","1000000000","2","1","2","92407330","92407","90","92407310","924072302","92407320"
"924073303","924073300","1500000000","3","1","3","92407340","92407","90","92407320","924072303","92407330"
"924073304","924073400","0","3","1","4","0","92407","90","92407330","924072304","92407340"
"924083101","924081100","500000000","1","1","1","92408120","92408","90","0","924082101","92408110"
"924083102","924081200","1000000000","2","1","2","92408130","92408","90","92408110","924082102","92408120"
"924083103","924081300","1500000000","3","1","3","92408140","92408","90","92408120","924082103","92408130"
"924083104","924081400","0","3","1","4","0","92408","90","92408130","924082104","92408140"
"924083201","924082100","500000000","1","1","1","92408220","92408","90","0","924082201","92408210"
"924083202","924082200","1000000000","2","1","2","92408230","92408","90","92408210","924082202","92408220"
"924083203","924082300","1500000000","3","1","3","92408240","92408","90","92408220","924082203","92408230"
"924083204","924082400","0","3","1","4","0","92408","90","92408230","924082204","92408240"
"924083301","924083100","500000000","1","1","1","92408320","92408","90","0","924082301","92408310"
"924083302","924083200","1000000000","2","1","2","92408330","92408","90","92408310","924082302","92408320"
"924083303","924083300","1500000000","3","1","3","92408340","92408","90","92408320","924082303","92408330"
"924083304","924083400","0","3","1","4","0","92408","90","92408330","924082304","92408340"
"924093101","924091100","500000000","1","1","1","92409120","92409","90","0","924092101","92409110"
"924093102","924091200","1000000000","2","1","2","92409130","92409","90","92409110","924092102","92409120"
"924093103","924091300","1500000000","3","1","3","92409140","92409","90","92409120","924092103","92409130"
"924093104","924091400","0","4","1","4","0","92409","90","92409130","924092104","92409140"
"924093201","924092100","500000000","1","1","1","92409220","92409","90","0","924092201","92409210"
"924093202","924092200","1000000000","2","1","2","92409230","92409","90","92409210","924092202","92409220"
"924093203","924092300","1500000000","3","1","3","92409240","92409","90","92409220","924092203","92409230"
"924093204","924092400","0","4","1","4","0","92409","90","92409230","924092204","92409240"
"924093301","924093100","500000000","1","1","1","92409320","92409","90","0","924092301","92409310"
"924093302","924093200","1000000000","2","1","2","92409330","92409","90","92409310","924092302","92409320"
"924093303","924093300","1500000000","3","1","3","92409340","92409","90","92409320","924092303","92409330"
"924093304","924093400","0","4","1","4","0","92409","90","92409330","924092304","92409340"
"924103101","924101100","500000000","1","1","1","92410120","92410","90","0","924102101","92410110"
"924103102","924101200","1000000000","2","1","2","92410130","92410","90","92410110","924102102","92410120"
"924103103","924101300","1500000000","3","1","3","92410140","92410","90","92410120","924102103","92410130"
"924103104","924101400","0","4","1","4","0","92410","90","92410130","924102104","92410140"
"924103201","924102100","500000000","1","1","1","92410220","92410","90","0","924102201","92410210"
"924103202","924102200","1000000000","2","1","2","92410230","92410","90","92410210","924102202","92410220"
"924103203","924102300","1500000000","3","1","3","92410240","92410","90","92410220","924102203","92410230"
"924103204","924102400","0","4","1","4","0","92410","90","92410230","924102204","92410240"
"924103301","924103100","500000000","1","1","1","92410320","92410","90","0","924102301","92410310"
"924103302","924103200","1000000000","2","1","2","92410330","92410","90","92410310","924102302","92410320"
"924103303","924103300","1500000000","3","1","3","92410340","92410","90","92410320","924102303","92410330"
"924103304","924103400","0","4","1","4","0","92410","90","92410330","924102304","92410340"
"924113101","924111100","500000000","1","1","1","92411120","92411","90","0","924112101","92411110"
"924113102","924111200","1000000000","2","1","2","92411130","92411","90","92411110","924112102","92411120"
"924113103","924111300","1500000000","3","1","3","92411140","92411","90","92411120","924112103","92411130"
"924113104","924111400","0","4","1","4","0","92411","90","92411130","924112104","92411140"
"924113201","924112100","500000000","1","1","1","92411220","92411","90","0","924112201","92411210"
"924113202","924112200","1000000000","2","1","2","92411230","92411","90","92411210","924112202","92411220"
"924113203","924112300","1500000000","3","1","3","92411240","92411","90","92411220","924112203","92411230"
"924113204","924112400","0","4","1","4","0","92411","90","92411230","924112204","92411240"
"924113301","924113100","500000000","1","1","1","92411320","92411","90","0","924112301","92411310"
"924113302","924113200","1000000000","2","1","2","92411330","92411","90","92411310","924112302","92411320"
"924113303","924113300","1500000000","3","1","3","92411340","92411","90","92411320","924112303","92411330"
"924113304","924113400","0","4","1","4","0","92411","90","92411330","924112304","92411340"
"924123101","924121100","500000000","1","1","1","92412120","92412","90","0","924122101","92412110"
"924123102","924121200","1000000000","2","1","2","92412130","92412","90","92412110","924122102","92412120"
"924123103","924121300","1500000000","3","1","3","92412140","92412","90","92412120","924122103","92412130"
"924123104","924121400","0","4","1","4","0","92412","90","92412130","924122104","92412140"
"924123201","924122100","500000000","1","1","1","92412220","92412","90","0","924122201","92412210"
"924123202","924122200","1000000000","2","1","2","92412230","92412","90","92412210","924122202","92412220"
"924123203","924122300","1500000000","3","1","3","92412240","92412","90","92412220","924122203","92412230"
"924123204","924122400","0","4","1","4","0","92412","90","92412230","924122204","92412240"
"924123301","924123100","500000000","1","1","1","92412320","92412","90","0","924122301","92412310"
"924123302","924123200","1000000000","2","1","2","92412330","92412","90","92412310","924122302","92412320"
"924123303","924123300","1500000000","3","1","3","92412340","92412","90","92412320","924122303","92412330"
"924123304","924123400","0","4","1","4","0","92412","90","92412330","924122304","92412340"
"924143101","924141100","500000000","1","1","1","92414120","92414","90","0","924142101","92414110"
"924143102","924141200","1000000000","2","1","2","92414130","92414","90","92414110","924142102","92414120"
"924143103","924141300","1500000000","3","1","3","92414140","92414","90","92414120","924142103","92414130"
"924143104","924141400","0","4","1","4","0","92414","90","92414130","924142104","92414140"
"924143201","924142100","500000000","1","1","1","92414220","92414","90","0","924142201","92414210"
"924143202","924142200","1000000000","2","1","2","92414230","92414","90","92414210","924142202","92414220"
"924143203","924142300","1500000000","3","1","3","92414240","92414","90","92414220","924142203","92414230"
"924143204","924142400","0","4","1","4","0","92414","90","92414230","924142204","92414240"
"924143301","924143100","500000000","1","1","1","92414320","92414","90","0","924142301","92414310"
"924143302","924143200","1000000000","2","1","2","92414330","92414","90","92414310","924142302","92414320"
"924143303","924143300","1500000000","3","1","3","92414340","92414","90","92414320","924142303","92414330"
"924143304","924143400","0","4","1","4","0","92414","90","92414330","924142304","92414340"
"925013101","925011100","500000000","1","1","1","92501120","92413","90","0","925012101","92501110"
"925013102","925011200","1000000000","2","1","2","92501130","92413","90","92501110","925012102","92501120"
"925013103","925011300","1500000000","3","1","3","92501140","92413","90","92501120","925012103","92501130"
"925013104","925011400","0","4","1","4","0","92413","90","92501130","925012104","92501140"
"925013201","925012100","500000000","1","1","1","92501220","92413","90","0","925012201","92501210"
"925013202","925012200","1000000000","2","1","2","92501230","92413","90","92501210","925012202","92501220"
"925013203","925012300","1500000000","3","1","3","92501240","92413","90","92501220","925012203","92501230"
"925013204","925012400","0","4","1","4","0","92413","90","92501230","925012204","92501240"
"925013301","925013100","500000000","1","1","1","92501320","92413","90","0","925012301","92501310"
"925013302","925013200","1000000000","2","1","2","92501330","92413","90","92501310","925012302","92501320"
"925013303","925013300","1500000000","3","1","3","92501340","92413","90","92501320","925012303","92501330"
"925013304","925013400","0","4","1","4","0","92413","90","92501330","925012304","92501340"
