8f57d8f1ae9a3592f6ce6fd1227c3b899b9a191e1e38fe53dba14879f6dc5a35,d74e372ee03bc14921e2c0c8382ccc3b07265881ab12e0d250f1356c357f4a79,bb7c4ded5e96c655400e0308515e96f01e95c487e53b067ee1c0f18d327a9b27,188847ce197d74873adcf2dc55e900720539b9f833da374e2dea98237f40a852,d4db895d0049d297df0f7f0e9449e368f24d469bf3d9287d9498c974e7a95cda,f9b09c49eb5382b322d434e63d9a88b838fe53c2669f3298f90c91e2943c84f6,de5f111c709865fa84aec4de8787050d5b8aa60f2e1edf9ff951167270a7b4f7,f3c91c3aa25350ceb14d3a41481c253797d54f1e8fb5d8f017aa88cc0fd80cbb,8d1e852f161d8c3fcf4e2a9dd059379074c662b91ad44d408b06171414ba3e0b,8ed10389359a27f1abf5f32d9b9bf2ab00d3439f3deb61628c02d2fcdfb4cf68,1397c5ee57f7079118d183dd78e5a757739c7876560efec5ac527305cb9fbf8d,c17869c906889f038dd00a5d25bd38047a2f21580366cab559a1afd8b91e2e0f,92c444c3d6ad6617459c68c79b19c1d9f7f35dd350ac477eff36e602ca664182,aed98ad48b05861260eb733ff230753663ee476835ec88bc1a70183f2b251175,b631d88233a43c8e616c4b809ccc5fdaf738680a26e82c8f696df5a154bb11fe,88b1ff890cab2dde7285489ae91bb245837edf94430108ae58a485e937cec247,3ec73cfd7c17991789d2cdbc270f528a234b584e4c4324cdf708bcd0f969dabc,230c86378f4bd47973149d14c64faf2d6e9cd030bc3c3087693cb522826bf9e7
"0","0","0","0","5000","0","0","スコアを累計で20000獲得しよう","0","0","12","0","20000","1","94002","0","0","0"
"0","0","0","0","10000","0","0","スコアを累計で40000獲得しよう","0","0","12","0","40000","2","94002","0","0","0"
"0","0","0","0","15000","0","0","スコアを累計で60000獲得しよう","0","0","12","0","60000","3","94002","0","0","0"
"0","0","0","0","20000","0","0","スコアを累計で80000獲得しよう","0","0","12","0","80000","4","94002","0","0","0"
"5","23001","0","0","50","0","2","スコアを累計で100000獲得しよう","0","0","8","0","100000","5","91002","0","0","0"
"0","0","0","0","25000","0","0","スコアを累計で120000獲得しよう","0","0","12","0","120000","6","94002","0","0","0"
"0","0","0","0","30000","0","0","スコアを累計で140000獲得しよう","0","0","12","0","140000","7","94002","0","0","0"
"0","0","0","0","35000","0","0","スコアを累計で160000獲得しよう","0","0","12","0","160000","8","94002","0","0","0"
"0","0","0","0","40000","0","0","スコアを累計で180000獲得しよう","0","0","12","0","180000","9","94002","0","0","0"
"5","23001","0","0","50","0","2","スコアを累計で200000獲得しよう","0","0","8","0","200000","10","91002","0","0","0"
"0","0","0","0","55000","0","0","スコアを累計で220000獲得しよう","0","0","12","0","220000","11","94002","0","0","0"
"0","0","0","0","35000","0","0","スコアを累計で240000獲得しよう","0","0","12","0","240000","12","94002","0","0","0"
"0","0","0","0","40000","0","0","スコアを累計で260000獲得しよう","0","0","12","0","260000","13","94002","0","0","0"
"0","0","0","0","45000","0","0","スコアを累計で280000獲得しよう","0","0","12","0","280000","14","94002","0","0","0"
"10","23001","0","0","150","0","2","スコアを累計で300000獲得しよう","0","0","8","0","300000","15","91002","0","0","0"
