be182ec4c1531e647dfb34770bdc14df2120a03849a0b2013c11110a2dc32dbe,cbf699f08e8dc5a053447b2bf434dbacfb737af337126c79e4d00ca6896286c6,edf48bf029315d573ff52a24bf70192b490585abdc461258665c63062bf22e2e,4e4b5781d7102aaa5413fe25546fa1aa4e3e50b4d1439c5dc2bb0407be094841,a3bdf979b47db697fc03f5c882c2bac6413c00644a8cbf1294116f07731c782a,d25359481f48639756938ea5473daf4ffb5dec2e1dee86b24bba0d1b2b83e15c,350a94bcfef45c027d967e87f58f54fbe355068ff066fc85d3b5144cc7b7bff4,6d308ab8898dbca67a414ad85ab80379909440f6d1608f7fc83387f6d5c5abae,5f7e7b4d1b8ea556072c7cc85d59cab324355295cab026c327a34f44a1be8571,a8dec2a6cb2fe3897f06957c4d306188b21c396502b86a7d2814120c53cd4942,4d74dbe08abda9eb0e5477a2533d122d2eddd8f7c3e14e35c33e233414e89645
"","","","","","1082","","","イ","",""
"","","","","","1107","","","オ","",""
"","","","","","1176","","","","","ツ"
"","","","","","1189","ル","ホ","ー","",""
"","","","","","1192","","","ゥー","",""
"","","","","","1245","","","イ","",""
"","ゃさ","","","","1250","ちそ","","","",""
"ナイト","ア","トメア","イトメ","ナイア","2013","メ","イ","ト","ナメア","ナ"
"ランド","ル","ンドル","ラドソ","ランル","2014","","ソ","ラ","ドソル","ン"
"そるの","う","るのと","そのと","そるう","2015","","","と","そのう","る"
"るなう","の","のとう","なのと","るなと","2016","う","な","と","るのう","る"
"ひくう","","くうて","ひうて","ひくて","2017","い","","う","ひてい","く"
"ふゃ","ん","","しん","ふゃ","2019","し","","ゃ","ふん","ふ"
"むしわ","ぎ","ぎしゅ","むぎし","ぎゅわ","2020","む","わ","し","むゅわ","ゅ"
"","","S","","E","2031","","","","",""
"AE","","","","","2032","","","","",""
"","","","","A","2033","","","","R",""
"","","","","E","2034","","","","I",""
"","","","","UA","2036","","","","R",""
"Y","","","E","E","2037","","","","L",""
"I","","","V","E","2038","","","","L",""
"","","","","L","2040","","","","I",""
"","","","","","2041","","","","A",""
"","","Y","","","2042","","","","",""
"","","K","","","2043","","","","A",""
"","","","","","2045","","","","A",""
"","","Q","","","2046","","","","R",""
"","","","","A","2047","","","","R",""
"","","KQ","","","2048","","","","A",""
"","","","","B","2049","","","","",""
"T","","","","U","2050","","","","A",""
"P","","","","EI","2052","","","","C",""
"T","","","","I","2053","","","","A",""
"S","","","","","2054","","","","",""
"","","","","","2055","","","","R",""
"","","","","V","2056","","","","",""
"","","","","","2058","","","","WU",""
"","","R","","","2059","","","","",""
"","","R","","","2060","","","","",""
"","","","","","2062","","","","S",""
"S","","","S","A","2063","","","","E",""
"A","","","","","2064","","","","A",""
"S","","","","A","2065","","","","",""
"","","C","","","2066","","","","",""
"","","","","B","2067","","","","",""
"","","L","","I","2068","","","","",""
"","","C","","","2069","","","","E",""
"","","","D","E","2070","","","","",""
"I","","","N","A","2071","","","","",""
"A","","","","","2074","","","","C",""
"A","","","","","2077","","","","A",""
"","し","","","","2092","","","","","ち"
"ト","","フ","ム","ン","2130","","","","ァ",""
"","聞聴","","","","2200","わ","視","聴言","","か"
"","ビブ","","","","2201","","","","","ー"
"","ル","","","","2202","","","","",""
"","","","","","2216","鯉","麦","飯","",""
"","","","","","2261","う","し","ゅ","",""
"","","","","","2264","","","","","ぅ"
"","","","","","2266","","","ー","",""
"","き","","","","2295","く","ひ","ふ","","ん"
"","だ","","","","2313","","","","",""
"","","ル","","","3020","","","","ナ",""
"","","","","","3066","","フ","ェ","",""
"","","","","","3068","","く","","",""
"","","","","","3073","が","","","",""
"","生","","","","3084","","","","",""
"","ア","","","","3158","","","","",""
"","","","","","3165","ひ","","","",""
"","か","","","","3187","","","","",""
"","シス","","","","3191","デ","","","","オ"
"","さ","","","","3193","","","","","ま"
"","","ブ","","","3195","","","","",""
"","","","","","3222","ス","","","",""
"","ず","","","","3238","","","","",""
"","帰","","","","3271","","","","",""
"","","","","","3277","","","ク","",""
"","","","","","3318","ア","","","",""
"","し","","","","4029","","","","","ち"
"","","","","","4049","","","","","X"
"","た","","","","4052","","","","",""
"","さ","","","","4077","","","","",""
"","","","","","4154","","","","","帯"
"","","","","そ","4157","","","","",""
"","","","","い","4167","","","","",""
"","","二","","","4171","","","","",""
"倍","","","","","4194","","","","小",""
"約","","","","","4195","","","","大",""
"","","","","","4196","底","高","","",""
"","","半","","","4197","","","","",""
"","く","","","","4203","","","","",""
"","","","","","4220","ウ","","","",""
"","","","","","4222","","","ィ","",""
"","","","","","4247","","セ","","",""
"","","","","","5010","ー","","","",""
"","","","","","5011","ワ","","","",""
"ラモ","","","テカ","","5030","","","","",""
"オモ","","","レカ","","5031","","","","",""
"","","","","","5051","ー","","","",""
"","ら","","","","5066","か","","お","",""
"","","","","","5100","ぶ","","","",""
"じ","","み","つ","","5109","","","","つ",""
"タ","","カ","ー","ン","5140","","","","ウ",""
"","","","","","5147","","","","","ロ"
"","","","","","5160","と","","","",""
"戌酉子","","卯辰戌","卯戌子","戌卯辰","5193","虎","","牛","戌酉卯",""
"","","","","","6060","","","","","ト"
"","","","","","6065","ほ","","","",""
"","ィ","","","","6157","","","","",""
"","","","ト","","6188","","","","",""
"","","","","","6203","ド","イ","ン","",""
"","ジ","","","","6216","ク","","","","ラ"
"","","チ","","ウ","6227","","","","ョ",""
