b0a8b7dcf4c2042b22e50147044413a2bbb09a0f4f3b18d6e8849b4df36e6805,ec6ce706d375072313db06f6f410de06c02a008e7dcead797333d6c45b0d1fe8,e9c54259b1831796867afefffd6a78183e2d9f8ff06add313b5eaddcdf3f01d8,97ae67096e16a6591f696aa40c0aee238b32cd4309e3502e4661a3787fb05de1,0a4b80bfc8815f9faef83898829d644b7bbacfbd2d1dcea3db99c71af1992f7e,f9c2e24d7a4a1cfacca835c308c0ef6adb7532dbb588fdd9cc3bc0f8de74ce5f
"1","2023/11/30 12:00:00","1013206","118001","バトル開始後90秒間物理攻撃力極大\nアップ","3001"
"2","2023/11/30 12:00:00","1013206","118001","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","3002"
"3","2023/11/30 12:00:00","1013206","118001","バトル開始後90秒間ＴＰ上昇大アップ","3010"
"4","2023/11/30 12:00:00","1013206","105801","バトル開始後90秒間物理攻撃力極大\nアップ","3001"
"5","2023/11/30 12:00:00","1013206","105801","バトル開始後90秒間魔法防御力極大\nアップ","3004"
"6","2023/11/30 12:00:00","1013206","105801","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","3005"
"7","2023/11/30 12:00:00","1013206","107501","バトル開始後90秒間物理攻撃力極大\nアップ","3001"
"8","2023/11/30 12:00:00","1013206","107501","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","3002"
"9","2023/11/30 12:00:00","1013206","107501","バトル開始後90秒間ＴＰ上昇大アップ","3010"
"10","2023/11/30 12:00:00","1013206","111801","バトル開始後90秒間物理攻撃力絶大\nアップ","3001"
"11","2023/11/30 12:00:00","1013206","111801","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","3004"
"13","2023/11/30 12:00:00","1013206","121001","バトル開始後90秒間物理攻撃力絶大\nアップ","3001"
"14","2023/11/30 12:00:00","1013206","121001","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","3004"
"16","2023/11/30 12:00:00","1013206","180401","バトル開始後90秒間物理攻撃力極大\nアップ","3001"
"17","2023/11/30 12:00:00","1013206","180401","バトル開始後90秒間魔法防御力極大\nアップ","3004"
"18","2023/11/30 12:00:00","1013206","180401","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","3005"
"19","2023/11/30 12:00:00","1013206","127901","バトル開始後90秒間魔法攻撃力絶大\nアップ","3003"
"20","2023/11/30 12:00:00","1013206","127901","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","3004"
"21","2023/12/31 12:00:00","1013406","106601","バトル開始後90秒間物理攻撃力絶大\nアップ","3001"
"22","2023/12/31 12:00:00","1013406","106601","バトル開始後90秒間物理/魔法無効バ\nリア","3012"
"23","2023/12/31 12:00:00","1013406","101401","バトル開始後90秒間魔法攻撃力絶大\nアップ","3003"
"24","2023/12/31 12:00:00","1013406","101401","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","3010"
"25","2023/12/31 12:00:00","1013406","101201","バトル開始後90秒間魔法攻撃力絶大\nアップ","3003"
"26","2023/12/31 12:00:00","1013406","101201","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","3010"
"27","2023/12/31 12:00:00","1013406","116501","バトル開始後90秒間物理攻撃力絶大\nアップ","3001"
"28","2023/12/31 12:00:00","1013406","116501","バトル開始後90秒間物理/魔法無効バ\nリア","3012"
"29","2023/12/31 12:00:00","1013406","121601","バトル開始後90秒間物理攻撃力絶大\nアップ","3001"
"30","2023/12/31 12:00:00","1013406","121601","バトル開始後90秒間物理/魔法無効バ\nリア","3012"
