ab0c877705c0304c15795888475ce785e7c9cc861058c8ce30b82ad6a2df8525,e2986c336685d9f6e11086a2439a05e4ce1eed6bbd2f8ed347fd44a7a6837c70,c35a598b411501bbcd81957d0636ba037141f0f0341781df712d730b19503ce4,739de39f86dee11184ef4b6d2ab4f3e4e7b557a8f584b0d5b65b70ea226b4338,2df206420e54a6e090a2cd23f8bdcaadb7cd889caf9ea4bcf80be317f97656d9,86b099534cf590cdebb80bffbf3ab80d174c558f3720b99ce66144041ae882cf
"1","1013206","118001","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"2","1013206","118001","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2023/11/30 12:00:00"
"3","1013206","118001","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/11/30 12:00:00"
"4","1013206","105801","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"5","1013206","105801","3004","バトル開始後90秒間魔法防御力極大\nアップ","2023/11/30 12:00:00"
"6","1013206","105801","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","2023/11/30 12:00:00"
"7","1013206","107501","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"8","1013206","107501","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2023/11/30 12:00:00"
"9","1013206","107501","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/11/30 12:00:00"
"10","1013206","111801","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/11/30 12:00:00"
"11","1013206","111801","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00"
"13","1013206","121001","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/11/30 12:00:00"
"14","1013206","121001","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00"
"16","1013206","180401","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"17","1013206","180401","3004","バトル開始後90秒間魔法防御力極大\nアップ","2023/11/30 12:00:00"
"18","1013206","180401","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","2023/11/30 12:00:00"
"19","1013206","127901","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/11/30 12:00:00"
"20","1013206","127901","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00"
"21","1013406","106601","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00"
"22","1013406","106601","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00"
"23","1013406","101401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"24","1013406","101401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
