136fefd1f55b08092518d71e2a0aed60303755fc64b755bc2e74bb3b6e18e9bc,32801f6f92cc5a9164ec0e7fbfd5a8f865c22f2f4f8840749f1c99c6812ffc62,bc7e15d36e80527e96a065f5db3cc697d7fb1651f8cb1b5dc6a32a95f47d16ce,65cf163ae84e05c3ea486c970becc6169c18dcf5fc01327b6a1154fb057eaa75,b659827848930c355ae72077b8f1adf4543be09353f5461497a3be5f3161a24d
"58","1","1","1","1"
"59","1","1","1","2"
"60","1","1","1","3"
"64","1","1","1","4"
"1","1","2","1","5"
"2","1","2","1","6"
"3","1","2","1","7"
"68","1","3","1","8"
"49","1","3","1","9"
"11","1","3","1","10"
"29","1","4","1","11"
"42","1","4","1","12"
"54","1","4","1","13"
"20","1","5","1","14"
"4","1","5","1","15"
"36","1","5","1","16"
"15","1","6","1","17"
"12","1","6","1","18"
"40","1","6","1","19"
"44","1","7","1","20"
"31","1","7","1","21"
"7","1","7","1","22"
"22","1","7","1","23"
"6","1","7","1","24"
"47","1","8","1","25"
"71","1","8","1","26"
"37","1","8","1","27"
"5","1","8","1","28"
"28","1","9","1","29"
"25","1","9","1","30"
"21","1","9","1","31"
"23","1","9","1","32"
"10","1","10","1","33"
"43","1","10","1","34"
"17","1","10","1","35"
"14","1","10","1","36"
"33","1","11","1","37"
"26","1","11","1","38"
"52","1","11","1","39"
"38","1","11","1","40"
"32","1","12","1","41"
"48","1","12","1","42"
"34","1","12","1","43"
"46","1","12","1","44"
"56","1","13","1","45"
"51","1","13","1","46"
"27","1","13","1","47"
"13","1","13","1","48"
"9","1","13","1","49"
"18","1","14","1","50"
"16","1","14","1","51"
"50","1","14","1","52"
"53","1","15","1","53"
"30","1","15","1","54"
"8","1","15","1","55"
"45","1","15","1","56"
"55","1","15","1","57"
"110","1","16","1","58"
"108","1","16","1","59"
"109","1","16","1","60"
"67","1","17","1","61"
"65","1","17","1","62"
"66","1","17","1","63"
"181","1","18","1","64"
"182","1","18","1","65"
"233","1","18","1","66"
"180","1","19","1","67"
"258","1","20","1","68"
"260","1","20","1","69"
"261","1","20","1","70"
"265","1","21","1","71"
"264","1","21","1","72"
"277","1","21","1","73"
"278","1","21","1","74"
"309","1","21","1","75"
"297","1","22","1","76"
"296","1","22","1","77"
"347","1","22","1","78"
"349","1","22","1","79"
"362","1","22","1","80"
"360","1","22","1","81"
"331","1","23","1","82"
"330","1","23","1","83"
"359","1","23","1","84"
"358","1","23","1","85"
"369","1","23","1","86"
"300","1","24","1","87"
"301","1","24","1","88"
"302","1","24","1","89"
"323","1","25","1","90"
"325","1","25","1","91"
"324","1","25","1","92"
"230","1","26","1","93"
"186","1","26","1","94"
"61","1","26","1","95"
"70","1","26","1","96"
"69","1","26","1","97"
"185","1","26","1","98"
"290","1","26","1","99"
"355","1","26","1","100"
"356","1","26","1","101"
"57","1","26","1","102"
"256","1","26","1","103"
"92","1","26","1","104"
"94","1","26","1","105"
"93","1","26","1","106"
"63","1","26","1","107"
"114","1","26","1","108"
"223","1","26","1","109"
"336","1","26","1","110"
"58","2","31","1","201"
"59","2","31","1","202"
"60","2","31","1","203"
"64","2","31","1","204"
"1","2","32","1","205"
"2","2","32","1","206"
"3","2","32","1","207"
"68","2","33","1","208"
"49","2","33","1","209"
"11","2","33","1","210"
"29","2","34","1","211"
"42","2","34","1","212"
"54","2","34","1","213"
"20","2","35","1","214"
"4","2","35","1","215"
"36","2","35","1","216"
"15","2","36","1","217"
"12","2","36","1","218"
"40","2","36","1","219"
"44","2","37","1","220"
"31","2","37","1","221"
"7","2","37","1","222"
"22","2","37","1","223"
"6","2","37","1","224"
"47","2","38","1","225"
"71","2","38","1","226"
"37","2","38","1","227"
"5","2","38","1","228"
"28","2","39","1","229"
"25","2","39","1","230"
"21","2","39","1","231"
"23","2","39","1","232"
"10","2","40","1","233"
"43","2","40","1","234"
"17","2","40","1","235"
"14","2","40","1","236"
"33","2","41","1","237"
"26","2","41","1","238"
"52","2","41","1","239"
"38","2","41","1","240"
"32","2","42","1","241"
"48","2","42","1","242"
"34","2","42","1","243"
"46","2","42","1","244"
"56","2","43","1","245"
"51","2","43","1","246"
"27","2","43","1","247"
"13","2","43","1","248"
"9","2","43","1","249"
"18","2","44","1","250"
"16","2","44","1","251"
"50","2","44","1","252"
"53","2","45","1","253"
"30","2","45","1","254"
"8","2","45","1","255"
"45","2","45","1","256"
"55","2","45","1","257"
"110","2","46","1","258"
"108","2","46","1","259"
"109","2","46","1","260"
"67","2","47","1","261"
"65","2","47","1","262"
"66","2","47","1","263"
"181","2","48","1","264"
"182","2","48","1","265"
"233","2","48","1","266"
"180","2","49","1","267"
"258","2","50","1","268"
"260","2","50","1","269"
"261","2","50","1","270"
"265","2","51","1","271"
"264","2","51","1","272"
"277","2","51","1","273"
"278","2","51","1","274"
"309","2","51","1","275"
"297","2","52","1","276"
"296","2","52","1","277"
"347","2","52","1","278"
"349","2","52","1","279"
"362","2","52","1","280"
"360","2","52","1","281"
"331","2","53","1","282"
"330","2","53","1","283"
"359","2","53","1","284"
"358","2","53","1","285"
"369","2","53","1","286"
"300","2","54","1","287"
"301","2","54","1","288"
"302","2","54","1","289"
"323","2","55","1","290"
"325","2","55","1","291"
"324","2","55","1","292"
"230","2","56","1","293"
"186","2","56","1","294"
"61","2","56","1","295"
"70","2","56","1","296"
"185","2","56","1","297"
"290","2","56","1","298"
"355","2","56","1","299"
"356","2","56","1","300"
"223","2","56","1","301"
"336","2","56","1","302"
"403","2","57","1","303"
"99999","2","58","1","304"
