68f48ea81cfd34a7d981d69ec615976959e2718984b36a36d1111c9aac5b29ae,1d93fe87ae6d5d16d6f1309716b5d0e490daed3508cb0370f58b5153d4e3d3bf,021363dfaf387e33202b60a4cf6f7b56ae5ad35d302dcb0c0fa185bf12aa24c0,9e91d4cbacb446969897a75e28acc071457f4610082715a67383e14d635c1903,6bb1ea25cc57c0ba0a1ffa54b455a21edf778202f90795d15c67fd3216719890,383923e2ae48ae540a51d794b7e0a8ad6b873780f37a17dc5b2d3a603cfe5505,9a7e82752ced3bce77745f5268c04d0eaa912f21b85f7e47fc90d9fe56a379e3,72c2b29970773fed7a78ea98809f88dde68feb40e40d9437040e274cd7afb903,72c155e6c2d1fd95da302d37b8bc4fb8f4c308dd2119cb8ff87e2ccf6b82218b,b14f4de3a4639719af0c682ad54f3846b6f1691080b0666417ce1e7474a4cc53
"1010001","","0","0","0","vo_10011600_0101","vo_10011600","1","2","1"
"1010002","　明日から","0","8","0","0","0","1","1","2"
"1010003","","1.625","0","1","0","0","1","4","3"
"1010004","聖テレサ女学院に通うことになっちゃった！","0","10","0","0","0","1","1","4"
"1010005","","4","0","1","0","0","1","4","5"
"1010006","","0","0","0","vo_10011600_0102","vo_10011600","1","2","6"
"1010007","　なんで、","0","8","0","0","0","1","1","7"
"1010008","","1.375","0","1","0","0","1","4","8"
"1010009","どうしてこんなことになっちゃったんだろう。\n","0","9","0","0","0","1","1","9"
"1010010","","3.33333333333333","0","1","0","0","1","4","10"
"1010011","","0","0","0","vo_10011600_0103","vo_10011600","1","2","11"
"1010012","ミサト先生は","0","8","0","0","0","1","1","12"
"1010013","","1.75","0","1","0","0","1","4","13"
"1010014","私ならきっとやれると言ってくれたけど……","0","10","0","0","0","1","1","14"
"1010015","","3","0","1","0","0","1","4","15"
"1010016","絶対ムリだー！\n","0","8","0","0","0","1","1","16"
"1010017","","3.875","0","1","0","0","1","4","17"
"1010018","","0","0","0","vo_10011600_0104","vo_10011600","1","2","18"
"1010019","でも。","0","8","0","0","0","1","1","19"
"1010020","","2.375","0","1","0","0","1","4","20"
"1010021","でも……","0","8","0","0","0","1","1","21"
"1010022","","2.5","0","1","0","0","1","4","22"
"1010023","","0","0","0","vo_10011600_0105","vo_10011600","1","2","23"
"1010024","でも、","0","8","0","0","0","1","1","24"
"1010025","","1.375","0","1","0","0","1","4","25"
"1010026","もしも、","0","8","0","0","0","1","1","26"
"1010027","","1.5","0","1","0","0","1","4","27"
"1010028","私が聖テレサ女学院で頑張ることが出来たら。\n\n","0","8","0","0","0","1","1","28"
"1010029","","4.875","0","1","0","0","1","4","29"
"1010030","","0","0","0","vo_10011600_0106","vo_10011600","1","2","30"
"1010031","……友達、","0","6","0","0","0","1","1","31"
"1010032","","1.58333333333333","0","1","0","0","1","4","32"
