9c6900480681e8fdf12fc630e4b52a16acb09b336d94fd3faa10675f66429b65,4a023c32c5c42ecf767c9876f448f2f150bb44201d8e6d5a14299b8390ba0e3f,4473e618ee3f2c98992e2c0717f32c24c51f26ca28e5553b41ea31818445b6be,35e7b60b754e423a8021cd5ad5cda5e1ae1a5fb1b4ce160ec2296132a81bcf60,efe3879c12f9e80a872c5b954eaabddfdd5c7c668a0f63e770592cad008ab3ef,729566e2023a65b8594729e2f380b0189ce8627cf511dd0349abab591b9655a5,89eb53db5b617f6cb54b0fabfb8307ae1dbe0eca559d5330182ecaf4de9ebdfc,eba73c6051ec557a75174ae9fec61bcd520f21204b8232bfb1da852377bd3c50,498cdd4ff8ac8a4585542048d95ed9f2e35209f770b0e71f96a6c189f3cbd41f,9dae0255c9354f3a0650285dbc1987fa6d3be174912d43009bb9e4f47ce7d3aa,f4dfda8ed8bcd1686869c9a3738a90922491b9166aecb44e8ba65f51646feaaf
"0","0","31","1","1021301","1","","1","","1","1021301001"
"0","0","31","2","1021301","1","","1","","2","1021301002"
"0","0","31","5","1021301","1","","1","","5","1021301003"
"0","0","31","10","1021301","0","","1","","10","1021301004"
"0","0","31","20","1021301","0","","1","","20","1021301005"
"0","0","31","21","1021301","0","","1","","21","1021301006"
"0","0","31","22","1021301","0","","1","","22","1021301007"
"0","0","31","100","1021301","0","","1","","101","1021301008"
"0","0","31","200","1021301","0","","1","","201","1021301009"
"0","0","31","300","1021301","0","","1","","301","1021301010"
"0","27","5","1","1021301","1","empty","-14","0","1","1021301011"
"0","28","5","2","1021301","1","empty","-14","0","2","1021301012"
"0","26","5","3","1021301","1","empty","-14","0","2","1021301013"
"0","25","5","4","1021301","1","empty","-14","0","11","1021301014"
"0","24","5","5","1021301","1","empty","-14","0","12","1021301015"
"-10","13","5","6","1021301","1","empty","-24","0","11","1021301016"
"-10","12","5","7","1021301","1","empty","-24","0","12","1021301017"
"0","29","5","8","1021301","1","empty","-14","0","0","1021301018"
"-5","10","5","9","1021301","1","empty","-19","0","0","1021301019"
"0.56","0.63","6","0.23","1021301","0","","1","0","6","1021301020"
"0.56","0.63","6","0.23","1021301","0","","1","0","7","1021301021"
