f29d75dfdf0c94001954daecc5ecf830cd764ffc6890ccd5b54305e185c34c46,d9d4bd00328ee2ad5da97aa5cc0100ac9050c5acd90b4277bfd495fa3df486e9,88d2c1c218dcb445069ac86c4ced6b2894e1424312b6e2790e43f179d8eff48e,89324cf8187b433962c7b13445aa7d184a77c9c8d9252e672e27d17f6373ca47,f638898767c77d601dac359a4c4e8aad1d01c039a8b54545390500b71c791007,88b33eb976dacee09c09738ba92041648a636fa96313df4ae87f49d7fe1a8aa6,1009dc30d72f244f92fdf752d3ec3514f0948561860a7a36fd34d7df0929be9d,6fc12ae0839a8e79087b742c9d9dc8f6ade9d31577cde838f95c35a86c8b94b5,dfed8d2f0ae23cb1c12892e3777c9580912e4c1a5ef08ecb20c7a07ff266856d,b4da95c358d605b9031685e6905fd0a43508c1ead40521b77b955a46171ec5df,70fef67f17fcdfcc7d2b06b281f9678ae0f5771b5ee868bc603e8ce2b7add02d,1227af9470a0b8af1b2c1706f53237a4df38f15b8325aae612438075bb3fe2a7,760b563458c89ef8a08177ade46deca8e6231f18a196929d1922de31801d7a13,61a9b7c274d03f7a98f32015990420244483e646beba025d0987b01d3eb63d4b,999480dfa93b2ac62929586a5006ceec2c96fccc64b4b68a899697079c68197a,58d6557e523249375253dcc8e82f08f35f04f91ebf72b05346863b66d2590fe5,495cd313d3966ca3e8e21fb4781f37089c1af8fc936ed2ba1b924073607e06df,06bfbedbae99d8d0fe8e8599a12ca7388e951069935e68ad37dad26f56b232dd,88109d38ac7fed1888bb002bcc4dd08f3f7ce1a966281b077b522d86f90e689a
"0","0","0","2","0","0","0","0","0","10","0","0","16","100101","65","0","1","1","75"
"0","0","0","3","0","0","0","0","0","30","0","0","68","100101","185","0","2","3","125"
"0","0","0","4","0","3","0","0","0","60","0","0","158","100101","420","0","4","7","260"
"0","0","0","5","0","7","0","0","0","100","0","0","293","100101","810","0","7","12","420"
"0","0","0","6","3","11","0","0","0","130","0","0","486","100101","1340","0","11","17","630"
"0","0","0","7","6","17","0","0","0","155","0","0","731","100101","1660","0","15","26","1235"
"0","9","10","8","9","24","0","0","0","180","0","0","1030","100101","2290","0","15","35","1795"
"0","23","40","9","9","27","0","0","0","205","0","5","1459","100101","2540","0","16","46","1795"
"0","37","100","10","9","35","0","0","0","205","10","10","1941","100101","2740","0","16","51","1795"
"3","37","158","11","9","44","0","0","0","205","20","15","2439","100101","3100","0","16","55","1795"
"36","37","198","12","9","46","0","0","0","205","20","15","2871","100101","3470","0","18","66","2045"
"56","37","251","13","9","54","0","0","0","230","20","15","3345","100101","3720","0","18","79","2045"
"56","37","328","14","9","68","0","0","0","255","20","15","3840","100101","3880","0","20","97","2045"
"56","37","448","15","9","82","0","0","0","255","20","15","4412","100101","3880","0","20","111","2045"
"59","37","586","16","9","94","0","0","0","255","20","15","5015","100101","3880","0","20","124","2045"
"62","37","711","17","9","103","0","0","0","255","20","15","5656","100101","3930","0","20","142","2045"
"62","37","856","18","9","119","0","0","0","255","20","15","6351","100101","3980","0","20","157","2045"
"62","37","984","19","9","135","0","0","0","255","20","15","7154","100101","4075","0","20","173","2045"
"62","37","1065","20","9","147","0","0","0","255","20","15","8017","100101","4270","0","20","203","2045"
"62","37","1160","21","9","157","0","0","0","255","20","15","8971","100101","4580","0","20","232","2045"
"62","37","1262","22","9","176","0","0","0","255","20","15","10078","100101","4790","0","20","259","2045"
"62","37","1343","23","9","199","0","0","0","255","20","15","11352","100101","4880","0","20","287","2045"
"62","37","1416","24","9","221","0","0","0","255","20","15","12783","100101","4970","0","20","308","2045"
"62","37","1471","25","9","247","0","0","0","255","20","15","14334","100101","5230","0","20","331","2045"
"62","37","1495","26","9","280","0","0","0","255","20","15","15835","100101","6835","0","20","359","2045"
"62","37","1513","27","9","313","0","0","0","255","20","15","17449","100101","8440","0","20","387","2045"
"62","37","1538","28","9","326","0","0","0","255","20","15","19454","100101","9225","0","20","400","2045"
