8cbccb21eb41f59eeaf6935bfd66008917b79840226e95e5d9af378104b3d21f,e154d00d4ee18c0b70dac1d002f59461aa2cd84a0287c1da6008a423fb998234,eb5053e1a3b746bdc15f87f802789ca8bee4ca508550cc811df4e2d326b92d5f,86c5e9e3ec6d92e33d232cf1651c3bf0fcacae0887de17128310da3c68a2b878,b81539cbb459bfc3deab0b2fcc3d33187b5d95f77292d89413a35fc9f97031d7,7fcb370032aea23bfcbead741daa6de30c838020668bad8371bc8d38d4761bf4,e6ed8a46228d9f28b4db5e7521da9891a9ee9bcbc5d85fbff1f4ee47c44e2561
"0","1","1","1","1","0","1"
"0","2","1","1","2","0","4"
"12","1","1","1","3","0","5"
"0","2","1","1","4","0","2"
"0","1","2","1","5","0","8"
"0","1","1","2","1","0","1"
"0","2","1","2","2","0","1"
"0","1","1","2","3","0","6"
"0","2","1","2","4","0","1"
"0","3","1","2","5","0","1"
"11","1","3","2","6","0","3"
"0","2","1","2","7","0","1"
"0","1","1","2","8","0","3"
"0","1","2","2","9","0","1"
"0","1","1","3","1","0","1"
"0","2","1","3","2","0","10"
"0","1","1","3","3","0","11"
"0","2","1","3","4","0","5"
"0","3","1","3","5","0","6"
"0","3","1","3","6","0","3"
"9","4","2","3","7","0","3"
"0","4","1","3","8","0","7"
"0","4","1","3","9","0","1"
"8","1","3","3","10","0","9"
"0","2","1","3","11","0","4"
"0","1","1","3","12","0","1"
"0","4","1","3","13","0","3"
"11","3","2","3","14","0","3"
"10","1","1","4","1","0","4"
"12","1","1","4","2","0","12"
"10","2","1","4","3","0","1"
"4","1","1","4","4","0","11"
"0","2","1","4","5","0","1"
"13","1","1","4","6","0","4"
"6","2","1","4","7","0","2"
"0","1","1","4","8","0","8"
"10","2","1","4","9","0","8"
"10","1","1","5","1","0","1"
"5","2","1","5","2","0","11"
"7","1","1","5","3","0","1"
"12","2","1","5","4","0","5"
"11","1","1","5","5","0","1"
"4","2","1","5","6","0","3"
"12","2","1","5","7","0","5"
"6","1","1","5","8","0","2"
"4","2","1","5","9","0","11"
"8","1","1","5","10","0","8"
"10","1","1","5","11","0","4"
"10","2","1","5","12","0","5"
"7","1","1","6","1","0","8"
"10","2","1","6","2","0","4"
"11","1","1","6","3","0","1"
"8","2","1","6","4","0","8"
"6","1","1","6","5","0","11"
