6d2ce83e605500bdf00ab7c8d3543e2bebdc18a04efe8cde040d4987da888cf2,aa680e39a730d85db873658e2749f984f9358203108d73a3129e4ac0da3e905a,bda6f604edb077d0b4b99a9cdaa8672f4a60a796e89fd892de1f7c21cf2084a8,fe65def47d74777e076bb9c9c99b56e30ebf947494a7522abf4fd3cb46c32f69,8bb73df11af0203ad2a0f4e23d29c7ed0b3793f0e012293065b3209c826eebe7
"-7","990001","-4.5","1","30010001"
"12","990001","-21.5","1","30010003"
"-3","990001","-21.5","1","30010004"
"-5.8","1","-21.6","1","30010007"
"-4.4","1","-21.6","1","30010008"
"-16.7","1","-8.6","1","30010029"
"-7","1","-13","1","30010038"
"-5.5","990002","2.9","1","30010047"
"-8.9","1","-17.6","1","30010055"
"-6.6","1","-19","1","30010056"
"-5","1","-18.4","1","30010060"
"0.6","3","-20.4","1","30010061"
"-3.9","3","-17.2","1","30010062"
"-4.1","1","-14.9","1","30010063"
"2.2","1","-17","1","30010066"
"2.2","1","-18.5","1","30010068"
"2.2","1","-15.4","1","30010070"
"-9.6","3","-21.7","1","30010071"
"-11.9","1","-21.6","1","30010073"
"-12","3","-20","1","30010074"
"-1.9","3","-21.7","1","30010077"
"-4.9","3","-13.8","1","30010079"
"-17","2","-3.6","1","30010081"
"-15","2","-4.7","1","30010083"
"-13.9","3","-16.8","1","30010085"
"-7.1","3","-11.5","1","30010089"
"-8.1","2","-8.7","1","30010091"
"-5.7","2","-8.7","1","30010094"
"-16.3","2","-4.7","1","30010100"
"-13.8","2","-0.2","1","30010104"
"-13.9","2","2.3","1","30010106"
"-15.2","2","1","1","30010107"
"-16.6","2","2.1","1","30010109"
"-16.5","2","-0.1","1","30010110"
"-20","2","-2","1","30010112"
"-20","2","-0.8","1","30010113"
"-20","2","2","1","30010115"
"-20","2","3.7","1","30010116"
"-19.9","3","0.6","1","30010117"
"-18.2","3","-2.9","1","30010119"
"-19.5","3","-3","1","30010120"
"-15","991002","-2.5","1","30010125"
"-16.7","991001","-2.5","1","30010126"
"-8.5","991001","-21.4","1","30010130"
"-18.4","3","4.8","1","30010134"
"-17","3","5.8","1","30010136"
"-17.1","2","6.9","1","30010137"
"-17","3","8","1","30010138"
"-17","2","9.5","1","30010139"
"-13.5","2","5.3","1","30010145"
"-12.1","2","5.3","1","30010146"
"-15.5","3","8.7","1","30010147"
"-14.3","2","8.8","1","30010148"
"-13","3","8.8","1","30010149"
"-12.3","2","10.2","1","30010150"
"-10.8","2","8.4","1","30010152"
"-10.7","2","10.2","1","30010155"
"-6.2","1","-16.1","1","30010156"
"-7.3","2","6.8","1","30010160"
"-6.4","3","7.9","1","30010161"
"-6","1","6.4","1","30010162"
"-6","3","2","1","30010163"
"-6","1","4.6","1","30010164"
"-2.8","1","3","1","30010166"
"-2.2","1","5.3","1","30010168"
"-0.5","3","5.3","1","30010169"
"-4.9","1","-12.2","1","30010170"
"-4.9","3","-10.9","1","30010171"
"-3.8","1","8","1","30010173"
"-2.6","2","8.7","1","30010174"
"-1.5","1","8","1","30010175"
"-0.3","2","8.7","1","30010176"
"0.9","1","7.9","1","30010177"
"-1.9","2","3.3","1","30010178"
"-1.6","2","-0.8","1","30010181"
"1","1","0.4","1","30010182"
"2.4","2","0.4","1","30010183"
"3.6","1","0.4","1","30010184"
"6.4","1","1.3","1","30010186"
"8","3","1.3","1","30010187"
"9.5","1","1.3","1","30010188"
"5.4","2","4.9","1","30010189"
"6.4","1","5.8","1","30010190"
"7.5","2","4.9","1","30010191"
"8.6","2","5.8","1","30010192"
"3.8","1","5.7","1","30010193"
"11.1","3","0.4","1","30010194"
"14","2","0.2","1","30010195"
"15","3","1.4","1","30010196"
"14.1","2","2.4","1","30010197"
"15.1","1","3.5","1","30010198"
"14","2","4.3","1","30010199"
"12","1","6.3","1","30010200"
"10.3","2","6.3","1","30010201"
"12.1","1","-2.8","1","30010202"
"9.1","3","-1.7","1","30010203"
"9","1","-3","1","30010204"
"9","3","-4.7","1","30010205"
"15.9","2","-1.7","1","30010206"
"16.8","2","-3.2","1","30010207"
"15.8","2","-4.5","1","30010208"
"13.1","3","-2.8","1","30010209"
"10.2","1","-8.8","1","30010210"
"10.1","2","-7.5","1","30010211"
"10","1","-5.9","1","30010212"
"15.1","3","-8.7","1","30010213"
"16.2","3","-7.6","1","30010214"
"15.3","3","-6.3","1","30010215"
"15.9","1","-10.4","1","30010216"
"16.9","3","-11.6","1","30010217"
"15.9","1","-13","1","30010218"
"11.1","2","-11.6","1","30010219"
"11.1","3","-10.1","1","30010220"
