71bdf74e803d9e3ea9a8fbcc55acfcd5b408a3ad436d0467450770c38552ba64,811f68578f31977be0cbe33aea4a728f7e2effd802e9a7ee75f818c1174429e4,5cdaa75b2afe923a467edd62ecdedb1b60bb0eb7f13aa2f5cc73cd74958558ac,e75687fe5b2030a7fcc13b270e6b10464bd7a6ad53bc947b9e0046f020371927,2b780bc166c265078fd91b744e8fb31293dbdf7ce414e1850e7eff0125a87559,7057cb6e6f1201d7f0709e7976c9956bd48fd53f2a0406cdd92b65defdd74106,810b79b01892c404c7a2e91730fb844ce5c6758059a66ca6fdda6ef8407340e7,efd3c43af230bb32613efc772c5cddbf4ece5d84d3b4ecd982dd75e883822b1e,bbd7fe7943c11fb81261a76d34b3165dde4ac64a1c95daaabdecafb0401ae3d4
"320010106","1","502001102","11","43.5","0","0.7","1","1"
"320010106","3","502001103","67","13","0","0.65","2","2"
"320010106","2","0","49","-74","0","0.65","3","3"
"320010107","1","502001108","13","-49","0","0.7","4","1"
"320010107","3","502001109","62","-4","0","0.85","5","2"
"320010107","2","0","50","59","0","0.65","6","3"
"320010108","1","0","-10","0","0","1.05","7","1"
"320010109","1","0","-10","-15","0","1.05","8","1"
"320010110","1","0","-45","-85","0","0.43","9","1"
"320010110","2","0","-45","85","0","0.43","10","2"
"320010206","1","502001202","11","43.5","0","0.7","11","1"
"320010206","3","502001203","67","13","0","0.65","12","2"
"320010206","2","0","49","-74","0","0.65","13","3"
"320010207","1","502001208","13","-49","0","0.7","14","1"
"320010207","3","502001209","62","-4","0","0.85","15","2"
"320010207","2","0","50","59","0","0.65","16","3"
"320010208","1","0","-10","0","0","1.05","17","1"
"320010209","1","0","-10","-15","0","1.05","18","1"
"320010210","1","0","-45","-85","0","0.43","19","1"
"320010210","2","0","-45","85","0","0.43","20","2"
"320010306","1","502001302","11","43.5","0","0.7","21","1"
"320010306","3","502001303","67","13","0","0.65","22","2"
"320010306","2","0","49","-74","0","0.65","23","3"
"320010307","1","502001308","13","-49","0","0.7","24","1"
"320010307","3","502001309","62","-4","0","0.85","25","2"
"320010307","2","0","50","59","0","0.65","26","3"
"320010308","1","0","-10","0","0","1.05","27","1"
"320010309","1","0","-10","-15","0","1.05","28","1"
"320010310","1","0","-45","-85","0","0.43","29","1"
"320010310","2","0","-45","85","0","0.43","30","2"
"320010406","1","502001402","11","43.5","0","0.7","31","1"
"320010406","3","502001403","67","13","0","0.65","32","2"
"320010406","2","0","49","-74","0","0.65","33","3"
"320010407","1","502001408","13","-49","0","0.7","34","1"
"320010407","3","502001409","62","-4","0","0.85","35","2"
"320010407","2","0","50","59","0","0.65","36","3"
"320010408","1","0","-10","0","0","1.05","37","1"
"320010409","1","0","-10","-15","0","1.05","38","1"
"320010410","1","0","-45","-85","0","0.43","39","1"
"320010410","2","0","-45","85","0","0.43","40","2"
"320010506","1","502001502","11","43.5","0","0.7","41","1"
"320010506","3","502001503","67","13","0","0.65","42","2"
"320010506","2","0","49","-74","0","0.65","43","3"
"320010507","1","502001508","13","-49","0","0.7","44","1"
"320010507","3","502001509","62","-4","0","0.85","45","2"
"320010507","2","0","50","59","0","0.65","46","3"
"320010508","1","0","-10","0","0","1.05","47","1"
"320010509","1","0","-10","-15","0","1.05","48","1"
"320010510","1","0","-45","-85","0","0.43","49","1"
"320010510","2","0","-45","85","0","0.43","50","2"
"320020106","1","502002102","11","43.5","0","0.7","51","1"
"320020106","3","502002103","67","13","0","0.65","52","2"
"320020106","2","0","49","-74","0","0.65","53","3"
"320020107","1","502002108","13","-49","0","0.7","54","1"
"320020107","3","502002109","62","-4","0","0.85","55","2"
"320020107","2","0","50","59","0","0.65","56","3"
"320020108","1","0","-10","0","0","1.05","57","1"
"320020109","1","0","-10","-15","0","1.05","58","1"
"320020110","1","0","-45","-85","0","0.43","59","1"
"320020110","2","0","-45","85","0","0.43","60","2"
"320020206","1","502002202","11","43.5","0","0.7","61","1"
"320020206","3","502002203","67","13","0","0.65","62","2"
"320020206","2","0","49","-74","0","0.65","63","3"
"320020207","1","502002208","13","-49","0","0.7","64","1"
"320020207","3","502002209","62","-4","0","0.85","65","2"
"320020207","2","0","50","59","0","0.65","66","3"
"320020208","1","0","-10","0","0","1.05","67","1"
"320020209","1","0","-10","-15","0","1.05","68","1"
"320020210","1","0","-45","-85","0","0.43","69","1"
"320020210","2","0","-45","85","0","0.43","70","2"
"320020306","1","502002302","11","43.5","0","0.7","71","1"
"320020306","3","502002303","67","13","0","0.65","72","2"
"320020306","2","0","49","-74","0","0.65","73","3"
"320020307","1","502002308","13","-49","0","0.7","74","1"
"320020307","3","502002309","62","-4","0","0.85","75","2"
"320020307","2","0","50","59","0","0.65","76","3"
"320020308","1","0","-10","0","0","1.05","77","1"
"320020309","1","0","-10","-15","0","1.05","78","1"
"320020310","1","0","-45","-85","0","0.43","79","1"
"320020310","2","0","-45","85","0","0.43","80","2"
"320020406","1","502002402","11","43.5","0","0.7","81","1"
"320020406","3","502002403","67","13","0","0.65","82","2"
"320020406","2","0","49","-74","0","0.65","83","3"
"320020407","1","502002408","13","-49","0","0.7","84","1"
"320020407","3","502002409","62","-4","0","0.85","85","2"
"320020407","2","0","50","59","0","0.65","86","3"
"320020408","1","0","-10","0","0","1.05","87","1"
"320020409","1","0","-10","-15","0","1.05","88","1"
"320020410","1","0","-45","-85","0","0.43","89","1"
"320020410","2","0","-45","85","0","0.43","90","2"
"320020506","1","502002502","11","43.5","0","0.7","91","1"
"320020506","3","502002503","67","13","0","0.65","92","2"
"320020506","2","0","49","-74","0","0.65","93","3"
"320020507","1","502002508","13","-49","0","0.7","94","1"
"320020507","3","502002509","62","-4","0","0.85","95","2"
"320020507","2","0","50","59","0","0.65","96","3"
"320020508","1","0","-10","0","0","1.05","97","1"
"320020509","1","0","-10","-15","0","1.05","98","1"
"320020510","1","0","-45","-85","0","0.43","99","1"
"320020510","2","0","-45","85","0","0.43","100","2"
"320030106","1","502003102","11","43.5","0","0.7","101","1"
"320030106","2","502003103","67","13","0","0.65","102","2"
"320030106","3","0","49","-74","0","0.65","103","3"
"320030107","1","502003108","13","-49","0","0.7","104","1"
"320030107","3","502003109","62","-4","0","0.85","105","2"
"320030107","2","0","50","59","0","0.65","106","3"
"320030108","1","0","-10","0","0","1.05","107","1"
"320030109","1","0","-10","-15","0","1.05","108","1"
"320030110","1","0","-45","-85","0","0.43","109","1"
"320030110","2","0","-45","85","0","0.43","110","2"
"320030206","1","502003202","11","43.5","0","0.7","111","1"
"320030206","2","502003203","67","13","0","0.65","112","2"
"320030206","3","0","49","-74","0","0.65","113","3"
"320030207","1","502003208","13","-49","0","0.7","114","1"
"320030207","3","502003209","62","-4","0","0.85","115","2"
"320030207","2","0","50","59","0","0.65","116","3"
