3cdf5b77248db8a0e2deda3fa05d548ee40c6ad3102e7503bbe439b1dfa1030f,09f713b16a90ecaee9bcd21728bc0b8c69c38d05f227f719e7c5bf8d0121a7ba,e1f0167f2501bc401baca96aef7fe76266e82ffef549b7273dacf38db59da935,730183e940247c1889b18014c7e2ecf478de2b0e520d65dc18ae15c17a2be8d0,25fe7e89a00f246b3b23cc1779628b4b41e7e4d569b50c0ed9eae5393cd92eab,92a40dcbf92593c4aada4426bccd7cb112efdac0064d39930f4f298035460e6d,1c5e45dc119f64620c0458c3d8a28966d529e42eeb117fea29c980d762e0429c,3ca065fe06085749a2fa905087e68a53257dc281595d810de4e1986ba9a92c5d
"1","0","1","0","0","0","0","0"
"2","0","2","0","0","0","0","0"
"3","0","3","0","0","0","0","0"
"4","0","4","0","0","0","0","0"
"5","0","5","0","0","0","0","0"
"6","0","6","0","0","0","0","0"
"7","0","7","0","0","0","0","0"
"8","0","8","0","0","0","0","0"
"0","0","9","0","1","0","0","0"
"0","0","10","0","0","0","1","0"
"11","0","11","0","0","0","0","0"
"12","0","12","0","0","0","0","0"
"0","0","13","0","0","0","0","1"
"0","0","14","0","0","0","0","0"
"0","0","15","0","0","0","0","0"
"0","0","16","0","0","1","0","0"
"0","0","17","10056","0","0","0","0"
"0","0","18","0","0","0","0","0"
"19","0","19","0","0","0","0","0"
"0","0","20","10061","0","0","0","0"
"0","0","21","0","0","0","0","0"
"0","0","22","0","0","0","0","0"
"0","23","23","0","0","0","0","0"
"0","0","24","0","0","0","0","0"
"25","0","25","0","0","0","0","0"
"0","0","26","10088","0","0","0","0"
"0","0","27","10102","0","0","0","0"
"28","0","28","0","0","0","0","0"
"0","0","29","30001","0","0","0","0"
"30","0","30","0","0","0","0","0"
