fd314058768e23cf26702a60a04855110853d6c58d1b650ab47a008ae2d68caf,ddacd7a2fe41d730ce7f66302d8a9827f7066ce21b8ddb518f58a9b510b384c7,7dbe7f436df75a7adf3f9ff87ab503bdec46dc1246b98fd41db53c1279ed4a08,2d8f14250b8c0db00af8c920c1445355a345ddac88fbb813e780722368549c23,a4dc0d64766b241996c1cee9c59734114e02e362e5fae1b572ad7db5c7041e92,f59b1e37e2bd6634fac71acc1e72167be9f2e971b77b126526aa2f899c795bb0,3e67229d82c452244fc5931ed5f3ddf5ef697dea2344b55fc7a5e859ac0d16ab,bd9639f57b36067190032b2f29b3c3adf9f1ab596ae73151cd3d6c77848f575c,2ce17514a174c9a125c28bb4c3cec72bae455972bc2f7f9344e1275097f80429,1d20adb09939d0994b2420244f7aeb8d3b6bae4cc4244571b67b6d642acf7502,4caa9424a15a8f486619f2647e4331d831b3fee88a56e1ee3fb30de2bf6ba1cd
"8","0","二人だけの時間","91002","0","20070115","2","25","5128071","0","10128"
"8","5128071","新居の必須条件","91002","0","0","2","25","5128072","0","10128"
"8","5128072","本当は誰よりも","91002","0","0","2","25","5128073","0","10128"
"8","5128073","家族で大切に\nしたいこと","91002","0","0","2","25","5128074","0","10128"
"8","5128074","誓いの言葉","91002","0","0","2","50","5128075","0","10128"
"8","0","血の婚約報告","91002","0","20070115","3","25","5128081","0","10128"
"8","5128081","風来人の家探し","91002","0","0","3","25","5128082","0","10128"
"8","5128082","愛おしい時間","91002","0","0","3","25","5128083","0","10128"
"8","5128083","トーゴクの\n家族文化","91002","0","0","3","25","5128084","0","10128"
"8","5128084","飾らない愛を","91002","0","0","3","50","5128085","0","10128"
"0","5128075","口約束は災いのもと","0","0","0","4","0","5128091","5128085","10128"
"0","5128091","譲れない家庭の味","0","11001271","0","4","0","5128092","0","10128"
"0","0","夢の語り部に誘われて","0","0","20070115","1","0","5128161","0","10128"
