ba609c25d2cd0f440ea7d63975caa46c30d7a88540dd47cf52b6f608d37b7a55,a804905e85309c537137ae9d6dcbef64a1023d12e6bdefbaed6360275fe9fe46,87f16e6801c5a3393dd90fd86ff8b4b6053d88c0baeacdd4149d472951ffc40b,1a88a082cba1bc0785c5a39febe9e6ee15dc2077c843e7067761959c56e9519c,b52b8801dd9f65496f8b31a439125f2ce712c48b0fee0f31d256da223817d68a,3dc693fe7771108765d8a5acf91a6ba39d5960817f655806ac8de0adf2974135,2c52b583a0938f5234cffd5fda3069dd986bd5972f088d9409553e65e2058c16,93944fa74972e7e0712864e8ef281f027ac22c4f5830bf3d038889b9cb92bc58,d57571e348400fa0084b770441bf744d01b437b49f659cbb3c3e8fc1e69ae59d,688c4b1bc04a1c8593eac53e14378e0e18a9032166f39f3dd87500965a8ab501,18d42a07a6b127bed0139694effe6a5edb1be570f646ae20c6fb3f2b3d7dc8b1,4020e2245df23243144c1a0188e16a09adbd9e31d535d74a32c939f2da9ed0f0,a5d406f7b5d87cef7402f69638b97944892df7f30e1b321ed418601860b1da45,548d7ead195aca95447d63db75fbebcb3be71c3acf67878ef76cf15774bf1296,97fb1b65c6fd7841f74e9b48ace9a46edf173626a335627a19f904339d2c3a51,85a400022cc48c9fe033e6d67e6f8798c96dd7af3ad4297e27f73c50487e9181
"3","301","101","1","1008201","1","70","980","455","215","501","401","-110","201","2","2"
"3","302","102","2","1008202","1","70","515","230","215","502","402","-110","202","2","2"
"3","303","103","3","1008203","1","70","515","230","215","503","403","-110","203","2","1"
"3","304","104","4","1008204","1","70","515","230","215","504","404","-110","204","2","1"
"3","305","105","5","1008205","1","78","787","355","233","505","405","-110","205","2","2"
"3","306","106","6","1008206","1","78","787","355","233","506","406","-110","206","2","3"
"3","307","107","7","1008207","1","88","777","345","233","507","407","-110","207","2","3"
"3","308","108","8","1008208","1","88","777","345","233","508","408","-110","208","2","1"
"3","309","109","9","1008209","1","88","777","345","233","509","409","-110","209","2","1"
"3","310","110","10","1008210","1","88","810","355","233","510","410","-110","210","2","3"
"3","311","111","11","1008211","1","88","777","345","233","511","411","-110","211","2","2"
"3","312","112","12","1008212","1","70","515","230","215","512","412","-110","212","2","2"
"3","313","113","13","1008213","1","78","810","355","233","513","413","-110","213","2","1"
"3","314","114","14","1008214","1","70","515","230","215","514","414","-110","214","2","1"
"3","315","115","15","1008215","1","70","515","230","215","515","415","-110","215","2","3"
"3","316","116","16","1008216","1","70","655","275","215","516","416","-110","216","2","2"
"3","317","117","17","1008217","1","70","515","230","215","517","417","-110","217","2","3"
"3","318","118","18","1008218","1","88","777","345","233","518","418","-110","218","2","3"
