394f1b75674f8a259f09c2fdca2f27c918e9301e4153bc0f4e541717e66b5c9b,9940322b5247695993c1e6dc5af7b544bc6f7a17d19e7d1e81dd80be562f7b00,f8c5ef605df0a65bf9a69d1b05a6515d769cdf2f4e677d672a249fba2052191e,4457f895bbd71124a65facc4e9a90e56b0b405276afd654b72a16e2435c1854d,c9df5be7618c1daab2a872236593aa6c0799b7b866f94009eb82d15d4d489b14
"94002","1","5000000","12","100101"
"90008","2","2000","2","100102"
"25001","3","20","2","100103"
"90008","4","2500","2","100104"
"25001","5","30","2","100105"
"91002","6","300","8","100106"
"41000","7","1","2","100107"
"94002","8","5000000","12","100108"
"94002","9","1000000","12","100109"
"94002","10","1000000","12","100110"
"94002","11","1000000","12","100111"
"20004","12","400","2","100112"
"20004","13","300","2","100113"
"20004","14","200","2","100114"
"94002","15","1000000","12","100115"
"94002","16","1000000","12","100116"
"94002","17","1000000","12","100117"
"20004","18","400","2","100118"
"20004","19","300","2","100119"
"20004","20","200","2","100120"
"94002","21","1000000","12","100121"
"94002","22","1000000","12","100122"
"94002","23","1000000","12","100123"
"20004","24","400","2","100124"
"20004","25","300","2","100125"
"20004","26","200","2","100126"
"94002","27","5000000","12","100201"
"90008","28","2000","2","100202"
"25001","29","20","2","100203"
"90008","30","2500","2","100204"
"25001","31","30","2","100205"
"91002","32","300","8","100206"
"41000","33","1","2","100207"
"94002","34","5000000","12","100208"
"94002","35","1000000","12","100209"
"94002","36","1000000","12","100210"
"94002","37","1000000","12","100211"
"20004","38","400","2","100212"
"20004","39","300","2","100213"
"20004","40","200","2","100214"
"94002","41","1000000","12","100215"
"94002","42","1000000","12","100216"
"94002","43","1000000","12","100217"
"20004","44","400","2","100218"
"20004","45","300","2","100219"
"20004","46","200","2","100220"
"94002","47","1000000","12","100221"
"94002","48","1000000","12","100222"
"94002","49","1000000","12","100223"
"20004","50","400","2","100224"
"20004","51","300","2","100225"
"20004","52","200","2","100226"
"94002","53","5000000","12","100301"
"90008","54","2000","2","100302"
"25001","55","20","2","100303"
"90008","56","2500","2","100304"
"25001","57","30","2","100305"
"91002","58","300","8","100306"
"41000","59","1","2","100307"
"94002","60","5000000","12","100308"
"94002","61","1000000","12","100309"
"94002","62","1000000","12","100310"
"94002","63","1000000","12","100311"
"20004","64","400","2","100312"
"20004","65","300","2","100313"
"20004","66","200","2","100314"
"94002","67","1000000","12","100315"
"94002","68","1000000","12","100316"
"94002","69","1000000","12","100317"
"20004","70","400","2","100318"
"20004","71","300","2","100319"
"20004","72","200","2","100320"
"94002","73","1000000","12","100321"
"94002","74","1000000","12","100322"
"94002","75","1000000","12","100323"
"20004","76","400","2","100324"
"20004","77","300","2","100325"
"20004","78","200","2","100326"
"94002","79","5000000","12","100401"
"90008","80","2000","2","100402"
"25001","81","20","2","100403"
"90008","82","2500","2","100404"
"25001","83","30","2","100405"
"91002","84","300","8","100406"
"41000","85","1","2","100407"
"94002","86","5000000","12","100408"
"94002","87","1000000","12","100409"
"94002","88","1000000","12","100410"
"94002","89","1000000","12","100411"
"20004","90","400","2","100412"
"20004","91","300","2","100413"
"20004","92","200","2","100414"
"94002","93","1000000","12","100415"
"94002","94","1000000","12","100416"
"94002","95","1000000","12","100417"
"20004","96","400","2","100418"
"20004","97","300","2","100419"
"20004","98","200","2","100420"
"94002","99","1000000","12","100421"
"94002","100","1000000","12","100422"
"94002","101","1000000","12","100423"
"20004","102","400","2","100424"
"20004","103","300","2","100425"
"20004","104","200","2","100426"
"94002","105","5000000","12","100501"
"90008","106","2000","2","100502"
"25001","107","20","2","100503"
"90008","108","2500","2","100504"
"25001","109","30","2","100505"
"91002","110","300","8","100506"
"41000","111","1","2","100507"
"94002","112","5000000","12","100508"
"94002","113","1000000","12","100509"
"94002","114","1000000","12","100510"
"94002","115","1000000","12","100511"
"20004","116","400","2","100512"
"20004","117","300","2","100513"
"20004","118","200","2","100514"
"94002","119","1000000","12","100515"
"94002","120","1000000","12","100516"
"94002","121","1000000","12","100517"
"20004","122","400","2","100518"
"20004","123","300","2","100519"
"20004","124","200","2","100520"
"94002","125","1000000","12","100521"
"94002","126","1000000","12","100522"
"94002","127","1000000","12","100523"
"20004","128","400","2","100524"
"20004","129","300","2","100525"
"20004","130","200","2","100526"
"94002","131","5000000","12","100601"
"90008","132","2000","2","100602"
"25001","133","20","2","100603"
"90008","134","2500","2","100604"
"25001","135","30","2","100605"
"91002","136","300","8","100606"
"41000","137","1","2","100607"
"94002","138","5000000","12","100608"
"94002","139","1000000","12","100609"
"94002","140","1000000","12","100610"
"94002","141","1000000","12","100611"
"20004","142","400","2","100612"
"20004","143","300","2","100613"
"20004","144","200","2","100614"
"94002","145","1000000","12","100615"
"94002","146","1000000","12","100616"
"94002","147","1000000","12","100617"
"20004","148","400","2","100618"
"20004","149","300","2","100619"
"20004","150","200","2","100620"
"94002","151","1000000","12","100621"
"94002","152","1000000","12","100622"
"94002","153","1000000","12","100623"
"20004","154","400","2","100624"
"20004","155","300","2","100625"
"20004","156","200","2","100626"
"94002","157","5000000","12","100701"
"90008","158","2000","2","100702"
"25001","159","20","2","100703"
"90008","160","2500","2","100704"
"25001","161","30","2","100705"
"91002","162","300","8","100706"
"41000","163","1","2","100707"
"94002","164","5000000","12","100708"
"94002","165","1000000","12","100709"
"94002","166","1000000","12","100710"
"94002","167","1000000","12","100711"
"20004","168","400","2","100712"
"20004","169","300","2","100713"
"20004","170","200","2","100714"
"94002","171","1000000","12","100715"
"94002","172","1000000","12","100716"
"94002","173","1000000","12","100717"
"20004","174","400","2","100718"
"20004","175","300","2","100719"
"20004","176","200","2","100720"
"94002","177","1000000","12","100721"
"94002","178","1000000","12","100722"
"94002","179","1000000","12","100723"
"20004","180","400","2","100724"
"20004","181","300","2","100725"
"20004","182","200","2","100726"
"94002","183","5000000","12","100801"
"90008","184","2000","2","100802"
"25001","185","20","2","100803"
"90008","186","2500","2","100804"
"25001","187","30","2","100805"
"91002","188","300","8","100806"
"41000","189","1","2","100807"
"94002","190","5000000","12","100808"
"94002","191","1000000","12","100809"
"94002","192","1000000","12","100810"
"94002","193","1000000","12","100811"
"20004","194","400","2","100812"
"20004","195","300","2","100813"
"20004","196","200","2","100814"
"94002","197","1000000","12","100815"
"94002","198","1000000","12","100816"
"94002","199","1000000","12","100817"
"20004","200","400","2","100818"
"20004","201","300","2","100819"
"20004","202","200","2","100820"
"94002","203","1000000","12","100821"
"94002","204","1000000","12","100822"
"94002","205","1000000","12","100823"
"20004","206","400","2","100824"
"20004","207","300","2","100825"
"20004","208","200","2","100826"
"94002","209","5000000","12","100901"
"90008","210","2000","2","100902"
"25001","211","20","2","100903"
"90008","212","2500","2","100904"
"25001","213","30","2","100905"
"91002","214","300","8","100906"
"41000","215","1","2","100907"
"94002","216","5000000","12","100908"
"94002","217","1000000","12","100909"
"94002","218","1000000","12","100910"
"94002","219","1000000","12","100911"
"20004","220","400","2","100912"
"20004","221","300","2","100913"
"20004","222","200","2","100914"
"94002","223","1000000","12","100915"
"94002","224","1000000","12","100916"
"94002","225","1000000","12","100917"
"20004","226","400","2","100918"
"20004","227","300","2","100919"
"20004","228","200","2","100920"
"94002","229","1000000","12","100921"
"94002","230","1000000","12","100922"
"94002","231","1000000","12","100923"
"20004","232","400","2","100924"
"20004","233","300","2","100925"
"20004","234","200","2","100926"
