d2c05bc3574bacafa5f68f724952899264399f53fbd786838b38b231a9eabde6,509f362b88c6daa0cf3597760c14ccd4eb755815b98f7a8f0a93c28b63743104,5bbff88ae3aeb00671df7fd40cbca0f0818bcb9374ebc91656a53c1feb0657e6,3e211bbde5fc6607a01b2f38715e516a77f36f8a181581006d5b98115d7c7428,d44d3b3accccc7c54bab5d0b73c23fe1c6ed21b0c2895eb53383d53bbd74d64b,263305ca57dc62db565f502fc34c016a7e05ff26228789d43124a52c20b205cb
"100","100","100","100","100","1000000"
"100","100","100","150","100","2000000"
"150","100","100","100","100","2000001"
"100","100","100","100","150","2000002"
"100","100","150","100","100","2000003"
"100","150","100","100","100","2000004"
"100","100","100","300","100","2000005"
"300","100","100","100","100","2000006"
"100","100","100","100","300","2000007"
"100","100","300","100","100","2000008"
"100","300","100","100","100","2000009"
"100","100","100","250","100","2000010"
"250","100","100","100","100","2000011"
"100","100","100","100","250","2000012"
"100","100","250","100","100","2000013"
"100","250","100","100","100","2000014"
"150","100","100","150","100","3000000"
"100","100","100","150","150","3000001"
"100","100","150","150","100","3000002"
"100","150","100","150","100","3000003"
"150","100","100","100","150","3000004"
"150","100","150","100","100","3000005"
"150","150","100","100","100","3000006"
"100","100","150","100","150","3000007"
"100","150","100","100","150","3000008"
"100","150","150","100","100","3000009"
"250","100","100","250","100","3000010"
"100","100","100","250","250","3000011"
"100","100","250","250","100","3000012"
"100","250","100","250","100","3000013"
"250","100","100","100","250","3000014"
"250","100","250","100","100","3000015"
"250","250","100","100","100","3000016"
"100","100","250","100","250","3000017"
"100","250","100","100","250","3000018"
"100","250","250","100","100","3000019"
"200","100","100","200","100","3000020"
"100","100","100","200","200","3000021"
"100","100","200","200","100","3000022"
"100","200","100","200","100","3000023"
"200","100","100","100","200","3000024"
"200","100","200","100","100","3000025"
"200","200","100","100","100","3000026"
"100","100","200","100","200","3000027"
"100","200","100","100","200","3000028"
"100","200","200","100","100","3000029"
"150","100","100","150","150","4000000"
"150","100","150","150","100","4000001"
"150","150","100","150","100","4000002"
"100","100","150","150","150","4000003"
"100","150","100","150","150","4000004"
"100","150","150","150","100","4000005"
"150","100","150","100","150","4000006"
"150","150","100","100","150","4000007"
"150","150","150","100","100","4000008"
"100","150","150","100","150","4000009"
"250","100","100","250","250","4000010"
"250","100","250","250","100","4000011"
"250","250","100","250","100","4000012"
"100","100","250","250","250","4000013"
"100","250","100","250","250","4000014"
"100","250","250","250","100","4000015"
"250","100","250","100","250","4000016"
"250","250","100","100","250","4000017"
"250","250","250","100","100","4000018"
"100","250","250","100","250","4000019"
"150","100","150","150","150","5000000"
"150","150","100","150","150","5000001"
"150","150","150","150","100","5000002"
"100","150","150","150","150","5000003"
"150","150","150","100","150","5000004"
"250","100","250","250","250","5000010"
"250","250","100","250","250","5000011"
"250","250","250","250","100","5000012"
"100","250","250","250","250","5000013"
"250","250","250","100","250","5000014"
