0688f5f38d14443e4b2c20c599a427c1d616742d3cef54c43c80180199f66f0f,b7485f82cfa624f6e0883558f133b13bb0b09c56d7cc11000eed943d054a6e88,8f83ec0b2f24b0c2942d7a6f4bf81552875af20aed997b9a9d694b4f8e20f325,16968fa975e4889459a95115126836a4e698e9ddb3a87280d8a38cff7f0b3973,c90b3ffc0df4ede7c3e8eb246216a32b71e4e66003a58895bfe48aa2390ab7e7,10fdbc2941b9bf1b2e888de649556be58cb0e873c1e38d995de9ab27b4676d43
"0","101001","1110111","1","1","111011101"
"0","101002","1110211","1","1","111021101"
"0","301","1330111","1","3","133011101"
"0","301","1330112","1","3","133011201"
"500","302","1330201","0","3","133020101"
"500","302","1330202","0","3","133020201"
"1","303","1330301","0","3","133030101"
"250","303","1330302","0","3","133030201"
"1","303","1330303","0","3","133030301"
"1","303","1330304","0","3","133030401"
"250","303","1330305","0","3","133030501"
"1","303","1330306","0","3","133030601"
"1000","304","1330401","0","3","133040101"
"1000","304","1330402","0","3","133040201"
"1000","304","1330403","0","3","133040301"
"1000","304","1330404","0","3","133040401"
"0","305","1330511","1","3","133051101"
"0","305","1330512","1","3","133051201"
"1","401","1340101","0","3","134010101"
"1","401","1340102","0","3","134010201"
"0","402","1340211","1","3","134021101"
"0","402","1340212","1","3","134021201"
"1","1","1400101","0","4","140010101"
"1","1","1400102","0","4","140010201"
"10","1","1400103","0","4","140010301"
"0","2","1400201","0","4","140020101"
"0","0","2100001","0","1","210000101"
"0","101003","2110301","0","1","211030101"
"0","100001","2210101","0","2","221010101"
"0","100002","2210201","0","2","221020101"
"0","100003","2210301","0","2","221030101"
"0","100005","2210501","0","2","221050101"
"0","100007","2210701","0","2","221070101"
"0","100008","2210801","0","2","221080101"
"0","100009","2210901","0","2","221090101"
"0","100010","2211001","0","2","221100101"
"0","100011","2211101","0","2","221110101"
"0","100012","2211201","0","2","221120101"
"0","100013","2211301","0","2","221130101"
"0","100014","2211401","0","2","221140101"
"0","100016","2211601","0","2","221160101"
"0","100017","2211701","0","2","221170101"
"0","201020","2220201","0","1","222020101"
"0","201040","2220401","0","1","222040101"
"0","201050","2220501","0","1","222050101"
"0","201060","2220601","0","1","222060101"
"0","201070","2220701","0","1","222070101"
"0","201080","2220801","0","1","222080101"
"0","201090","2220901","0","1","222090101"
"0","201100","2221001","0","1","222100101"
"0","201110","2221101","0","1","222110101"
"0","201130","2221301","0","1","222130101"
"0","201140","2221401","0","1","222140101"
"0","201160","2221601","0","1","222160101"
"0","201180","2221801","0","1","222180101"
"0","201190","2221901","0","1","222190101"
"0","201200","2222001","0","1","222200101"
"0","201210","2222101","0","1","222210101"
"0","201220","2222201","0","1","222220101"
"0","201230","2222301","0","1","222230101"
"0","201240","2222401","0","1","222240101"
"0","201250","2222501","0","1","222250101"
"0","201270","2222701","0","1","222270101"
"0","201280","2222801","0","1","222280101"
"0","201290","2222901","0","1","222290101"
"0","201300","2223001","0","1","222300101"
"0","201320","2223201","0","1","222320101"
"0","201340","2223401","0","1","222340101"
"0","201350","2223501","0","1","222350101"
"0","201360","2223601","0","1","222360101"
"0","201370","2223701","0","1","222370101"
"0","201380","2223801","0","1","222380101"
"0","201390","2223901","0","1","222390101"
"0","201400","2224001","0","1","222400101"
"0","201410","2224101","0","1","222410101"
"0","201430","2224301","0","1","222430101"
"0","201440","2224401","0","1","222440101"
"0","201470","2224701","0","1","222470101"
"0","201480","2224801","0","1","222480101"
"0","201490","2224901","0","1","222490101"
"1000","301","2330101","0","3","233010101"
"1000","305","2330501","0","3","233050101"
"0","402","2340201","0","3","234020101"
"0","403","2340301","0","3","234030101"
"0","1","2400101","0","4","240010101"
"0","0","3100001","0","1","310000101"
"0","0","3100002","0","1","310000102"
"0","101001","3110101","0","1","311010101"
"0","101002","3110201","0","1","311020101"
