c4cd57e6e653a8f1805efb0f8cc6faaf69d57821f7b250b9f4313bcc4e8ab7da,247d3d71c23772c03acdc20cdd3a357a5f2d4f780638874863ba8001a5a7f3ec,0178aff067d026453c261ae75ca8be9d3779407fdee8e254cc5ee53429c9cc0e,188379036ef893181528770d1e29c8fc4f8bd55af9a580205332e714e3b77a7d,29a1a473ce8a0a744777e8e738575180089362634efa33c43612275521713926,c2a337574662e82b236fd2bbb7e9846e7103e395f90ce87cc7baed73aa08cf48,492bec5e5525ad1e333bda4e2f7d33727a331509687fdfa8441f26a77bc05adf,437689446146eaab8ba6e063740a2eea89347eca8a75f07ed652b209816a8d17
"111","5","2","200","104","3","4","1"
"211","5","2","2","14","3","4","1"
"311","5","2","2","103","3","4","1"
"411","5","2","2","102","3","4","1"
"511","5","2","200","104","3","4","1"
"611","5","2","250","1","3","4","1"
"711","5","2","3","101","3","4","1"
"811","5","2","3","100","3","4","1"
"911","5","2","200","104","3","4","1"
"1011","5","2","250","1","3","4","1"
"1111","5","2","250","3","3","4","1"
"1112","5","2","250","5","3","4","1"
"1211","5","2","150","6","3","4","1"
"1212","5","2","150","7","3","4","1"
"1311","5","2","200","104","3","4","1"
"1411","5","2","2","103","3","4","1"
"1511","5","2","2","102","3","4","1"
"1611","5","2","250","1","3","4","1"
"1711","5","2","200","104","3","4","1"
"1811","5","2","500","2","3","4","1"
"1812","5","2","500","4","3","4","1"
"1911","5","2","3","101","3","4","1"
"2011","5","2","3","100","3","4","1"
"2111","5","2","200","104","3","4","1"
"2211","5","2","250","1","3","4","1"
"2311","5","2","3","100","3","4","1"
"2411","5","2","3","101","3","4","1"
"2511","5","2","200","104","3","4","1"
"2611","5","2","500","2","3","4","1"
"2612","5","2","500","4","3","4","1"
"2711","5","2","150","6","3","4","1"
"2712","5","2","150","7","3","4","1"
"2811","5","2","500","2","3","4","1"
"2812","5","2","500","4","3","4","1"
"2911","5","2","200","104","3","4","1"
"3011","5","2","250","3","3","4","1"
"3012","5","2","250","5","3","4","1"
"3111","5","2","3","100","3","4","1"
"3211","5","2","3","101","3","4","1"
"3311","5","2","200","104","3","4","1"
"3411","5","2","2","100","3","4","1"
"3511","5","2","200","104","3","4","1"
"3611","5","2","1","103","3","4","1"
"3711","5","2","1","102","3","4","1"
"3811","5","2","250","2","3","4","1"
"3812","5","2","250","4","3","4","1"
"3911","5","2","1","102","3","4","1"
"4011","5","2","200","104","3","4","1"
"4111","5","2","2","100","3","4","1"
"4211","5","2","150","6","3","4","1"
"4212","5","2","150","7","3","4","1"
"4311","5","2","200","104","3","4","1"
"4411","5","2","1","103","3","4","1"
"4511","5","2","200","104","3","4","1"
"4611","5","2","2","101","3","4","1"
"4711","5","2","1","102","3","4","1"
"4811","5","2","200","104","3","4","1"
"4911","5","2","1","103","3","4","1"
"5011","5","2","200","104","3","4","1"
"5111","5","2","2","101","3","4","1"
"5211","5","2","1","102","3","4","1"
"5311","5","2","200","104","3","4","1"
"5411","5","2","150","6","3","4","1"
"5412","5","2","150","7","3","4","1"
"5511","5","2","1","103","3","4","1"
"5611","5","2","200","104","3","4","1"
"5711","5","2","2","100","3","4","1"
"5811","5","2","2","101","3","4","1"
"5911","5","2","1","103","3","4","1"
"6011","5","2","200","104","3","4","1"
"6111","5","2","1","102","3","4","1"
"6211","5","2","250","2","3","4","1"
"6212","5","2","250","4","3","4","1"
"6311","5","2","200","104","3","4","1"
"6411","5","2","1","103","3","4","1"
"6511","5","2","1","102","3","4","1"
"6611","5","2","200","104","3","4","1"
