d5ffe1a345a035666d7a8e4909d911ddae825ed636fe5f06c0fab071d0de6615,a03ab0e5508e23a1a9140a97934812c68fe6917b596012e048f6431283fb0d78,5e022459d0065c4d3f76216cf545e94fa66bf42d8dab6032f1c1873f511fc844,9499d53208f11d7e8bd7a0c7e105d7f38bbab9df384ad4f8d826cfa7b025f6ca
"1","ＨＰ","1","10000"
"2","物理攻撃力","1","10000"
"3","物理防御力","1","10000"
"4","魔法攻撃力","1","10000"
"5","魔法防御力","1","10000"
"6","物理クリティカル","1","10000"
"7","魔法クリティカル","1","10000"
"8","回避","0","1"
"9","ＨＰ吸収","0","1"
"10","ＨＰ自動回復","0","1"
"11","ＴＰ自動回復","0","1"
"12","物理貫通ダメージ","0","1"
"13","魔法貫通ダメージ","0","1"
"14","ＴＰ上昇","0","1"
"15","回復量上昇","0","1"
"16","ＴＰ消費軽減","0","1"
"17","命中","0","1"
"100","物理クリティカルダメージ","1","100"
"101","魔法クリティカルダメージ","1","100"
"102","物理与ダメージ","1","100"
"103","魔法与ダメージ","1","100"
"104","属性ボーナス","1","10000"
"105","状態異常命中","0","1"
"107","通常攻撃強化","0","1"
"108","バフ強化","0","1"
"110","回復強化","0","1"
