889f7ba06963119c57c0820b6b0d29b1a18f8f260383505c7f00ff513cabd7dd,f33c0df2cdfae5a342c557054fc3222f6cde3a09e264fb1761c54396de77646d,a6e9c12e66c1e000d45fe059091625ca0f4f8b502c05ac52adedf5b8bff20aea,7654f1424106ef9209004dd54fd22d0ce3a13106057c29978ec1e81ab9f318c1,3d5b65d2fbc569d057298c5a3d2a8e24fc50d5fa6d9974bc674ee3c871372219,9b121c62313f12c47794a3f71769a847859f03d934f2b5b758ff4b12bc525902,14483b1c69d8fc820cd52857156f3eb693ebaf9cfb3c1777d265d7c60ac6ead9,aad4c99bcc90addfb0eb1d4cdd2254cce04bcb87c45011cddcc76f7141354872,4f1c6ce3839fec3282aca0ea16c67b5f4c05d457427f246963e4b05d439434eb,dc97339eb1e1a5c55f606b22b0ed37a1051c095cd61a3c01001230141050350a,4c57d0728dc68d4262e55146491a6d32d39853772215b5e34047b3b237d7a588,cb441af244b44ad9ad2a609c2f426494db1998badb9ea81fe4b57f1b9a57e5fb,58d9de1c3d4df7257cdd0f269dbe5c4539578c942ddfd74f9b8780f724f64e06,044bdb0d711b94937ecfe1a49f03822880422b0340ed4e1929048ad93163f149,6da65313a988a5e474261edf0f17a52530cf743718099b85c0a629b05cedc384,ccff50327d5f3a0a33340a6cd22e0fbfbadbab087f1a87155c5b2d4ac515f47d,9cc3bd6fe9bb3778a33593dfd15a013f66288f2c38bc6534c307cfdc80360a76,3f42d5ed50e81288329acf674c65c75ab0cb33990c94b3eac4efd315da78e6b5,5792893e070488beb7648fbd4ee11d15353b6e9068941c5ec9bf6e70e30e5d25
"90005","140000","1","94002","500000","500","2","2","140001","4","32001","2","4","10","12","5","1","1","90008"
"94002","140001","2","0","0","200","8","12","25001","2","32001","1","4","500000","0","10","1","1","91002"
"90005","140000","1","94002","750000","500","2","2","140001","4","32001","2","4","5","12","15","2","1","90008"
"94002","140001","2","0","0","300","8","12","25001","2","32001","1","4","750000","0","20","2","1","91002"
"90005","140000","1","94002","750000","500","2","2","140001","4","32001","2","4","5","12","25","2","1","90008"
"94002","140001","2","0","0","500","8","12","25001","2","32001","1","4","750000","0","30","3","1","91002"
"90005","140000","1","94002","1000000","750","2","2","140001","4","32001","2","4","5","12","35","3","1","90008"
"94002","140001","2","0","0","1000","2","12","25001","2","32001","1","4","1000000","0","40","4","1","90008"
"90005","140000","1","94002","2000000","1250","2","2","140001","4","32001","2","4","5","12","45","4","1","90008"
"94002","140001","2","0","0","1500","2","12","25001","2","32001","1","4","2000000","0","50","4","1","90008"
"90005","140000","1","94002","500000","500","2","2","140001","4","32002","2","4","10","12","5","1","1","90008"
"25001","21951","1","94002","500000","200","8","2","140001","4","32002","2","2","1","12","10","1","1","91002"
"90005","140000","1","94002","750000","700","2","2","140001","4","32002","2","4","5","12","15","2","1","90008"
"94002","140001","2","0","0","300","8","12","25001","2","32002","1","4","750000","0","20","2","1","91002"
"90005","140000","1","94002","750000","700","2","2","140001","4","32002","2","4","5","12","25","2","1","90008"
"94002","140001","2","0","0","500","8","12","25001","2","32002","1","4","750000","0","30","3","1","91002"
"90005","140000","1","94002","1000000","1000","2","2","140001","4","32002","2","4","5","12","35","3","1","90008"
