d80252f44cc964dd164524ddd44e3ef8f51da3084667e41d2ddc5517506fc5ce,4f456e61e52edc3240ded9aee6f3c334cc42b4c257c0237adb6612d1b241b84e,2a71e45222a3eb2d764937892559526361b8264587fe47eed0d295ca47a74c6b,9c81412b4a2058a7e05c540364686f6f0c8bde4f7034df3696b46fb9648cef98,814f1c5f40cb83a6305bc58c0ee820542d7444579a8fccef0198d4fa6d9094e4,da603bac04f41987402e3bfe26449d1767e234b1ff08c98a002a98eee46a2d55
"101001","1110111","0","1","111011101","1"
"101002","1110211","0","1","111021101","1"
"301","1330111","0","1","133011101","3"
"301","1330112","0","1","133011201","3"
"302","1330201","500","0","133020101","3"
"302","1330202","500","0","133020201","3"
"303","1330301","1","0","133030101","3"
"303","1330302","250","0","133030201","3"
"303","1330303","1","0","133030301","3"
"303","1330304","1","0","133030401","3"
"303","1330305","250","0","133030501","3"
"303","1330306","1","0","133030601","3"
"304","1330401","1000","0","133040101","3"
"304","1330402","1000","0","133040201","3"
"304","1330403","1000","0","133040301","3"
"304","1330404","1000","0","133040401","3"
"305","1330511","0","1","133051101","3"
"305","1330512","0","1","133051201","3"
"401","1340101","1","0","134010101","3"
"401","1340102","1","0","134010201","3"
"402","1340211","0","1","134021101","3"
"402","1340212","0","1","134021201","3"
"1","1400101","1","0","140010101","4"
"1","1400102","1","0","140010201","4"
"1","1400103","10","0","140010301","4"
"2","1400201","0","0","140020101","4"
"0","2100001","0","0","210000101","1"
"101003","2110301","0","0","211030101","1"
"100001","2210101","0","0","221010101","2"
"100002","2210201","0","0","221020101","2"
"100003","2210301","0","0","221030101","2"
"100005","2210501","0","0","221050101","2"
"100007","2210701","0","0","221070101","2"
"100008","2210801","0","0","221080101","2"
"100009","2210901","0","0","221090101","2"
"100010","2211001","0","0","221100101","2"
"100011","2211101","0","0","221110101","2"
"100012","2211201","0","0","221120101","2"
"100013","2211301","0","0","221130101","2"
"100014","2211401","0","0","221140101","2"
"100016","2211601","0","0","221160101","2"
"100017","2211701","0","0","221170101","2"
"201020","2220201","0","0","222020101","1"
"201040","2220401","0","0","222040101","1"
"201050","2220501","0","0","222050101","1"
"201060","2220601","0","0","222060101","1"
"201070","2220701","0","0","222070101","1"
"201080","2220801","0","0","222080101","1"
"201090","2220901","0","0","222090101","1"
"201100","2221001","0","0","222100101","1"
"201110","2221101","0","0","222110101","1"
"201130","2221301","0","0","222130101","1"
"201140","2221401","0","0","222140101","1"
"201160","2221601","0","0","222160101","1"
"201180","2221801","0","0","222180101","1"
"201190","2221901","0","0","222190101","1"
"201200","2222001","0","0","222200101","1"
"201210","2222101","0","0","222210101","1"
"201220","2222201","0","0","222220101","1"
"201230","2222301","0","0","222230101","1"
"201240","2222401","0","0","222240101","1"
"201250","2222501","0","0","222250101","1"
"201270","2222701","0","0","222270101","1"
"201280","2222801","0","0","222280101","1"
"201290","2222901","0","0","222290101","1"
"201300","2223001","0","0","222300101","1"
"201320","2223201","0","0","222320101","1"
"201340","2223401","0","0","222340101","1"
"201350","2223501","0","0","222350101","1"
"201360","2223601","0","0","222360101","1"
"201370","2223701","0","0","222370101","1"
"201380","2223801","0","0","222380101","1"
"201390","2223901","0","0","222390101","1"
"201400","2224001","0","0","222400101","1"
"201410","2224101","0","0","222410101","1"
"201430","2224301","0","0","222430101","1"
"201440","2224401","0","0","222440101","1"
"201470","2224701","0","0","222470101","1"
"201480","2224801","0","0","222480101","1"
"201490","2224901","0","0","222490101","1"
"301","2330101","1000","0","233010101","3"
"305","2330501","1000","0","233050101","3"
"402","2340201","0","0","234020101","3"
"403","2340301","0","0","234030101","3"
"1","2400101","0","0","240010101","4"
"0","3100001","0","0","310000101","1"
"0","3100002","0","0","310000102","1"
"101001","3110101","0","0","311010101","1"
"101002","3110201","0","0","311020101","1"
