181d5e4c665ddddbc1d7b28b8fae0dc850ed569226e4a1b5c3de2e3a8e9fbbad,1f45d05e6f57c029b750a093e4eb6fa6a5eb61845a511ca21ceac9b4ba885306,32dc48c4030f43dda0f9be5a1b22358f501c3513d987a975faf202d06c8ad827,8ae574267521af385afa6e5e8bf866a9bb36d3ee0e5c52c25b8615a595e3ba04,20e85058e47ae95778449390950e9e81c2d9c9a4fb3747268486b1a777e98d3e,b438665db4927645656c2411d38ccc32e00244befedb03e93b3b4d94b47a3d1c,505f6519a8aff493fd544cd2e39b4603d699f043800860debe869f96288a90c8,e60ca86dc8b342eb7f15b43217829f38d13b4753ad30b299c5317d99cbd7d62b,7bd94bacdf579a2923f1fea037e883f1fdb8f6e75b30255d15fc2ffb2c6c9cfd,c74a312d4157eed4fc14a7dff9dfab15880a2a341688fefbf4046af31c18772a,658e11276cebd11891e67ab89ffc43f0e802ed0d1846877bbe3afb95cc720999
"-345","1","5","dsb_idle_normal","-165","1010801","70","10","1010801001","0","2"
"-345","2","5","dsb_idle_worry","165","1010801","70","4","1010801002","1","2"
"-350","99","5","dsb_lago","-215","1010801","70","10","1010801003","0","2"
"1","1","31","","0","1010801","0","1","1010801004","","1"
"1","3","31","","0","1010801","0","3","1010801005","","1"
"1","4","31","","0","1010801","0","4","1010801006","","1"
"1","10","31","","0","1010801","0","14","1010801007","","1"
"1","20","31","","0","1010801","0","24","1010801008","","1"
"1","30","31","","-168","1010801","155","34","1010801009","","1"
"1","31","31","","-168","1010801","-155","34","1010801010","","1"
"1","32","31","","-175","1010801","-222","42","1010801011","","1"
"1","40","31","","0","1010801","0","40","1010801012","","0"
"","170","13","","","1010801","","1","1010801013","",""
"","170","13","","","1010801","","2","1010801014","",""
"","","91","","","1010801","","0","1010801015","",""
"","se_10044200_cmn_amb","23","","","1010801","1","se_10044200","1010801016","",""
"","se_10044200_cmn_steam","23","","","1010801","0","se_10044200","1010801017","",""
"","0","93","","","1010801","","6","1010801018","",""
"","se_10044200_hotspring_04","23","","","1010801","1","se_10044200","1010801019","",""
"","0","93","","","1010801","","1.5","1010801020","",""
"","dsb_talk_anger_Ex8","3","","","1010801","1","2","1010801021","","0.5"
"","vo_dsb_1001","21","","0","1010801","0","vo_dsb_1010801","1010801022","",""
