23ad39943447060fb0ed96ea5686e1778fb2f436e8da8560de0b65c178f448a5,ed2b96381d367a231680ca0b25f84d04e295ca05f98d483afb56b4b5ae30a90c,9bfaa11e193d631610c85f525de1d58e510fafdaea78eddbe0a412c6b3f64641,54d1d46d951917ec26726d94ba132ff605a4a0dbbf27f23d109fc8c090503d67,c707a9aa1cb2ed5d02a53a0140974b1994b3e164b24b20474b8054503237727c,5c6b4773e3dcf2fc3cffb8c2e18d53cce8209f183d24db4c26ad6d03963f33ce,009098d9cd1d580d8a4a1a2d3948f0a99f438c99cf2a117bee8b7900816eb4c3,2b93ae33318e20da272eee37ec5f16bf5fd4cf7d897bf3468879fb87117e89b1,333f3467278fec978252067382c0974ced285fd07c43093bf997bc9a38d61363,960e15c7e0bf61e3db8fea91ac63c871257f3a47047315ea094155a8ff76ffef,d289a44e20707422e246c43d6a966e162fa7144e39506bd757db3a093afd1f00
"5","100","101001","-420","1","160","-230","cgg_idle_normal","1","0","101"
"1","100","101002","375","105811","1.6","-230","cgg_idle_def","1","1","101"
"1","101","101003","490","106011","1.6","-230","cgg_idle_def","1","1","101"
"6","1","101004","1","1","0.1","1","","1","0","101"
"6","1","101005","1","1","0.1","1","","105811","0","101"
"6","1","101006","1","1","0.1","1","","106011","0","101"
"93","","101007","","0","","","","0.2","","101"
"21","0","101008","0","vo_minigame_1007_top_talk_1_001","","","","vo_minigame_1007","","101"
"11","7","101009","0","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","0","0","0","105811","0","101"
"3","1","101010","","cgg_idle_surprise1","0.2","","","1","","101"
"3","0","101011","cgg_talk_surprise_kira","cgg_surprise_kira","0.2","1","","105811","0","101"
"93","","101012","","0","","","","2.1","","101"
"3","1","101013","","cgg_idle_surprise3","0.2","","","1","","101"
"3","1","101014","","cgg_talk_joy1","0.2","","","105811","","101"
"91","","101015","","","","","","101009","","101"
"3","1","101016","","cgg_idle_def","0.2","","","105811","","101"
"21","0","101017","0","vo_minigame_1007_top_talk_1_002","","","","vo_minigame_1007","","101"
"11","6","101018","0","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","0","0","0","106011","0","101"
"3","1","101019","","cgg_idle_reaction1","0.2","","","1","","101"
"3","1","101020","","cgg_talk_surprise1","0.2","","","106011","","101"
"93","","101021","","0","","","","2.1","","101"
"3","1","101022","","cgg_idle_nod","0.2","","","1","","101"
"3","1","101023","","cgg_talk_bitter","0.2","","","106011","","101"
"91","","101024","","","","","","101018","","101"
"93","","101025","","0","","","","0.5","","101"
"3","1","101026","","cgg_idle_normal","0.2","","","1","","101"
"3","1","101027","","cgg_idle_def","0.2","","","106011","","101"
"3","1","101028","","cgg_idle_joy2","0.2","","","105811","","101"
"12","1.4","101029","","10","0.2","","","105811","","101"
"93","","101030","","0","","","","3","","101"
"3","1","101031","","cgg_idle_def","0.2","","","105811","","101"
"3","1","101032","","cgg_talk_surprise_dere","0.2","","","106011","","101"
"12","1.4","101033","","8","0.2","","","106011","","101"
"93","","101034","","0","","","","3","","101"
"3","1","101035","","cgg_idle_def","0.2","","","106011","","101"
"3","0","101036","cgg_idle_surprise1","cgg_surprise1","0.2","1","","1","0","101"
"12","1.4","101037","","4","0.2","","","1","","101"
"93","","101038","","0","","","","3","","101"
"101","","101039","","0","","","","101026","","101"
"22","","101040","","0.5","","","","0","","101"
"6","1","101041","1","1","0.1","0","","1","0","101"
"6","1","101042","1","1","0.1","0","","105811","0","101"
"6","1","101043","1","1","0.1","0","","106011","0","101"
"93","","101044","","0","","","","0.1","","101"
"3","1","101045","","cgg_idle_normal","0","","","1","","101"
"3","1","101046","","cgg_idle_def","0","","","105811","","101"
"3","1","101047","","cgg_idle_def","0","","","106011","","101"
"5","100","102001","-420","1","160","-230","cgg_idle_normal","1","0","102"
"1","100","102002","375","105911","1.6","-230","cgg_idle_def","1","1","102"
"1","101","102003","490","106411","1.6","-230","cgg_idle_def","1","1","102"
"6","1","102004","1","1","0.1","1","","1","0","102"
"6","1","102005","1","1","0.1","1","","105911","0","102"
"6","1","102006","1","1","0.1","1","","106411","0","102"
"93","","102007","","0","","","","0.2","","102"
"21","0","102008","0","vo_minigame_1007_top_talk_2_003","","","","vo_minigame_1007","","102"
"11","5","102009","0","ライブ会場に到着です\n随分と大きくて\n開放的ですね…","0","0","0","105911","0","102"
"3","1","102010","","cgg_idle_surprise1","0.2","","","1","","102"
"3","0","102011","","cgg_lookup","0.2","","","105911","","102"
"93","","102012","","0","","","","2.6","","102"
"3","1","102013","","cgg_talk_wish_surprise","0.2","","","105911","","102"
"91","","102014","","","","","","102009","","102"
"3","1","102015","","cgg_idle_def","0.4","","","105911","","102"
"21","0","102016","0","vo_minigame_1007_top_talk_2_004","","","","vo_minigame_1007","","102"
"11","5","102017","0","カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","0","0","0","106411","0","102"
"3","1","102018","","cgg_idle_reaction1","0.2","","","1","","102"
"3","1","102019","","cgg_talk_surprise1","0.2","","","106411","","102"
"93","","102020","","0","","","","2.6","","102"
"3","0","102021","cgg_idle_nod","cgg_talk_nod","0.2","1","","1","0","102"
"3","1","102022","","cgg_talk_joy3_blink","0.2","","","106411","","102"
"93","","102023","","0","","","","3.2","","102"
"3","1","102024","","cgg_idle_reaction5","0.2","","","1","","102"
"3","1","102025","","cgg_talk_normal","0.2","","","106411","","102"
"91","","102026","","","","","","102017","","102"
"93","","102027","","0","","","","0.5","","102"
"3","1","102028","","cgg_idle_def","0.2","","","106411","","102"
"3","1","102029","","cgg_idle_normal","0.2","","","1","","102"
"3","1","102030","","cgg_talk_joy3_blink","0.2","","","105911","","102"
"12","1.4","102031","","10","0.2","","","105911","","102"
"93","","102032","","0","","","","3","","102"
"3","1","102033","","cgg_idle_def","0.2","","","105911","","102"
"3","1","102034","","cgg_talk_joy1","0.2","","","106411","","102"
"12","1.4","102035","","11","0.2","","","106411","","102"
"93","","102036","","0","","","","3","","102"
"3","1","102037","","cgg_idle_def","0.2","","","106411","","102"
"3","1","102038","","cgg_idle_surprise3","0.2","","","1","","102"
"12","1.4","102039","","6","0.2","","","1","","102"
"93","","102040","","0","","","","3","","102"
"101","","102041","","0","","","","102029","","102"
"22","","102042","","0.5","","","","0","","102"
"6","1","102043","1","1","0.1","0","","1","0","102"
"6","1","102044","1","1","0.1","0","","105911","0","102"
"6","1","102045","1","1","0.1","0","","106411","0","102"
"93","","102046","","0","","","","0.1","","102"
"3","1","102047","","cgg_idle_normal","0","","","1","","102"
"3","1","102048","","cgg_idle_def","0","","","105911","","102"
"3","1","102049","","cgg_idle_def","0","","","106411","","102"
"5","100","103001","-420","1","160","-230","cgg_idle_normal","1","0","103"
"1","100","103002","375","100211","1.6","-230","cgg_idle_def","1","1","103"
"1","101","103003","490","100111","1.6","-230","cgg_idle_def","1","1","103"
"6","1","103004","1","1","0.1","1","","1","0","103"
"6","1","103005","1","1","0.1","1","","100211","0","103"
"6","1","103006","1","1","0.1","1","","100111","0","103"
"93","","103007","","0","","","","0.2","","103"
"21","0","103008","0","vo_minigame_1007_top_talk_3_005","","","","vo_minigame_1007","","103"
"11","6","103009","0","次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","0","0","0","100211","0","103"
"3","1","103010","","cgg_idle_surprise1","0.2","","","1","","103"
"3","1","103011","","cgg_talk_wish","0.2","","","100211","","103"
"93","","103012","","0","","","","2.4","","103"
"3","1","103013","","cgg_talk_joy3","0.2","","","100211","","103"
"91","","103014","","","","","","103009","","103"
"3","1","103015","","cgg_idle_def","0.2","","","100211","","103"
"21","0","103016","0","vo_minigame_1007_top_talk_3_006","","","","vo_minigame_1007","","103"
"11","5","103017","0","そうだねユイちゃん！\nよーっし、どんどん\n回しまくるよー！\nぐるぐるぐるー♪","0","0","0","100111","0","103"
"3","1","103018","","cgg_idle_reaction5","0.2","","","1","","103"
"3","1","103019","","cgg_talk_joy1","0.2","","","100111","","103"
"93","","103020","","0","","","","2.5","","103"
"3","0","103021","cgg_idle_guts","cgg_talk_guts_NoBlink","0.2","1","","100111","0","103"
"93","","103022","","0","","","","4","","103"
"3","0","103023","cgg_idle_reaction3","cgg_joy","0.2","1","","1","0.2","103"
"3","1","103024","","cgg_talk_joy2","0.2","","","100111","","103"
"91","","103025","","","","","","103017","","103"
"93","","103026","","0","","","","0.7","","103"
"3","1","103027","","cgg_idle_normal","0.2","","","1","","103"
"3","1","103028","","cgg_idle_def","0.2","","","100111","","103"
"3","1","103029","","cgg_idle_bitter3","0.2","","","100211","","103"
"12","1.4","103030","","1","0.2","","","100211","","103"
"93","","103031","","0","","","","3","","103"
"3","1","103032","","cgg_idle_def","0.2","","","100211","","103"
"3","0","103033","cgg_idle_reaction1","cgg_talk_handsup","0.2","1","","1","0.2","103"
"12","1.4","103034","","10","0.2","","","1","","103"
"93","","103035","","0","","","","3","","103"
"3","1","103036","","cgg_idle_normal","0.2","","","1","","103"
"3","1","103037","","cgg_idle_joy3","0.2","","","100111","","103"
"12","1.4","103038","","6","0.2","","","100111","","103"
"93","","103039","","0","","","","3","","103"
"101","","103040","","0","","","","103028","","103"
"22","","103041","","0.5","","","","0","","103"
"6","1","103042","1","1","0.1","0","","1","0","103"
"6","1","103043","1","1","0.1","0","","100211","0","103"
"6","1","103044","1","1","0.1","0","","100111","0","103"
"93","","103045","","0","","","","0.1","","103"
"3","1","103046","","cgg_idle_normal","0","","","1","","103"
"3","1","103047","","cgg_idle_def","0","","","100211","","103"
"3","1","103048","","cgg_idle_def","0","","","100111","","103"
"5","100","104001","-420","1","160","-230","cgg_idle_normal","1","0","104"
"1","100","104002","375","100111","1.6","-230","cgg_idle_def","1","1","104"
"1","101","104003","490","100311","1.6","-230","cgg_idle_def","1","1","104"
"6","1","104004","1","1","0.1","1","","1","0","104"
"6","1","104005","1","1","0.1","1","","100111","0","104"
"6","1","104006","1","1","0.1","1","","100311","0","104"
"93","","104007","","0","","","","0.2","","104"
"21","0","104008","0","vo_minigame_1007_top_talk_4_007","","","","vo_minigame_1007","","104"
"11","5","104009","0","ねーねーレイさん、\nもっかい引いていい？","0","0","0","100111","0","104"
"3","1","104010","","cgg_idle_reaction2","0.2","","","1","","104"
"3","1","104011","","cgg_talk_joy3_dere","0.2","","","100111","","104"
"93","","104012","","0","","","","2.7","","104"
"3","0","104013","cgg_idle_guts2","cgg_talk_guts2","0.2","1","","1","0","104"
"3","1","104014","","cgg_talk_normal_dere2","0.2","","","100111","","104"
"91","","104015","","","","","","104009","","104"
"21","0","104016","0","vo_minigame_1007_top_talk_4_008","","","","vo_minigame_1007","","104"
"11","5","104017","0","ダメだよヒヨリ。\n次は私の番なんだから\n…ふふ、意外に夢中に\nなってしまうね","0","0","0","100311","0","104"
"3","1","104018","","cgg_idle_reaction2","0.2","","","1","","104"
"3","0","104019","cgg_idle_def","cgg_No","0.2","1","","100311","0","104"
"93","","104020","","0","","","","0.8","","104"
"3","1","104021","","cgg_idle_surprise2","0.2","","","100111","","104"
"93","","104022","","0","","","","0.9","","104"
"3","0","104023","cgg_idle_surprise2","cgg_surprise2","0.2","1","","1","0","104"
"3","0","104024","cgg_idle_arm_crossed2","cgg_talk_arm_crossed2","0.2","1","","100311","0","104"
"93","","104025","","0","","","","2.5","","104"
"3","1","104026","","cgg_idle_bitter","0.2","","","100311","","104"
"93","","104027","","0","","","","2","","104"
"3","0","104028","cgg_idle_nod","cgg_talk_nod","0.2","1","","1","0","104"
"91","","104029","","","","","","104017","","104"
"93","","104030","","0","","","","0.5","","104"
"3","1","104031","","cgg_idle_def","0.2","","","100311","","104"
"3","1","104032","","cgg_idle_normal","0.2","","","1","","104"
"3","1","104033","","cgg_idle_anger","0.2","","","100111","","104"
"12","1.4","104034","","17","0.2","","","100111","","104"
"93","","104035","","0","","","","3","","104"
"3","1","104036","","cgg_idle_def","0.2","","","100111","","104"
"3","1","104037","","cgg_idle_bitter4","0.2","","","100311","","104"
"12","1.4","104038","","2","0.2","","","100311","","104"
"93","","104039","","0","","","","3","","104"
"3","1","104040","","cgg_idle_def","0.2","","","100311","","104"
"3","1","104041","","cgg_idle_surprise2","0.2","","","1","","104"
"12","1.4","104042","","1","0.2","","","1","","104"
"93","","104043","","0","","","","3","","104"
"101","","104044","","0","","","","104032","","104"
"22","","104045","","0.5","","","","0","","104"
"6","1","104046","1","1","0.1","0","","1","0","104"
"6","1","104047","1","1","0.1","0","","100111","0","104"
"6","1","104048","1","1","0.1","0","","100311","0","104"
"93","","104049","","0","","","","0.1","","104"
"3","1","104050","","cgg_idle_normal","0","","","1","","104"
"3","1","104051","","cgg_idle_def","0","","","100111","","104"
"3","1","104052","","cgg_idle_def","0","","","100311","","104"
"5","100","105001","-420","1","160","-230","cgg_idle_normal","1","0","105"
"1","100","105002","375","100211","1.6","-230","cgg_idle_def","1","1","105"
"1","101","105003","490","105811","1.6","-230","cgg_idle_def","1","1","105"
"6","1","105004","1","1","0.1","1","","1","0","105"
"6","1","105005","1","1","0.1","1","","100211","0","105"
"6","1","105006","1","1","0.1","1","","105811","0","105"
"93","","105007","","0","","","","0.2","","105"
"21","0","105008","0","vo_minigame_1007_top_talk_5_009","","","","vo_minigame_1007","","105"
"11","7","105009","0","グッズは種類が\nいっぱいあるから\n全種類揃えるまで\n頑張ろうね！","0","0","0","100211","0","105"
"3","1","105010","","cgg_idle_reaction1","0.2","","","1","","105"
"3","1","105011","","cgg_talk_normal","0.2","","","100211","","105"
"93","","105012","","0","","","","2.4","","105"
"3","1","105013","","cgg_talk_joy3","0.2","","","100211","","105"
"93","","105014","","0","","","","1.1","","105"
"3","0","105015","cgg_idle_reaction1","cgg_talk_handsup","0.2","1","","1","0.2","105"
"91","","105016","","","","","","105009","","105"
"3","1","105017","","cgg_idle_def","0.2","","","100211","","105"
"21","0","105018","0","vo_minigame_1007_top_talk_5_010","","","","vo_minigame_1007","","105"
"11","6","105019","0","集めたグッズは\n棚に飾って、あとで\nじっくり鑑賞です♪\nやばいですね☆","0","0","0","105811","0","105"
"3","0","105020","cgg_idle_arm_crossed","cgg_talk_arm_crossed","0.2","0","","1","0","105"
"3","1","105021","","cgg_talk_joy1","0.2","","","105811","","105"
"93","","105022","","0","","","","5","","105"
"3","0","105023","cgg_idle_guts2","cgg_talk_guts2","0.2","1","","1","0","105"
"3","0","105024","cgg_idle_def","cgg_jump_def_N","0.2","1","","105811","0.2","105"
"91","","105025","","","","","","105019","","105"
"93","","105026","","0","","","","0.5","","105"
"3","1","105027","","cgg_idle_normal","0.2","","","1","","105"
"3","1","105028","","cgg_talk_joy3","0.2","","","100211","","105"
"12","1.4","105029","","10","0.2","","","100211","","105"
"93","","105030","","0","","","","3","","105"
"3","1","105031","","cgg_idle_def","0.2","","","100211","","105"
"3","0","105032","cgg_idle_guts_anger","cgg_talk_guts_anger","0.2","1","","105811","0","105"
"12","1.4","105033","","4","0.2","","","105811","","105"
"93","","105034","","0","","","","3","","105"
"3","1","105035","","cgg_idle_def","0.2","","","105811","","105"
"3","0","105036","cgg_idle_guts2","cgg_talk_guts2","0.2","1","","1","0","105"
"12","1.4","105037","","7","0.2","","","1","","105"
"93","","105038","","0","","","","3","","105"
"101","","105039","","0","","","","105027","","105"
"22","","105040","","0.5","","","","0","","105"
"6","1","105041","1","1","0.1","0","","1","0","105"
"6","1","105042","1","1","0.1","0","","100211","0","105"
"6","1","105043","1","1","0.1","0","","105811","0","105"
"93","","105044","","0","","","","0.1","","105"
"3","1","105045","","cgg_idle_normal","0","","","1","","105"
"3","1","105046","","cgg_idle_def","0","","","100211","","105"
"3","1","105047","","cgg_idle_def","0","","","105811","","105"
"5","100","106001","-420","1","160","-230","cgg_idle_normal","1","0","106"
"1","100","106002","420","110911","1.6","-230","cgg_idle_def","1","1","106"
"6","1","106003","1","1","0.1","1","","1","0","106"
"6","1","106004","1","1","0.1","1","","110911","0","106"
"93","","106005","","0","","","","0.2","","106"
"21","0","106006","0","vo_minigame_1007_top_talk_6_011","","","","vo_minigame_1007","","106"
"11","6","106007","0","え…うそでしょ先輩…\nカルミナグッズまだ\nフルコンしてないとか\nありえないんですけど","0","0","0","110911","0","106"
"3","1","106008","","cgg_idle_reaction2","0.2","","","1","","106"
"3","0","106009","","cgg_shock","0.2","","","110911","","106"
"93","","106010","","0","","","","1","","106"
"3","1","106011","","cgg_idle_bitter2","0.2","","","110911","","106"
"93","","106012","","0","","","","4.2","","106"
"3","0","106013","cgg_idle_shock","cgg_shock","0.2","1","","1","0","106"
"91","","106014","","","","","","106007","","106"
"21","0","106015","0","vo_minigame_1007_top_talk_6_012","","","","vo_minigame_1007","","106"
"11","6","106016","0","いい加減にして下さい\n呑気に一般美少女と\n話してる暇があったら\nほら、早く回す！","0","0","0","110911","0","106"
"3","1","106017","","cgg_talk_tsun_pain","0.2","1","","110911","0","106"
"93","","106018","","0","","","","0.7","","106"
"3","0","106019","cgg_idle_surprise2","cgg_surprise2","0.2","1","","1","0","106"
"93","","106020","","0","","","","1.3","","106"
