0af8bdf7f861b050de47a57a95330876bf706b1d0ad8d44f65d86bfd849516fd,4ae2a3985ceecd4f043f92fc003fe6632067034194d750805a640a10319d57b1
"100101","1"
"100201","1"
"100301","1"
"100401","3"
"100501","2"
"100701","3"
"100801","2"
"100901","2"
"101001","3"
"101101","2"
"101201","2"
"101301","2"
"101401","3"
"101501","3"
"101601","2"
"101801","3"
"102001","3"
"102101","3"
"102301","3"
"102501","3"
"102601","3"
"102801","3"
"102901","4"
"103001","2"
"103101","3"
"103201","1"
"103301","3"
"103601","3"
"103701","2"
"103801","2"
"104001","3"
"104201","4"
"104401","2"
"104501","2"
"104601","1"
"104701","3"
"104801","1"
"104901","2"
"105001","2"
"105201","3"
"105301","2"
"105401","4"
"105501","3"
"105801","1"
"105901","1"
"106001","1"
"107101","3"
"112401","1"
"112501","1"
"112601","1"
