b3a81c5cc404f0cc32f32becf087d4c0c2fa430487c8130af07181b5ebb87864,1809c8c07eb4148d607b3cc2fb80832ba7bafcfbd44fda66ce473feed03e794c,07e8617c9094af7da1b121819a0a16afab8bb883577aa3ff6e19d725149418b6,5f39963e1518adb31eebb8850ef83a71bc587702bfdf78ac0b38267a3db39815,1f27f10897912c77ab6d67af5e5b6cfecf7f23d9e6fdbf770f2f8c7bbecee95b
"100","91002","1","8","30109001"
"10","20002","2","2","30109001"
"100","91002","3","8","30109002"
"40000","94002","4","12","30109002"
"300","91002","5","8","30109003"
"500","91002","6","8","30109004"
"500","91002","7","8","30109005"
"1000000","94002","8","12","30109005"
"500","91002","9","8","30109006"
"500000","94002","10","12","30109006"
"600","91002","11","8","30110001"
"200000","94002","12","12","30110006"
