232af049d2e1cc10a32e5c8d40fa5a1f9d7f9227dc1d4bb02da6ec12cac66a4c,07663363309d0f3e68c575f668ea537a0bf501733f8947fb177889c150bd5928,c19304b5d90a390d45caeb2092f12fc6a5edb437e421e4adfc596192948485b4,e683ad9e4795da8ac3a181ae38cabee1122fd1a003165300cd2ba3c304fa085f,580fed5c29a14b6a6ff29bfa469cc079a72535cf49ae5550c12dd6db9dff5892,e82fda16c4cdefaf255dae162fa8c77d300ffbd9b083cbbf43d6ec7697c8b5f7,d7201aad026764ef55f9a6d054915b6da1b7e6aa4a5e96200d6b40338d4abb03,b3466fc94fc9fc8541a1f2797cbe932c79be047126ea4758ccbf32adba254231
"111","1","3","1","2","5","48","4"
"121","1","3","1","2","5","96","4"
"131","1","3","1","2","5","144","4"
"141","1","3","1","2","5","192","4"
"151","1","3","1","2","5","240","4"
"211","1","0","2","0","0","84","0"
"221","1","0","2","0","0","168","0"
"231","1","0","2","0","0","252","0"
"241","1","0","2","0","0","336","0"
"251","1","0","2","0","0","420","0"
"311","3","0","5","0","0","36","0"
"321","3","0","5","0","0","72","0"
"331","3","0","5","0","0","108","0"
"341","3","0","5","0","0","144","0"
"351","3","0","5","0","0","180","0"
"411","4","0","4","0","0","84","0"
"421","4","0","4","0","0","168","0"
"431","4","0","4","0","0","252","0"
"441","4","0","4","0","0","336","0"
"451","4","0","4","0","0","420","0"
"511","2","0","4","0","0","84","0"
"521","2","0","4","0","0","168","0"
"531","2","0","4","0","0","252","0"
"541","2","0","4","0","0","336","0"
"551","2","0","4","0","0","420","0"
"611","4","0","2","0","0","84","0"
"621","4","0","2","0","0","168","0"
"631","4","0","2","0","0","252","0"
"641","4","0","2","0","0","336","0"
"651","4","0","2","0","0","420","0"
"711","5","0","1","0","0","56","0"
"721","5","0","1","0","0","112","0"
"731","5","0","1","0","0","168","0"
"741","5","0","1","0","0","224","0"
"751","5","0","1","0","0","280","0"
"811","2","0","101","0","0","1","0"
"911","3","0","2","0","0","84","0"
"921","3","0","2","0","0","168","0"
"931","3","0","2","0","0","252","0"
"941","3","0","2","0","0","336","0"
"951","3","0","2","0","0","420","0"
"1011","1","0","101","0","0","1","0"
"1111","2","0","5","0","0","36","0"
"1121","2","0","5","0","0","72","0"
"1131","2","0","5","0","0","108","0"
"1141","2","0","5","0","0","144","0"
"1151","2","0","5","0","0","180","0"
"1211","5","0","4","0","0","84","0"
"1221","5","0","4","0","0","168","0"
"1231","5","0","4","0","0","252","0"
"1241","5","0","4","0","0","336","0"
"1251","5","0","4","0","0","420","0"
"1311","1","0","2","0","0","86","0"
"1321","1","0","2","0","0","172","0"
"1331","1","0","2","0","0","258","0"
"1341","1","0","2","0","0","344","0"
"1351","1","0","2","0","0","430","0"
"1411","3","0","1","0","0","44","0"
"1421","3","0","1","0","0","88","0"
"1431","3","0","1","0","0","132","0"
"1441","3","0","1","0","0","176","0"
"1451","3","0","1","0","0","220","0"
"1511","4","0","5","0","0","36","0"
"1521","4","0","5","0","0","72","0"
"1531","4","0","5","0","0","108","0"
"1541","4","0","5","0","0","144","0"
"1551","4","0","5","0","0","180","0"
"1611","5","0","101","0","0","1","0"
"1711","2","0","100","0","0","1","0"
"1811","3","0","4","0","0","84","0"
"1821","3","0","4","0","0","168","0"
"1831","3","0","4","0","0","252","0"
"1841","3","0","4","0","0","336","0"
"1851","3","0","4","0","0","420","0"
"1911","4","0","3","0","0","36","0"
"1921","4","0","3","0","0","72","0"
"1931","4","0","3","0","0","108","0"
"1941","4","0","3","0","0","144","0"
"1951","4","0","3","0","0","180","0"
"2011","1","0","4","0","0","84","0"
"2021","1","0","4","0","0","168","0"
"2031","1","0","4","0","0","252","0"
"2041","1","0","4","0","0","336","0"
"2051","1","0","4","0","0","420","0"
"2111","3","0","100","0","0","1","0"
"2211","5","0","2","0","0","84","0"
"2221","5","0","2","0","0","168","0"
"2231","5","0","2","0","0","252","0"
"2241","5","0","2","0","0","336","0"
"2251","5","0","2","0","0","420","0"
"2311","1","0","1","0","0","44","0"
"2321","1","0","1","0","0","88","0"
"2331","1","0","1","0","0","132","0"
"2341","1","0","1","0","0","176","0"
"2351","1","0","1","0","0","220","0"
"2411","2","0","2","0","0","84","0"
"2421","2","0","2","0","0","168","0"
"2431","2","0","2","0","0","252","0"
"2441","2","0","2","0","0","336","0"
"2451","2","0","2","0","0","420","0"
"2511","5","0","4","0","0","86","0"
"2521","5","0","4","0","0","172","0"
"2531","5","0","4","0","0","258","0"
"2541","5","0","4","0","0","344","0"
"2551","5","0","4","0","0","430","0"
"2611","1","3","100","2","5","1","4"
"2621","1","3","100","2","5","2","4"
"2631","1","3","100","2","5","3","4"
"2711","1","0","3","0","0","36","0"
"2721","1","0","3","0","0","72","0"
"2731","1","0","3","0","0","108","0"
"2741","1","0","3","0","0","144","0"
"2751","1","0","3","0","0","180","0"
"2811","4","0","4","0","0","86","0"
"2821","4","0","4","0","0","172","0"
"2831","4","0","4","0","0","258","0"
"2841","4","0","4","0","0","344","0"
"2851","4","0","4","0","0","430","0"
"2911","5","0","7","0","0","10","0"
"2921","5","0","7","0","0","20","0"
"2931","5","0","7","0","0","30","0"
"2941","5","0","7","0","0","40","0"
"2951","5","0","7","0","0","50","0"
"3011","2","0","3","0","0","36","0"
"3021","2","0","3","0","0","72","0"
"3031","2","0","3","0","0","108","0"
"3041","2","0","3","0","0","144","0"
"3051","2","0","3","0","0","180","0"
"3111","3","0","1","0","0","46","0"
"3121","3","0","1","0","0","92","0"
"3131","3","0","1","0","0","138","0"
"3141","3","0","1","0","0","184","0"
"3151","3","0","1","0","0","230","0"
"3211","4","0","4","0","0","88","0"
"3221","4","0","4","0","0","176","0"
"3231","4","0","4","0","0","264","0"
"3241","4","0","4","0","0","352","0"
"3251","4","0","4","0","0","440","0"
"3311","1","0","4","0","0","86","0"
"3321","1","0","4","0","0","172","0"
"3331","1","0","4","0","0","258","0"
"3341","1","0","4","0","0","344","0"
"3351","1","0","4","0","0","430","0"
"3411","2","0","2","0","0","86","0"
"3421","2","0","2","0","0","172","0"
"3431","2","0","2","0","0","258","0"
"3441","2","0","2","0","0","344","0"
"3451","2","0","2","0","0","430","0"
"3511","3","0","5","0","0","38","0"
"3521","3","0","5","0","0","76","0"
"3531","3","0","5","0","0","114","0"
"3541","3","0","5","0","0","152","0"
"3551","3","0","5","0","0","190","0"
"3611","4","0","2","0","0","86","0"
"3621","4","0","2","0","0","172","0"
"3631","4","0","2","0","0","258","0"
"3641","4","0","2","0","0","344","0"
"3651","4","0","2","0","0","430","0"
"3711","5","0","4","0","0","88","0"
"3721","5","0","4","0","0","176","0"
"3731","5","0","4","0","0","264","0"
"3741","5","0","4","0","0","352","0"
