14d7cc2d69ba381ee23c677c73ed1ed61828dd354d914f08ec88567c4a1f5f94,a6f04cbdb4c2ac11e99abc4cb00ee3cf0a8d61a2a5d2c70739a31f87093ff241,a7cca33d0cbca219ce06b756583a6606dd6081c77566a6dcb46ecc30f50ebfac,8ff17a4f3fceffafb5eaa6d0287624f8c68b829d1700ea29dd6cc0d6942d521e,3429365129ceee59f1a9aefd4213646d84dbd2a4cdc681ab994f2a19ddbfb2af,731f8f8cc95fec899f2cdba03085335694177b2fd6a510f597e358aacaf5b4d7,f271ef7a22ac69ed930cba3b088f5d381317ee8bd303c1b587c4335504bc4e60,b38c7f1ce70a5fbce097c39d7a06b815f3795d703baf791006b3d542e555647a
"0","0","101","短時間、障害物バリアを展開！","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","3","2001"
"5","0","102","中時間、スピードとジャンプ小アップ！","5","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","5","3"
"6","0","103","短時間、スピード中アップ！","0","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","4","1"
"0","0","104","中時間、障害物バリアを展開！","0","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","5","2001"
"3","0","105","中時間、スピード小アップ！","0","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","6","1"
"4","0","106","中時間、対戦相手のスピード小ダウン！","0","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","6","1001"
"17","0","107","中時間、スピードとジャンプ特大アップ！","16","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","5","3"
"8","0","108","ラウンド中、スピード中アップ！","0","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","40","1"
"30","0","109","短時間、スピード特大アップ！","0","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","4","1"
"10","0","110","ラウンド中、対戦相手が大きく減速！","0","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","40","1001"
"0","0","111","ごく短時間、障害物バリアを展開！","0","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","1","2001"
"15","0","112","短時間、先頭の対戦相手が大きく減速！","0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","4","1004"
"5","0","113","中時間、スピード小アップ！","0","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","6","1"
"5","0","114","中時間、ジャンプ小アップ！","0","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","5","2"
"0","0","115","長時間、バリアで能力ダウンを防ぐ！","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","7","2002"
"3","0","116","累積で、スピード小アップ！","0","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","25","1"
"3","0","117","累積で、対戦相手が小さく減速！","0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","25","1001"
"30","0","118","長時間、スピードとジャンプ特大アップ！","20","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","7","3"
"15","0","119","短時間、先頭の対戦相手が大きく減速！","0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","4","1004"
"0","0","120","長時間、バリアで能力ダウンを防ぐ！","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","7","2002"
"30","0","121","長時間、ジャンプ特大アップ！","0","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","12","2"
"15","0","122","累積で、先頭の対戦相手が大きく減速！","0","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","30","1004"
"11","8","123","短時間大きく加速した後、ごく短時間減速！","2","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","4","4"
"9","0","124","長時間、スピード中アップ！","0","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","8","1"
"0","0","125","短時間、障害物バリアを展開！","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","4","2001"
"3","0","126","累積で、対戦相手が小さく減速！","0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","30","1001"
"22","0","127","長時間、スピード特大アップ！","0","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","10","1"
"30","0","128","短時間、ジャンプ特大アップ！","0","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","4","2"
"20","0","129","短時間、対戦相手のスピード特大ダウン！","0","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","3","1001"
"30","0","130","短時間、スピード特大アップ！","0","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","4","1"
