96f8ba67a2b169060bbcf8af38897e70b40977d522ee8ac768b2d4fc919bc21f,f20789560a48c4e7473fe646dfb91682e6aa97dd7fcdf9357127de478446180d,2facf1f706b9aa27217781551c567f3f0917381abe84acb060b40eb4f4a295f6,f3497450cb0cef57e6b42063f128957d4f3c6a6d72afab78faa1f17a572640ac,d5f57c47bf6079adf5c336f6f2ba78b9d954fb4df1689f411f0191724235965f,ffa9ecfa530c98900d94ac80549e70cdf37b4fed1be63a25866c19b2564c26ea,037341a07c35d518483c5dfb231798c4fbd8e7020df9a60309db8ed82e5727f5,eccdce2a180c949e8e06799d55cd411eb948d14ea74f8913e7244ce5573c1bc8,a964c09a46e061cba3a94341add862f561206dd0e83c20e756b4c5d65a0a94d9,e649433465b2a60b123ce1e314102213f6dd4a4e8799755196670c1d0cada883,de229946ff930f6c1ee695e62963dd9aaaeb32838d69aaf3463c076ff39882f3,ee5ba73def85bd2fdb59ef252e9e486045db574147fe07b6217163cf439dcc0c
"1","4","0","515406201","0","0","0.8","0","5154062","1","0","0"
"2","2","vo_abd","515406202","0","vo_abd_0101","0","0","5154062","0","0","0"
"3","1","0","515406203","2","0","0","0","5154062","0","1","300"
"4","4","0","515406204","0","0","2.1","0","5154062","1","0","0"
"5","2","vo_abd","515406205","0","vo_abd_0102","0","0","5154062","0","0","0"
"6","1","0","515406206","2.05","0","0","0","5154062","0","2","400"
"7","4","0","515406207","0","0","3.2","0","5154062","1","0","0"
"8","2","vo_abd","515406208","0","vo_abd_0103","0","0","5154062","0","0","0"
"9","1","0","515406209","1","0","0","0","5154062","0","3","60"
"10","4","0","515406210","0","0","1.4","0","5154062","1","0","0"
"11","1","0","515406211","2.5","0","0","60","5154062","0","3","430"
"12","4","0","515406212","0","0","3.3","0","5154062","1","0","0"
"13","2","vo_abd","515406213","0","vo_abd_0104","0","0","5154062","0","0","0"
"14","1","0","515406214","0.2","0","0","0","5154062","0","4","27"
"15","4","0","515406215","0","0","0.5","0","5154062","1","0","0"
"16","1","0","515406216","0.2","0","0","27","5154062","0","4","60"
"17","4","0","515406217","0","0","0.6","0","5154062","1","0","0"
"18","1","0","515406218","0.8","0","0","60","5154062","0","4","145"
"19","4","0","515406219","0","0","1.2","0","5154062","1","0","0"
"20","1","0","515406220","1.8","0","0","145","5154062","0","4","400"
"21","4","0","515406221","0","0","2.2","0","5154062","1","0","0"
"22","2","vo_abd","515406222","0","vo_abd_0105","0","0","5154062","0","0","0"
"23","1","0","515406223","0.6","0","0","0","5154062","0","5","95"
"24","4","0","515406224","0","0","1","0","5154062","1","0","0"
"25","1","0","515406225","0.7","0","0","95","5154062","0","5","195"
"26","4","0","515406226","0","0","1.5","0","5154062","1","0","0"
"27","1","0","515406227","0.8","0","0","195","5154062","0","5","315"
"28","4","0","515406228","0","0","1","0","5154062","1","0","0"
"29","1","0","515406229","0.7","0","0","315","5154062","0","5","415"
"30","4","0","515406230","0","0","2","0","5154062","1","0","0"
"31","2","vo_abd","515406231","0","vo_abd_0106","0","0","5154062","0","0","0"
"32","1","0","515406232","1","0","0","0","5154062","0","6","160"
"33","4","0","515406233","0","0","1.3","0","5154062","1","0","0"
"34","1","0","515406234","1","0","0","160","5154062","0","6","415"
"35","4","0","515406235","0","0","2.3","0","5154062","1","0","0"
"36","2","vo_abd","515406236","0","vo_abd_0107","0","0","5154062","0","0","0"
"37","1","0","515406237","0.7","0","0","0","5154062","0","7","85"
"38","4","0","515406238","0","0","0.8","0","5154062","1","0","0"
"39","1","0","515406239","0.8","0","0","85","5154062","0","7","360"
"40","4","0","515406240","0","0","2","0","5154062","1","0","0"
"41","2","vo_abd","515406241","0","vo_abd_0108","0","0","5154062","0","0","0"
"42","1","0","515406242","2.63","0","0","0","5154062","0","8","415"
"43","4","0","515406243","0","0","2.63","0","5154062","1","0","0"
"44","2","vo_abd","515406244","0","vo_abd_0109","0","0","5154062","0","0","0"
"45","1","0","515406245","1","0","0","0","5154062","0","9","200"
"46","4","0","515406246","0","0","2","0","5154062","1","0","0"
"47","1","0","515406247","0.5","0","0","200","5154062","0","9","245"
"48","4","0","515406248","0","0","1.2","0","5154062","1","0","0"
"49","1","0","515406249","1.5","0","0","245","5154062","0","9","415"
"50","4","0","515406250","0","0","2.5","0","5154062","1","0","0"
"51","2","vo_abd","515406251","0","vo_abd_0110","0","0","5154062","0","0","0"
"52","1","0","515406252","0.2","0","0","0","5154062","0","10","35"
"53","4","0","515406253","0","0","0.6","0","5154062","1","0","0"
"54","1","0","515406254","1.3","0","0","35","5154062","0","10","400"
"55","4","0","515406255","0","0","2.3","0","5154062","1","0","0"
"56","2","vo_abd","515406256","0","vo_abd_0111","0","0","5154062","0","0","0"
"57","1","0","515406257","0.3","0","0","0","5154062","0","11","60"
"58","4","0","515406258","0","0","1.2","0","5154062","1","0","0"
"59","1","0","515406259","1","0","0","60","5154062","0","11","315"
"1","4","0","515406301","0","0","0.8","0","5154063","1","0","0"
"2","2","vo_abd","515406302","0","vo_abd_0201","0","0","5154063","0","0","0"
"3","1","0","515406303","1.5","0","0","0","5154063","0","1","350"
"4","4","0","515406304","0","0","2.25","0","5154063","1","0","0"
"5","2","vo_abd","515406305","0","vo_abd_0202","0","0","5154063","0","0","0"
"6","1","0","515406306","1.8","0","0","0","5154063","0","2","350"
"7","4","0","515406307","0","0","3","0","5154063","1","0","0"
"8","2","vo_abd","515406308","0","vo_abd_0203","0","0","5154063","0","0","0"
"9","1","0","515406309","1.5","0","0","0","5154063","0","3","315"
"10","4","0","515406310","0","0","1.8","0","5154063","1","0","0"
"11","2","vo_abd","515406311","0","vo_abd_0204","0","0","5154063","0","0","0"
"12","1","0","515406312","1.3","0","0","0","5154063","0","4","300"
"13","4","0","515406313","0","0","2.5","0","5154063","1","0","0"
"14","2","vo_abd","515406314","0","vo_abd_0205","0","0","5154063","0","0","0"
"15","1","0","515406315","1.5","0","0","0","5154063","0","5","360"
"16","4","0","515406316","0","0","2","0","5154063","1","0","0"
"17","2","vo_abd","515406317","0","vo_abd_0206","0","0","5154063","0","0","0"
"18","1","0","515406318","1.8","0","0","0","5154063","0","6","310"
"19","4","0","515406319","0","0","3","0","5154063","1","0","0"
"20","2","vo_abd","515406320","0","vo_abd_0207","0","0","5154063","0","0","0"
"21","1","0","515406321","1.2","0","0","0","5154063","0","8","245"
"22","4","0","515406322","0","0","1.6","0","5154063","1","0","0"
"23","1","0","515406323","0.45","0","0","245","5154063","0","8","400"
"24","4","0","515406324","0","0","0.45","0","5154063","1","0","0"
"25","2","vo_abd","515406325","0","vo_abd_0208","0","0","5154063","0","0","0"
"26","1","0","515406326","1.1","0","0","0","5154063","0","9","300"
"27","4","0","515406327","0","0","1.6","0","5154063","1","0","0"
"28","2","vo_abd","515406328","0","vo_abd_0209","0","0","5154063","0","0","0"
"29","1","0","515406329","0.5","0","0","0","5154063","0","10","280"
"30","4","0","515406330","0","0","0.5","0","5154063","1","0","0"
"31","2","vo_abd","515406331","0","vo_abd_0210","0","0","5154063","0","0","0"
"32","1","0","515406332","1","0","0","0","5154063","0","11","360"
"1","4","0","515406401","0","0","0.8","0","5154064","1","0","0"
"2","2","vo_abd","515406402","0","vo_abd_0301","0","0","5154064","0","0","0"
"3","1","0","515406403","2","0","0","0","5154064","0","1","330"
"4","4","0","515406404","0","0","2.8","0","5154064","1","0","0"
"5","2","vo_abd","515406405","0","vo_abd_0302","0","0","5154064","0","0","0"
