502e4fa8f10aafc899758cca52a4785a50c60724c7de63a287920d77a4e96de0,0db87f9fc19ad85c6327d270503a435d0f7c75909da3a574fbe8446da191e2f8,ad88b866a416f9cdae49926a2dec66bf089af31f6e6daee6fd536a884b572870,d4feebf9509ee0b2cf73880e5efc9d4c4ce116249fbf27dd47d4fc5977299899
"1","ＨＰ","1","10000"
"2","物理攻撃力","1","10000"
"3","物理防御力","1","10000"
"4","魔法攻撃力","1","10000"
"5","魔法防御力","1","10000"
"6","物理クリティカル","1","10000"
"7","魔法クリティカル","1","10000"
"8","回避","0","1"
"9","ＨＰ吸収","0","1"
"10","ＨＰ自動回復","0","1"
"11","ＴＰ自動回復","0","1"
"12","物理貫通ダメージ","0","1"
"13","魔法貫通ダメージ","0","1"
"14","ＴＰ上昇","0","1"
"15","回復量上昇","0","1"
"16","ＴＰ消費軽減","0","1"
"17","命中","0","1"
"100","物理クリティカルダメージ","1","100"
"101","魔法クリティカルダメージ","1","100"
"102","物理与ダメージ","1","100"
"103","魔法与ダメージ","1","100"
"104","属性ボーナス","1","10000"
"105","状態異常命中","0","1"
"107","通常攻撃強化","0","1"
"108","バフ強化","0","1"
"110","回復強化","0","1"
